time,ppgA_Red_raw,ppgA_Red,ppgA_IR_raw,ppgA_IR,p1_mmhg,p2_mmhg,Red_processed,IR_processed
0.0,1.90305488419891,-0.0640334657111287,2.42167030558672,0.0369272249448733,29.32564523,79.06632042,0.0001872834007765529,0.00042782717606545137
0.0005,1.90387703921542,-0.065020052303139,2.42084815043492,0.0244304623456803,29.29713032,78.78686483,0.00018932784014068666,0.000421789808248369
0.001,1.9033837462055,-0.066828794390463,2.4211770124956,0.0377493803750255,29.2989125,78.860437,0.00019125103561844778,0.0004158540335929141
0.0015,1.9035481772088,-0.0660066388959083,2.4211770124956,0.028376808442004,29.29178377,78.86696356,0.00019325001380741838,0.0004098725924831417
0.002,1.9032193152022,-0.0712684340701843,2.42035485734398,0.0198263918854846,29.45812074,79.05386061,0.000195209206914784,0.00040379676587265625
0.0025,1.90305488419891,-0.0717617273688829,2.42134144352596,0.0329808788732728,29.40643747,78.50622259,0.00019719386233140016,0.00039789019353685324
0.003,1.9032193152022,-0.0742281938652358,2.42068371940459,0.0208129784139848,29.29416002,78.73702562,0.00019921995553977127,0.0003918085285316106
0.0035,1.90305488419891,-0.0738993316654465,2.42084815043492,0.0356117762556038,29.40465529,79.02419442,0.00020122142048354438,0.0003857991393048076
0.004,1.90305488419891,-0.0704462785727766,2.42101258146525,0.0257459110457265,29.19614002,78.86993018,0.00020324723218696457,0.0003797805302957586
0.0045,1.90305488419891,-0.0732416072661224,2.42051928837428,0.0148934592321987,29.47059601,78.8628103,0.00020528059108101547,0.0003736877055023804
0.005,1.9032193152022,-0.0697885541752313,2.42134144352596,0.0370916560309432,29.2822788,78.75838528,0.00020733769868977665,0.00036771875637302124
0.0055,1.9035481772088,-0.0701174163739616,2.42035485734398,0.0191686675327521,28.99831784,78.91442948,0.00020941848727135614,0.00036156209461274836
0.006,1.9032193152022,-0.0711040029706604,2.42084815043492,0.0338030343057948,29.2989125,79.0188545,0.0002114406138569538,0.0003555471177194042
0.0065,1.9033837462055,-0.0696241230758979,2.42084815043492,0.0282123773548855,29.32089274,78.86459027,0.00021351881779736585,0.0003494772755162505
0.007,1.90305488419891,-0.0735704694657421,2.42035485734398,0.0134135794327019,29.19911032,78.71625928,0.0002155540189995246,0.00034335333205149656
0.0075,1.90305488419891,-0.0715972962692955,2.42101258146525,0.0275546530062133,29.24722923,78.71210601,0.00021762795186568097,0.00033734036206035716
0.008,1.9032193152022,-0.0725838828671375,2.42051928837428,0.0157156146756627,29.3743582,79.02834768,0.0002197238078267853,0.00033120903684368474
0.0085,1.90305488419891,-0.0748859182650689,2.42068371940459,0.0316654301802091,29.34049674,78.73643229,0.00022179200753343574,0.0003251409262161408
0.009,1.9032193152022,-0.0737349005655837,2.42068371940459,0.0213062716779656,29.34821953,78.90849624,0.0002238980130987701,0.0003190545069473974
