Channel,Depth,Feature,Pair,AUC,AUC_bootstrap_mean,CI_lower,CI_upper,Cutoff,Sensitivity,Specificity,n_samples
Red/IR,3,Red_IR_Ratio,Normal vs Ischaemia,0.6570745974797036,0.657473576888046,0.654357660274358,0.6600340400071767,0.9924357152656241,0.8586205206137556,0.43202392235040366,122395
Red/IR,3,Red_IR_Ratio,Normal vs Congestion,0.7590582676971072,0.7593496173204294,0.756761667354131,0.7622136454254196,1.0551635357517866,0.7262937725705508,0.648192340784753,122796
Red/IR,3,Red_IR_Ratio,Ischaemia vs Congestion,0.5656059142102136,0.5656112528422522,0.5624672175880111,0.5683900243021908,1.2367683473120221,0.29071211477499265,0.8742999074660303,122797
Red/IR,9,Red_IR_Ratio,Ischaemia vs Congestion,0.9999918300653594,0.9999933034064974,0.9999773321393186,1.0,0.027178452320174584,0.9999836601307189,1.0,122799
Red/IR,15,Red_IR_Ratio,Normal vs Ischaemia,0.4277468056032969,0.4278654813488849,0.424405109502443,0.43097118351337615,600.0934110081143,1.6234029773210604e-05,1.0,122798
Red/IR,15,Red_IR_Ratio,Normal vs Congestion,0.5527825690324183,0.5529021153278664,0.5499461237779997,0.5561421212138019,0.9705428277794075,0.6350590106982256,0.4484713802513113,122798
Red/IR,15,Red_IR_Ratio,Ischaemia vs Congestion,0.6234052858098321,0.6240471789066798,0.622011294602148,0.6266439469979264,1.0634976507055356,0.6179676138498995,0.5601398715665289,122398
Red/IR,21,Red_IR_Ratio,Normal vs Ischaemia,0.5191693759676215,0.5190680742637709,0.5161601540787937,0.5221308112859053,0.9514766223024925,0.7315416371979803,0.3180315465714897,121598
Red/IR,21,Red_IR_Ratio,Normal vs Congestion,0.5715080143868598,0.5713543647561223,0.567983084906745,0.5742187774394263,0.9562695089727408,0.7260316781526012,0.37500616786460306,121598
Red/IR,21,Red_IR_Ratio,Ischaemia vs Congestion,0.5498887296084097,0.5499296771104162,0.5467532368604853,0.5528060560708999,1.322112089322445,0.3424398427605717,0.7419200973700225,121598
