Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_samples
IR,3,FallTime_norm_bpm,Ischaemia vs Congestion,0.943551183,0.863557082,1,70
IR,3,Width_Ratio,Ischaemia vs Congestion,0.927260475,0.852882953,0.974632955,70
IR,3,DiastolicWidth_norm_bpm,Ischaemia vs Congestion,0.907475734,0.817429633,0.975,70
IR,3,DiastolicWidth,Ischaemia vs Congestion,0.900061795,0.811088405,0.966898003,70
IR,3,Kurtosis,Ischaemia vs Congestion,0.894151561,0.807137271,0.962384718,70
IR,3,Slope_Ratio,Ischaemia vs Congestion,0.880014857,0.801801802,0.958036833,70
IR,3,RiseFall_ratio,Ischaemia vs Congestion,0.880014857,0.801801802,0.958036833,70
IR,3,DownslopeLength_norm,Ischaemia vs Congestion,0.869533517,0.78864012,0.949383578,70
IR,3,Upslope_norm,Ischaemia vs Congestion,0.864726498,0.779664824,0.950713987,70
IR,3,Width_Ratio,Ischaemia vs Congestion,0.836072622,0.725090232,0.930837524,70
IR,3,Length_Height_Ratio,Ischaemia vs Congestion,0.833912443,0.718676418,0.93065768,70
Red/IR_Ratio,3,UpslopeLength_norm_ratio,Ischaemia vs Congestion,0.784203653,0.769444529,0.796731516,5116
IR,3,D_AUC_norm,Ischaemia vs Congestion,0.756028147,0.634993141,0.865298203,70
IR,3,PulseWidth_norm_bpm,Ischaemia vs Congestion,0.729968913,0.594355168,0.847666667,70
IR,3,Amp_norm,Normal vs Congestion,0.984626683,0.950756077,1,134
IR,3,Width_Ratio,Normal vs Congestion,0.947372743,0.873860967,1,71
IR,3,Pulse_Area_norm,Normal vs Congestion,0.943438243,0.860563697,1,71
IR,3,D_AUC_norm,Normal vs Congestion,0.943438243,0.860563697,1,71
IR,3,Upslope_norm,Normal vs Congestion,0.937786924,0.861824565,0.999202647,71
IR,3,DiastolicWidth,Normal vs Congestion,0.930069514,0.83706168,0.993704473,71
IR,3,Slope_Ratio,Normal vs Congestion,0.911634525,0.808861533,0.973813879,71
IR,3,RiseFall_ratio,Normal vs Congestion,0.910809677,0.808841501,0.973035714,71
IR,3,Kurtosis,Normal vs Congestion,0.908761246,0.821039009,0.971057259,71
IR,3,DiastolicWidth_norm_bpm,Normal vs Congestion,0.894719803,0.8021803,0.966678686,71
