Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_sAmplitudeles
IR,15,Amplitude,Normal vs Ischaemia,1,1,1,149
IR,15,S_AUC,Normal vs Ischaemia,1,1,1,86
IR,9,UpslopeLength,Ischaemia vs Congestion,1,1,1,72
IR,15,Amplitude,Normal vs Congestion,0.994805446,0.986483465,1,132
IR,15,Pulse_Area,Normal vs Ischaemia,0.988915289,0.969450096,1,86
IR,9,Amplitude,Normal vs Ischaemia,0.983968024,0.945429293,1,136
IR,9,Pulse_Area,Normal vs Ischaemia,0.972718187,0.909090909,1,72
IR,9,S_AUC,Normal vs Ischaemia,0.972718187,0.909090909,1,72
IR,9,D_AUC,Normal vs Ischaemia,0.972718187,0.909090909,1,72
IR,3,Pulse_Area,Normal vs Ischaemia,0.972681495,0.90625,1,64
IR,3,S_AUC,Normal vs Ischaemia,0.972681495,0.90625,1,64
IR,3,S_AUC,Normal vs Congestion,0.97192115,0.911470588,1,66
IR,3,FallTime,Ischaemia vs Congestion,0.968499338,0.899962406,1,66
IR,3,Amplitude,Normal vs Congestion,0.968362537,0.925222677,1,130
IR,3,Amplitude,Normal vs Ischaemia,0.967763421,0.910043988,1,128
IR,15,D_AUC,Normal vs Ischaemia,0.967481366,0.919573558,1,86
IR,3,Pulse_Area,Normal vs Congestion,0.964466628,0.90519761,1,66
IR,3,Downslope,Normal vs Ischaemia,0.964278593,0.89645936,1,64
IR,21,Amplitude,Normal vs Ischaemia,0.96353171,0.925767917,0.993592672,184
Red/IR_Ratio,3,UpslopeLength_ratio,Ischaemia vs Congestion,0.961688025,0.956170537,0.967499151,3022
Red,3,Amplitude,Normal vs Ischaemia,0.960350823,0.913262987,1,153
IR,9,Amplitude,Normal vs Congestion,0.95949,0.917053204,0.994797497,130
IR,3,D_AUC,Normal vs Congestion,0.954581221,0.893075183,1,66
IR,3,D_AUC,Normal vs Ischaemia,0.95300941,0.891090923,1,64
IR,3,FallTime,Normal vs Congestion,0.94478806,0.866345382,1,66
Red,3,UpslopeLength,Ischaemia vs Congestion,0.944326681,0.892311012,0.98246081,92
IR,15,UpslopeLength,Ischaemia vs Congestion,0.939674511,0.860255304,0.995815861,90
Red,3,Pulse_Area,Normal vs Ischaemia,0.939206421,0.866980973,1,89
IR,15,D_AUC,Normal vs Congestion,0.934518648,0.849261261,1,68
IR,15,Pulse_Area,Normal vs Congestion,0.93361405,0.846601114,1,68
IR,3,Slope_Ratio,Normal vs Congestion,0.932148605,0.843130933,1,66
IR,3,RiseFall_ratio,Normal vs Congestion,0.931739116,0.843130933,1,66
Red,3,D_AUC,Normal vs Ischaemia,0.928361946,0.852624338,0.996006494,89
Red/IR_Ratio,3,UpslopeLength_ratio,Normal vs Congestion,0.925607458,0.915987754,0.936605513,2478
IR,9,Upslope,Ischaemia vs Congestion,0.925032099,0.859002895,0.981475484,72
IR,3,Slope_Ratio,Ischaemia vs Congestion,0.923502831,0.831296296,1,66
IR,3,RiseFall_ratio,Ischaemia vs Congestion,0.922499885,0.827685185,1,66
IR,3,Upslope,Ischaemia vs Congestion,0.918210772,0.817589286,0.992637983,66
IR,3,Width_Ratio,Ischaemia vs Congestion,0.91604261,0.818505923,0.989001758,66
IR,9,Pulse_Area,Normal vs Congestion,0.915284779,0.838438759,0.993548832,66
IR,3,Downslope,Normal vs Congestion,0.91359041,0.823179272,1,66
IR,9,D_AUC,Normal vs Congestion,0.907438173,0.825465844,0.983480216,66
IR,9,Downslope,Normal vs Congestion,0.906542624,0.803448287,0.991727941,66
IR,15,RiseTime,Normal vs Ischaemia,0.904829476,0.830729638,0.95567277,86
IR,9,SystolicWidth,Normal vs Ischaemia,0.897851302,0.819658248,0.963526182,72
IR,9,RiseTime,Normal vs Ischaemia,0.897335572,0.801470588,0.964703057,72
IR,21,UpslopeLength,Ischaemia vs Congestion,0.897115795,0.839346452,0.953097815,124
IR,15,S_AUC,Normal vs Congestion,0.892647772,0.792999045,0.965344968,68
IR,3,Skewness,Normal vs Ischaemia,0.890353706,0.792450105,0.98817734,64
IR,3,Upslope,Normal vs Congestion,0.890282085,0.772851399,0.97916294,66
IR,15,SystolicWidth,Normal vs Ischaemia,0.889862249,0.813838612,0.949158848,86
IR,3,Kurtosis,Ischaemia vs Congestion,0.883290487,0.752897011,0.975436795,66
IR,9,RiseTime,Normal vs Ischaemia,0.878451744,0.778118469,0.948060449,72
IR,3,AUC_Ratio,Normal vs Ischaemia,0.878175262,0.772262715,0.973413389,64
IR,9,SystolicWidth,Normal vs Ischaemia,0.87409237,0.786555425,0.944155413,72
Red/IR_Ratio,3,DownslopeLength_ratio,Normal vs Congestion,0.873484369,0.858501578,0.888812633,2478
IR,9,S_AUC,Normal vs Congestion,0.86845049,0.790276357,0.95297123,66
IR,3,Width_Ratio,Normal vs Congestion,0.864756524,0.730673001,0.960939235,66
Red,3,S_AUC,Normal vs Ischaemia,0.857228647,0.75667014,0.940545597,89
Red,3,Length_Height_Ratio,Ischaemia vs Congestion,0.852090326,0.758794686,0.928443696,92
Red,3,DownslopeLength,Ischaemia vs Congestion,0.848819678,0.752473903,0.941973462,92
IR,9,DownslopeLength,Ischaemia vs Congestion,0.847308436,0.743125,0.937673611,72
IR,15,SystolicWidth,Normal vs Ischaemia,0.842440672,0.753763013,0.913822922,86
IR,21,Length_Height_Ratio,Ischaemia vs Congestion,0.842233398,0.755681591,0.909855664,123
IR,15,Downslope,Normal vs Congestion,0.841469633,0.721141714,0.949144737,68
IR,15,Length_Height_Ratio,Ischaemia vs Congestion,0.840965192,0.754068581,0.915699405,90
IR,15,RiseTime,Normal vs Ischaemia,0.836018735,0.738705526,0.907055622,86
IR,3,Width_Ratio,Ischaemia vs Congestion,0.83487675,0.702251243,0.938422054,66
IR,3,DiastolicWidth,Ischaemia vs Congestion,0.832804394,0.697982422,0.93634248,66
IR,3,SlopeLength_Ratio,Normal vs Ischaemia,0.829120553,0.69798804,0.943489881,64
IR,3,RiseTime,Normal vs Ischaemia,0.827891972,0.711707405,0.926985294,64
IR,3,RiseTime,Normal vs Ischaemia,0.827891972,0.711707405,0.926985294,64
IR,9,Length_Height_Ratio,Ischaemia vs Congestion,0.826083543,0.720588897,0.921281556,72
IR,15,DownslopeLength,Ischaemia vs Congestion,0.825914188,0.726103137,0.912023887,90
IR,15,PulseWidth,Normal vs Ischaemia,0.82187307,0.727747726,0.912375191,86
IR,9,FallTime,Ischaemia vs Congestion,0.821091171,0.717857143,0.923076923,72
Red,9,UpslopeLength,Ischaemia vs Congestion,0.816247569,0.742834397,0.892944296,118
IR,21,Pulse_Area,Normal vs Ischaemia,0.811120625,0.730851514,0.895260978,119
IR,3,SystolicWidth,Normal vs Ischaemia,0.810816957,0.677768817,0.917739358,64
IR,3,SystolicWidth,Normal vs Ischaemia,0.810816957,0.677768817,0.917739358,64
Red,3,FallTime,Normal vs Congestion,0.809080084,0.676473545,0.919757095,75
IR,3,DiastolicWidth,Ischaemia vs Congestion,0.807867209,0.678205797,0.910921671,66
Red/IR_Ratio,3,DownslopeLength_ratio,Ischaemia vs Congestion,0.807532723,0.789795585,0.823055243,3022
IR,21,D_AUC,Normal vs Ischaemia,0.796939718,0.714155517,0.878351367,119
IR,15,Upslope,Ischaemia vs Congestion,0.793286047,0.679416111,0.886645798,90
IR,9,Downslope,Normal vs Ischaemia,0.792281985,0.659261577,0.92059856,72
Red/IR_Ratio,3,Pulse_Area_ratio,Normal vs Ischaemia,0.775380592,0.757487256,0.792094684,2848
Red/IR_Ratio,21,Red_IR_Amplitude_ratio,Ischaemia vs Congestion,0.77536069,0.766773411,0.782461221,18260
IR,9,RiseFall_ratio,Ischaemia vs Congestion,0.774412917,0.650153968,0.878501157,72
Red,9,Amplitude,Normal vs Ischaemia,0.77309478,0.683761819,0.833503814,180
IR,9,Slope_Ratio,Ischaemia vs Congestion,0.772486084,0.645317921,0.877255191,72
IR,21,S_AUC,Normal vs Ischaemia,0.768783404,0.684886364,0.862547862,119
Red/IR_Ratio,3,D_AUC_ratio,Normal vs Ischaemia,0.765136194,0.747103433,0.78177887,2848
IR,3,Kurtosis,Normal vs Congestion,0.762307328,0.638985407,0.89128373,66
IR,9,DatumArea,Normal vs Ischaemia,0.759732826,0.640270717,0.871628347,72
IR,15,Downslope,Normal vs Ischaemia,0.758026421,0.638108032,0.859903199,86
Red/IR_Ratio,3,Red_IR_Amplitude_ratio,Normal vs Ischaemia,0.756880698,0.747043197,0.766719254,9792
IR,15,DiastolicWidth,Normal vs Ischaemia,0.742320909,0.624858597,0.845756891,86
IR,15,FallTime,Normal vs Ischaemia,0.742286955,0.616356698,0.850116995,86
IR,21,DownslopeLength,Ischaemia vs Congestion,0.741086984,0.644329457,0.830819825,124
Red/IR_Ratio,21,UpslopeLength_ratio,Normal vs Ischaemia,0.731595623,0.719589944,0.741172208,7774
IR,9,SlopeLength_Ratio,Normal vs Ischaemia,0.72669531,0.596373626,0.855491381,72
Red,9,Length_Height_Ratio,Ischaemia vs Congestion,0.726279209,0.65138464,0.805349679,118
IR,3,Skewness,Normal vs Congestion,0.724748602,0.600925819,0.8336924,66
IR,15,PulseWidth,Normal vs Ischaemia,0.715320533,0.600398997,0.814634342,86
IR,9,AUC_Ratio,Normal vs Ischaemia,0.714596871,0.587878965,0.846174749,72
IR,15,DatumArea,Normal vs Ischaemia,0.713636427,0.617773216,0.818481268,86
IR,15,RiseFall_ratio,Ischaemia vs Congestion,0.713391257,0.596705592,0.815370946,90
IR,15,Slope_Ratio,Ischaemia vs Congestion,0.710459207,0.593157895,0.811787267,90
