Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_samples
Red,3,Amp_norm,Normal vs Ischaemia,0.9603508233223872,0.9132629870129872,1.0,153
Red,3,Amp_norm,Normal vs Congestion,0.6830940278779042,0.6003933747412009,0.7672014901745574,139
Red,3,Amp_norm,Ischaemia vs Congestion,0.0005490562165010867,0.0,0.001990166604211651,156
Red,9,Amp_norm,Normal vs Ischaemia,0.7730947800415346,0.6837618185243217,0.8335038139978125,180
Red,9,Amp_norm,Normal vs Congestion,0.3822652457485313,0.3133324213049823,0.45972294493267557,186
Red,9,Amp_norm,Ischaemia vs Congestion,0.15307232627023382,0.09831003010719976,0.2340156353934812,182
Red,15,Amp_norm,Normal vs Ischaemia,0.6934155563405682,0.608204336256694,0.7637583122895624,195
Red,15,Amp_norm,Normal vs Congestion,0.49210524908185316,0.4159811649335552,0.5720764716151092,194
Red,15,Amp_norm,Ischaemia vs Congestion,0.3190984314476374,0.2523911917561005,0.3947551709582102,195
Red,21,Amp_norm,Normal vs Ischaemia,0.6367966154645341,0.5645589026435799,0.7077583474218091,195
Red,21,Amp_norm,Normal vs Congestion,0.5106059049475175,0.44296610200156844,0.5877952836538717,189
Red,21,Amp_norm,Ischaemia vs Congestion,0.3712183477915189,0.30161329096435474,0.44607382306657045,194
IR,3,Amp_norm,Normal vs Ischaemia,0.9677634211002456,0.9100439882697947,1.0,128
IR,3,Amp_norm,Normal vs Congestion,0.968362536690066,0.9252226769378911,1.0,130
IR,3,Amp_norm,Ischaemia vs Congestion,0.7045383321229862,0.6097482223851582,0.7926341722125643,130
IR,9,Amp_norm,Normal vs Ischaemia,0.9839680241613031,0.9454292929292928,1.0,136
IR,9,Amp_norm,Normal vs Congestion,0.9594899996810308,0.9170532037045023,0.9947974968905472,130
IR,9,Amp_norm,Ischaemia vs Congestion,0.0,0.0,0.0,136
IR,15,Amp_norm,Normal vs Ischaemia,1.0,0.9999999999999999,1.0,149
IR,15,Amp_norm,Normal vs Congestion,0.9948054460375227,0.9864834645741896,1.0,132
IR,15,Amp_norm,Ischaemia vs Congestion,0.012089986941013481,0.0026568656915781715,0.026297577854671288,153
IR,21,Amp_norm,Normal vs Ischaemia,0.9635317095556789,0.925767916539956,0.9935926724842306,184
IR,21,Amp_norm,Normal vs Congestion,0.6306202855688369,0.53344048233963,0.7092478851255176,176
IR,21,Amp_norm,Ischaemia vs Congestion,0.03039078946614897,0.004060347972235866,0.06970956116811146,188
