Channel,Depth,Feature,Pair,AUC,AUC_bootstrap_mean,CI_lower,CI_upper,Cutoff,Sensitivity,Specificity,n_samples
Red,3,Amplitude,Normal vs Ischaemia,0.9095194007238447,0.9095482461720142,0.9090234897235824,0.9100261063384824,0.004768500359780159,0.8623853211009175,1.0,2744511
Red,3,Amplitude,Normal vs Congestion,0.634763203570543,0.634758725772315,0.6340182619819287,0.6353352457613679,0.005261793499740097,0.6055045871559633,0.7027027027027026,2733946
Red,3,Amplitude,Ischaemia vs Congestion,0.09728076700553764,0.0972957365778572,0.09693103218914777,0.09771740430798329,inf,0.0,1.0,2745827
Red,3,RiseTime_s,Normal vs Ischaemia,0.46260683760683763,0.46254855966438435,0.4616759549194287,0.463333858391828,0.11,0.9102564102564102,0.1923076923076923,1963962
Red,3,RiseTime_s,Normal vs Congestion,0.4754807692307692,0.47547116599786043,0.47437442478331004,0.47644610818658273,0.1695,0.6794871794871795,0.4125,1963410
Red,3,RiseTime_s,Ischaemia vs Congestion,0.5048076923076923,0.5048454863327692,0.5038754051365366,0.5055437348092261,0.21,0.5384615384615384,0.55,1971912
Red,3,FallTime_s,Normal vs Ischaemia,0.5350920447074293,0.5351442545745896,0.5343483252595242,0.5359284185258648,0.466,0.6666666666666666,0.47435897435897434,1963962
Red,3,FallTime_s,Normal vs Congestion,0.5210737179487179,0.521044992156532,0.5202768687606096,0.5216256701949255,0.053,0.9487179487179487,0.13749999999999996,1963410
Red,3,FallTime_s,Ischaemia vs Congestion,0.490224358974359,0.4901096241851757,0.48939240319296956,0.49091293602349506,0.073,0.9102564102564102,0.16249999999999998,1971912
Red,3,PulseWidth_s,Normal vs Ischaemia,0.3930802103879027,0.39310345166082006,0.3923951139873209,0.3939197578098107,inf,0.0,1.0,1963962
Red,3,PulseWidth_s,Normal vs Congestion,0.47780448717948715,0.4777531841899833,0.47710703364650486,0.47839319713390427,0.4425,0.7051282051282052,0.36250000000000004,1963410
Red,3,PulseWidth_s,Ischaemia vs Congestion,0.5959935897435897,0.5959205790562652,0.5950851096400988,0.5965560759902817,0.6605,0.3974358974358974,0.775,1971912
Red,3,RiseFall_ratio,Normal vs Ischaemia,0.4857823800131492,0.4857376890119035,0.48489971907276697,0.4866178042699584,0.24526143754417493,0.7435897435897436,0.33333333333333337,1963962
Red,3,RiseFall_ratio,Normal vs Congestion,0.46570512820512816,0.46571486011471264,0.4647607525675105,0.46662275248503093,27.140272355013806,0.038461538461538464,0.9875,1963410
Red,3,RiseFall_ratio,Ischaemia vs Congestion,0.48028846153846155,0.48035228811375236,0.47948519373728365,0.4810681216807764,0.46639416213001605,0.5512820512820513,0.525,1971912
Red,3,PW_amp_ratio,Normal vs Ischaemia,0.6411900065746219,0.6411515470837332,0.6403630443879453,0.6419682973707715,0.0028706372196818683,0.5256410256410257,0.7948717948717949,1963962
Red,3,PW_amp_ratio,Normal vs Congestion,0.5160256410256411,0.5159519688045248,0.515267622420445,0.5167122618968549,0.0010526875635070568,0.8717948717948718,0.1875,1963410
Red,3,PW_amp_ratio,Ischaemia vs Congestion,0.3713141025641026,0.371235165791934,0.37058808905556906,0.3719064745667951,0.0007481612690824812,0.9487179487179487,0.09999999999999998,1971912
Red,3,IR_Red_amp_ratio,Normal vs Ischaemia,0.5035032752961117,0.503521073241352,0.5029644235656726,0.5040713890600849,1.1997078198674354,0.8138013562026326,0.2930243593799431,2744511
Red,3,IR_Red_amp_ratio,Normal vs Congestion,0.8733738535914066,0.8733761014427464,0.8730627259982383,0.8738167036385482,1.142658274668196,0.9145592341443957,0.8934339745150556,2733946
Red,3,IR_Red_amp_ratio,Ischaemia vs Congestion,0.8553807832816358,0.8554486916303603,0.854995597667391,0.8558265552224842,1.1108605806388154,0.8808921227459665,0.8673808944079214,2745827
Red,9,Amplitude,Normal vs Ischaemia,0.7687908496732025,0.7688374193770083,0.7683190905232712,0.7693303603957535,0.0029597586587502,0.6574074074074074,0.8823529411764706,2480760
Red,9,Amplitude,Normal vs Congestion,0.5758101851851851,0.575821926244781,0.5751273221842804,0.5764833682624824,0.0029597586587502,0.6574074074074074,0.5803571428571428,2699632
Red,9,Amplitude,Ischaemia vs Congestion,0.3941701680672269,0.3941267734611919,0.3934858690409168,0.39468582254234347,0.002137603481320305,0.8921568627450981,0.1875,2590984
Red,9,RiseTime_s,Normal vs Ischaemia,0.5638218923933209,0.563849077721293,0.5628771899284584,0.5646200147734994,0.228,0.6753246753246753,0.4571428571428572,1737036
Red,9,RiseTime_s,Normal vs Congestion,0.6008548413611704,0.6007798420345656,0.600063979803768,0.6014397612429152,0.228,0.6753246753246753,0.5063291139240507,1914052
Red,9,RiseTime_s,Ischaemia vs Congestion,0.543128390596745,0.5430492979514302,0.5424815167209865,0.5437994765300542,0.388,0.34285714285714286,0.7848101265822784,1804936
Red,9,FallTime_s,Normal vs Ischaemia,0.5203153988868274,0.520346855257586,0.5196723850333946,0.5212226618533571,0.4695,0.35064935064935066,0.7428571428571429,1737036
Red,9,FallTime_s,Normal vs Congestion,0.48101265822784806,0.4811306352317321,0.4803383681726448,0.4818801268196986,0.453,0.38961038961038963,0.6708860759493671,1914052
Red,9,FallTime_s,Ischaemia vs Congestion,0.4610307414104883,0.46113516940162197,0.4601865332264133,0.46196979577008945,0.052,0.9285714285714286,0.11392405063291144,1804936
Red,9,PulseWidth_s,Normal vs Ischaemia,0.5309396485867074,0.5309038605450949,0.529780366989542,0.5317503210504135,0.2445,0.987012987012987,0.1029411764705882,1713780
Red,9,PulseWidth_s,Normal vs Congestion,0.5881144172283412,0.588189642171907,0.5872644342989225,0.589030845923817,0.7225,0.36363636363636365,0.7848101265822784,1914052
Red,9,PulseWidth_s,Ischaemia vs Congestion,0.5573343261355175,0.5573027220369062,0.5566248875347196,0.5580934227830822,0.482,0.7647058823529411,0.36708860759493667,1781680
Red,9,RiseFall_ratio,Normal vs Ischaemia,0.5391465677179963,0.5391596404751999,0.5383943713969345,0.5398628820798652,1.3261419780539676,0.38961038961038963,0.7,1737036
Red,9,RiseFall_ratio,Normal vs Congestion,0.576689133651159,0.5766111175462411,0.5759030244801078,0.5772340861748909,0.38195373848499703,0.7272727272727273,0.4177215189873418,1914052
Red,9,RiseFall_ratio,Ischaemia vs Congestion,0.5399638336347197,0.5398731200938358,0.5391963563576245,0.5406779261597242,0.7135561395389612,0.5428571428571428,0.5569620253164558,1804936
Red,9,PW_amp_ratio,Normal vs Ischaemia,0.6482047364400305,0.6481266757047004,0.6472560372768236,0.648853606905667,0.0018505068862276685,0.5194805194805194,0.7352941176470589,1713780
Red,9,PW_amp_ratio,Normal vs Congestion,0.6452408351142528,0.6452669517562907,0.6444949494208068,0.645881872427595,0.0017314588156380117,0.6363636363636364,0.6329113924050633,1914052
Red,9,PW_amp_ratio,Ischaemia vs Congestion,0.5122859270290394,0.5122503937519566,0.5116924404562487,0.5132861461717763,0.0014266036772818973,0.6176470588235294,0.4683544303797469,1781680
Red,9,IR_Red_amp_ratio,Normal vs Ischaemia,0.6362183692120053,0.6362532473834531,0.635570245112595,0.637011636041578,1.3327929365239504,0.6680013346680014,0.6087891296869625,2480760
Red,9,IR_Red_amp_ratio,Normal vs Congestion,0.5022282858964406,0.5022624929681371,0.501521102271794,0.502803990829498,1.1996351871678839,0.8750417083750417,0.2534279336734694,2699632
Red,9,IR_Red_amp_ratio,Ischaemia vs Congestion,0.3885180511349276,0.3884919192361491,0.38774362802739554,0.389015387342903,0.7219782734370559,0.9834881320949432,0.05891262755102045,2590984
