Channel,Depth,Feature,Pair,AUC,AUC_bootstrap_mean,CI_lower,CI_upper,Cutoff,Sensitivity,Specificity,n_samples
Red,3,Amp_norm,Normal vs Ischaemia,0.9326007326007326,0.9324087479184626,0.8896336108816979,0.9693539225901547,0.8402308043660752,0.8857142857142857,1.0,209
Red,3,Amp_norm,Normal vs Congestion,0.5766800178015131,0.5767826429977219,0.48598524603120186,0.6529270885665558,1.044676269804494,0.5714285714285714,0.5981308411214954,212
Red,3,Amp_norm,Ischaemia vs Congestion,0.13209920920201296,0.1301583802956201,0.08161428054672766,0.19053255772005778,0.11896731537928412,1.0,0.04672897196261683,211
Red,3,RiseTime,Normal vs Ischaemia,0.481981981981982,0.4773551886809023,0.38395960298533827,0.5701565659014328,0.1395,0.8918918918918919,0.25,146
Red,3,RiseTime,Normal vs Congestion,0.47954954954954954,0.4789571683813665,0.39025591957542355,0.5637592055407684,0.248,0.4189189189189189,0.6533333333333333,149
Red,3,RiseTime,Ischaemia vs Congestion,0.4962037037037037,0.49419083816661385,0.41813357293143466,0.5883588049143708,0.257,0.4583333333333333,0.6799999999999999,147
Red,3,FallTime,Normal vs Ischaemia,0.539602102102102,0.5377039837007215,0.4451644736842106,0.6492692847174756,0.4655,0.7432432432432432,0.4305555555555556,146
Red,3,FallTime,Normal vs Congestion,0.4893693693693694,0.48749586393873073,0.3976899139117449,0.5689014776683399,0.6875,0.25675675675675674,0.8266666666666667,149
Red,3,FallTime,Ischaemia vs Congestion,0.4439814814814815,0.44891018531745325,0.35068122746033703,0.5336161515239416,0.7325,0.19444444444444445,0.8933333333333333,147
Red,3,PulseWidth,Normal vs Ischaemia,0.5283408408408408,0.5257924985812669,0.444545289479874,0.619447833110517,0.3315,0.7702702702702703,0.375,146
Red,3,PulseWidth,Normal vs Congestion,0.4672972972972973,0.46540734580779725,0.3732675361285466,0.5537501177648237,0.1635,0.918918918918919,0.18666666666666665,149
Red,3,PulseWidth,Ischaemia vs Congestion,0.45416666666666666,0.4576009911928629,0.36979898525664356,0.5516390179477263,0.0355,1.0,0.040000000000000036,147
Red,3,RiseFall_ratio,Normal vs Ischaemia,0.5002815315315315,0.5017536162075977,0.4067481724235757,0.5894885025421183,0.25099042141291755,0.7837837837837838,0.3194444444444444,146
Red,3,RiseFall_ratio,Normal vs Congestion,0.5104504504504505,0.5099450329860793,0.4298641206211629,0.5958047387924438,1.5861969517432493,0.22972972972972974,0.84,149
Red,3,RiseFall_ratio,Ischaemia vs Congestion,0.5063888888888889,0.5026483041807299,0.40922016980779435,0.5907889934874061,0.5025497383935246,0.5555555555555556,0.56,147
Red,3,Pulse_Area,Normal vs Ischaemia,0.7796546546546547,0.7785709442910204,0.6988375793979563,0.852095864661654,0.0005019077521610388,0.581081081081081,0.9444444444444444,146
Red,3,Pulse_Area,Normal vs Congestion,0.5176576576576577,0.5148689922804386,0.4204803532804614,0.59946649728359,0.00019912532313104314,0.8918918918918919,0.2533333333333333,149
Red,3,Pulse_Area,Ischaemia vs Congestion,0.25796296296296295,0.25793870470103086,0.18113363020554807,0.3484479861762967,2.1811704038044333e-05,0.9166666666666666,0.1333333333333333,147
Red,9,Amp_norm,Normal vs Ischaemia,0.7479522792022792,0.7477216358526394,0.6674984694415387,0.8135756503917004,0.36400485775029634,0.7307692307692307,0.7407407407407407,212
Red,9,Amp_norm,Normal vs Congestion,0.40711175616835993,0.41026989529019714,0.3436439909297052,0.4819197106197107,0.6046489344160955,0.09615384615384616,0.9622641509433962,210
Red,9,Amp_norm,Ischaemia vs Congestion,0.18990216631726065,0.19007941417303528,0.12582575956362366,0.2573686981463704,0.10427029975089232,0.9907407407407407,0.028301886792452824,214
Red,9,RiseTime,Normal vs Ischaemia,0.43265716374269003,0.4361378809222806,0.3552460478118373,0.5162334411183138,0.17,0.7916666666666666,0.2894736842105263,148
Red,9,RiseTime,Normal vs Congestion,0.4817942942942943,0.4875751261569222,0.39952927081216555,0.565227807694913,0.17,0.7916666666666666,0.33783783783783783,146
Red,9,RiseTime,Ischaemia vs Congestion,0.5491642958748222,0.5481659433104324,0.46201177658824616,0.6361786815315583,0.35,0.5131578947368421,0.6351351351351351,150
Red,9,FallTime,Normal vs Ischaemia,0.5826023391812866,0.5801010370236361,0.48406596152718157,0.657670401493931,0.4545,0.5416666666666666,0.7105263157894737,148
Red,9,FallTime,Normal vs Congestion,0.5585585585585585,0.5587305380333957,0.4665359646977294,0.6422808985850211,0.4545,0.5416666666666666,0.6216216216216216,146
Red,9,FallTime,Ischaemia vs Congestion,0.4904871977240398,0.49311298339327225,0.4069419642857143,0.5818995688451334,0.1075,0.868421052631579,0.22972972972972971,150
Red,9,PulseWidth,Normal vs Ischaemia,0.490953947368421,0.489983431487272,0.4011527996615313,0.5635012087824983,0.4725,0.4166666666666667,0.6710526315789473,148
Red,9,PulseWidth,Normal vs Congestion,0.5220533033033032,0.5239032317406989,0.4339641122012046,0.6110124763544492,0.2055,0.875,0.2567567567567568,146
Red,9,PulseWidth,Ischaemia vs Congestion,0.5218705547652915,0.5206606501364145,0.4438481972516373,0.607929805639566,0.219,0.8552631578947368,0.2702702702702703,150
