Channel,Depth,Feature,Pair,AUC,AUC_bootstrap_mean,CI_lower,CI_upper,Cutoff,Sensitivity,Specificity,n_samples
Red,3,Amp_norm,Normal vs Ischaemia,1.0,1.0,1.0,1.0,0.8515305668788355,1.0,1.0,94
Red,3,Amp_norm,Normal vs Congestion,0.6021505376344086,0.6010865194159234,0.4970914384254664,0.697610143442623,0.9360703988272251,0.8064516129032258,0.4126984126984127,125
Red,3,Amp_norm,Ischaemia vs Congestion,0.0,0.0,0.0,0.0,inf,0.0,1.0,95
Red,3,RiseTime,Normal vs Congestion,0.40166493236212275,0.39566160725016913,0.2598233234295416,0.5490303616220737,inf,0.0,1.0,62
Red,3,FallTime,Normal vs Congestion,0.48022892819979185,0.48229807375125455,0.36135168650793653,0.6022204806687566,0.4925,0.7096774193548387,0.32258064516129037,62
Red,3,PulseWidth,Normal vs Congestion,0.36056191467221643,0.36385190490785846,0.22427703373015873,0.5189426864495797,0.4895,0.9354838709677419,0.12903225806451613,62
Red,3,RiseFall_ratio,Normal vs Congestion,0.4058272632674298,0.3996260738939588,0.26308736654281883,0.5573650568181818,0.49516542391960494,0.6451612903225806,0.3870967741935484,62
Red,3,Pulse_Area,Normal vs Congestion,0.48907388137356916,0.48923449818580084,0.33723710317460315,0.6400317460317461,0.000612031375064509,0.967741935483871,0.25806451612903225,62
Red,9,Amp_norm,Normal vs Ischaemia,0.8447265625,0.8476532070097369,0.73625,0.9232390873015873,0.39120054185290964,0.78125,0.78125,64
Red,9,Amp_norm,Normal vs Congestion,0.4326171875,0.4380224313803147,0.3101387594491043,0.5975776837178396,0.4095144558562972,0.75,0.28125,64
Red,9,Amp_norm,Ischaemia vs Congestion,0.1240234375,0.12488595216317258,0.06302607592930173,0.2172715336134454,inf,0.0,1.0,64
Red,15,Amp_norm,Normal vs Ischaemia,0.6597294484911551,0.6570369890389433,0.5340099943693694,0.779740777786944,0.3428593942109045,0.6129032258064516,0.7419354838709677,62
