Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_samples
IR,3,Amp_norm,Normal vs Congestion,0.984626683,0.950756077,1,134
IR,3,Amp_norm,Normal vs Ischaemia,0.982950033,0.941131907,1,128
IR,9,Amp_norm,Normal vs Ischaemia,0.960572614,0.915063539,1,172
IR,9,Amp_norm,Normal vs Congestion,0.944600763,0.890885483,0.986482802,151
IR,3,Pulse_Area_norm,Normal vs Congestion,0.943438243,0.860563697,1,71
IR,3,D_AUC_norm,Normal vs Congestion,0.943438243,0.860563697,1,71
IR,3,Pulse_Area_norm,Normal vs Ischaemia,0.941952408,0.868676219,1,65
IR,3,D_AUC_norm,Normal vs Ischaemia,0.941952408,0.868676219,1,65
Red,3,Amp_norm,Normal vs Ischaemia,0.931596824,0.885662563,0.964148694,208
IR,21,Amp_norm,Normal vs Ischaemia,0.914146514,0.872630345,0.958322906,208
IR,15,Amp_norm,Normal vs Ischaemia,0.881495665,0.822030022,0.933190114,216
IR,9,S_AUC_norm,Normal vs Ischaemia,0.84419578,0.748411371,0.925977386,108
IR,9,Pulse_Area_norm,Normal vs Ischaemia,0.842356225,0.741077241,0.931520563,108
IR,15,Amp_norm,Normal vs Congestion,0.842132592,0.775880297,0.908934285,212
IR,15,S_AUC_norm,Normal vs Ischaemia,0.809373288,0.730962803,0.885082096,154
IR,9,D_AUC_norm,Normal vs Ischaemia,0.80848094,0.695586703,0.900933865,108
Red,3,Pulse_Area_norm,Normal vs Ischaemia,0.781771894,0.706596483,0.849527607,145
IR,21,Pulse_Area_norm,Normal vs Ischaemia,0.779109675,0.69922549,0.848015362,143
IR,21,D_AUC_norm,Normal vs Ischaemia,0.765002219,0.679758563,0.833784504,143
IR,3,D_AUC_norm,Ischaemia vs Congestion,0.756028147,0.634993141,0.865298203,70
Red,9,Amp_norm,Normal vs Ischaemia,0.747721636,0.667498469,0.81357565,212
IR,9,Pulse_Area_norm,Normal vs Congestion,0.738673568,0.623707712,0.83447479,87
Red,3,D_AUC_norm,Normal vs Ischaemia,0.737941202,0.651718891,0.816909769,145
IR,15,Pulse_Area_norm,Normal vs Ischaemia,0.737700783,0.649035036,0.823597552,154
IR,3,S_AUC_norm,Normal vs Ischaemia,0.728323932,0.606459627,0.831433342,65
Red/IR_Ratio,21,Red_IR_amp_norm_ratio,Ischaemia vs Congestion,0.720586076,0.713786013,0.72724354,21012
Red,3,S_AUC_norm,Normal vs Ischaemia,0.708758823,0.622815503,0.797153825,145
IR,9,AUC_Ratio,Normal vs Ischaemia,0.70345031,0.593558838,0.808369977,108
IR,15,D_AUC_norm,Normal vs Ischaemia,0.659160524,0.569979478,0.745981971,154
Red/IR_Ratio,15,Red_IR_amp_norm_ratio,Ischaemia vs Congestion,0.649263879,0.641620246,0.656175513,21836
Red,15,Amp_norm,Normal vs Ischaemia,0.640244087,0.579174907,0.701308897,204
IR,21,Amp_norm,Normal vs Congestion,0.639579644,0.571774617,0.718403685,207
Red/IR_Ratio,9,S_AUC_norm_ratio,Ischaemia vs Congestion,0.638302664,0.626867357,0.64888941,8346
IR,15,Pulse_Area_norm,Normal vs Congestion,0.637803563,0.53321598,0.746022689,150
Red,15,D_AUC_norm,Normal vs Ischaemia,0.635756554,0.534454085,0.721940928,142
Red,21,Amp_norm,Normal vs Ischaemia,0.620894479,0.545831423,0.70300466,208
Red/IR_Ratio,21,Pulse_Area_norm_ratio,Ischaemia vs Congestion,0.617787308,0.607299712,0.628165205,9940
Red/IR_Ratio,3,Pulse_Area_norm_ratio,Normal vs Ischaemia,0.616261253,0.601542671,0.632100101,4713
IR,9,S_AUC_norm,Normal vs Congestion,0.615656196,0.485659497,0.741232815,87
Red,9,Pulse_Area_norm,Normal vs Ischaemia,0.613549211,0.52174233,0.710032935,148
Red/IR_Ratio,3,D_AUC_norm_ratio,Normal vs Ischaemia,0.611451105,0.596113247,0.625683101,4713
IR,15,S_AUC_norm,Normal vs Congestion,0.608818736,0.510514462,0.693172539,150
Red/IR_Ratio,3,S_AUC_norm_ratio,Normal vs Ischaemia,0.603089588,0.588495426,0.619972132,4713
IR,21,S_AUC_norm,Normal vs Ischaemia,0.60308041,0.519818471,0.694640849,143
IR,15,D_AUC_norm,Normal vs Congestion,0.602047942,0.498707257,0.707990753,150
Red,15,Pulse_Area_norm,Normal vs Ischaemia,0.595696002,0.500965505,0.693167495,142
IR,21,AUC_Ratio,Ischaemia vs Congestion,0.595525532,0.497368529,0.694185939,141
Red/IR_Ratio,21,D_AUC_norm_ratio,Ischaemia vs Congestion,0.595087268,0.582210065,0.607661755,9940
Red,21,Pulse_Area_norm,Normal vs Ischaemia,0.59049694,0.494682726,0.685422799,143
Red,3,Amp_norm,Normal vs Congestion,0.581709052,0.506164108,0.658515433,210
Red,9,S_AUC_norm,Normal vs Ischaemia,0.58095311,0.490941171,0.668933861,148
IR,15,AUC_Ratio,Normal vs Ischaemia,0.578082839,0.48629156,0.684264705,154
Red/IR_Ratio,9,Red_IR_amp_norm_ratio,Ischaemia vs Congestion,0.577745593,0.570124039,0.585582618,18746
Red,9,D_AUC_norm,Normal vs Ischaemia,0.575309416,0.48978408,0.654640295,148
Red/IR_Ratio,21,S_AUC_norm_ratio,Ischaemia vs Congestion,0.573804326,0.563318863,0.585117195,9940
Red/IR_Ratio,15,S_AUC_norm_ratio,Ischaemia vs Congestion,0.57242466,0.560947694,0.58253005,10800
Red,21,D_AUC_norm,Normal vs Ischaemia,0.571438173,0.47861572,0.661276676,143
Red,15,AUC_Ratio,Ischaemia vs Congestion,0.566589316,0.469086638,0.649434983,142
Red,21,AUC_Ratio,Ischaemia vs Congestion,0.565319604,0.478085021,0.664483493,141
Red/IR_Ratio,3,S_AUC_norm_ratio,Normal vs Congestion,0.564287405,0.550914728,0.57838603,5221
Red/IR_Ratio,21,Pulse_Area_norm_ratio,Normal vs Congestion,0.560423856,0.5501246,0.570307923,10226
Red/IR_Ratio,15,Pulse_Area_norm_ratio,Ischaemia vs Congestion,0.556116368,0.546257981,0.567492766,10800
Red/IR_Ratio,3,Red_IR_amp_norm_ratio,Normal vs Ischaemia,0.555898798,0.546404611,0.566390763,13312
Red,21,S_AUC_norm,Normal vs Ischaemia,0.550861009,0.443042189,0.65002804,143
IR,21,D_AUC_norm,Normal vs Congestion,0.548964803,0.449003239,0.645277489,142
Red,3,AUC_Ratio,Normal vs Congestion,0.544432753,0.450226067,0.638480262,147
Red,3,D_AUC_norm,Normal vs Congestion,0.541823987,0.447134418,0.626739739,147
Red,3,AUC_Ratio,Ischaemia vs Congestion,0.540038144,0.436654774,0.642496726,146
IR,21,Pulse_Area_norm,Normal vs Congestion,0.534766968,0.425581052,0.626022793,142
IR,15,AUC_Ratio,Normal vs Congestion,0.534496207,0.434575249,0.618243056,150
Red/IR_Ratio,21,D_AUC_norm_ratio,Normal vs Congestion,0.534069925,0.521039201,0.546408883,10226
Red,21,S_AUC_norm,Normal vs Congestion,0.532428706,0.444062881,0.623917415,144
IR,9,AUC_Ratio,Normal vs Congestion,0.528989175,0.403109252,0.65820386,87
Red,9,AUC_Ratio,Ischaemia vs Congestion,0.528932602,0.459025381,0.615223409,150
Red/IR_Ratio,21,S_AUC_norm_ratio,Normal vs Congestion,0.527582001,0.517962237,0.537783277,10226
Red,21,Pulse_Area_norm,Normal vs Congestion,0.527391559,0.441338418,0.617006597,144
Red,3,Pulse_Area_norm,Normal vs Congestion,0.518503194,0.425514403,0.602533248,147
Red,15,S_AUC_norm,Normal vs Ischaemia,0.517497607,0.429751984,0.609816752,142
IR,9,D_AUC_norm,Normal vs Congestion,0.516114954,0.383892001,0.645978798,87
Red,21,AUC_Ratio,Normal vs Congestion,0.512397443,0.404405054,0.597732413,144
IR,21,AUC_Ratio,Normal vs Congestion,0.507591703,0.412828212,0.596417368,142
Red,3,S_AUC_norm,Normal vs Congestion,0.506743545,0.411014757,0.602201903,147
Red,15,D_AUC_norm,Normal vs Congestion,0.501304775,0.412771338,0.610371668,138
Red,21,D_AUC_norm,Normal vs Congestion,0.498354978,0.415220736,0.585816658,144
Red/IR_Ratio,9,Pulse_Area_norm_ratio,Ischaemia vs Congestion,0.496941446,0.485471195,0.508511279,8346
Red,3,AUC_Ratio,Normal vs Ischaemia,0.492843192,0.395517857,0.59025338,145
Red/IR_Ratio,9,D_AUC_norm_ratio,Normal vs Ischaemia,0.490889248,0.479053022,0.502875344,8040
Red/IR_Ratio,15,D_AUC_norm_ratio,Ischaemia vs Congestion,0.49014133,0.47982185,0.501286774,10800
Red,9,AUC_Ratio,Normal vs Congestion,0.48547813,0.407072368,0.577235921,146
Red,15,Pulse_Area_norm,Normal vs Congestion,0.484462905,0.376524764,0.58644277,138
Red,21,S_AUC_norm,Ischaemia vs Congestion,0.484134673,0.390664187,0.58339048,141
