Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_samples
Red,3,Amp_norm,Normal vs Ischaemia,0.9603508233223872,0.9132629870129872,1.0,153
Red,3,Amp_norm,Normal vs Congestion,0.6830940278779042,0.6003933747412009,0.7672014901745574,139
Red,3,Amp_norm,Ischaemia vs Congestion,0.0005490562165010867,0.0,0.001990166604211651,156
Red,3,Pulse_Area_norm,Normal vs Ischaemia,0.9392064214894702,0.8669809730939708,1.0,89
Red,3,Pulse_Area_norm,Normal vs Congestion,0.6267960051546411,0.5040889014142241,0.7619949494949495,75
Red,3,Pulse_Area_norm,Ischaemia vs Congestion,0.06731987330516774,0.01712851877504578,0.14061289053535722,92
Red,3,S_AUC_norm,Normal vs Ischaemia,0.8572286467204471,0.756670139741608,0.9405455974842767,89
Red,3,S_AUC_norm,Normal vs Congestion,0.5913062784882408,0.47142280361757105,0.7320301291248207,75
Red,3,S_AUC_norm,Ischaemia vs Congestion,0.11731619985243555,0.0493160845312968,0.18622084938926858,92
Red,3,D_AUC_norm,Normal vs Ischaemia,0.9283619460624394,0.8526243379675604,0.9960064935064936,89
Red,3,D_AUC_norm,Normal vs Congestion,0.6142646699973348,0.47353439343216963,0.738590048840049,75
Red,3,D_AUC_norm,Ischaemia vs Congestion,0.08999990975361814,0.023481335934166077,0.18542824996377866,92
Red,3,AUC_Ratio,Normal vs Ischaemia,0.5302252218161878,0.4120923520923521,0.6374985047846891,89
Red,3,AUC_Ratio,Normal vs Congestion,0.5310230354519381,0.38293718853820596,0.649277869648994,75
Red,3,AUC_Ratio,Ischaemia vs Congestion,0.4722580797414059,0.3593343868147448,0.5808363570391872,92
Red,9,Amp_norm,Normal vs Ischaemia,0.7730947800415346,0.6837618185243217,0.8335038139978125,180
Red,9,Amp_norm,Normal vs Congestion,0.3822652457485313,0.3133324213049823,0.45972294493267557,186
Red,9,Amp_norm,Ischaemia vs Congestion,0.15307232627023382,0.09831003010719976,0.2340156353934812,182
Red,9,Pulse_Area_norm,Normal vs Ischaemia,0.6280517963109005,0.5455012768615933,0.715318957771788,116
Red,9,Pulse_Area_norm,Normal vs Congestion,0.43335046107695346,0.34954743023467505,0.5206735591045014,122
Red,9,Pulse_Area_norm,Ischaemia vs Congestion,0.3111470297600781,0.22556610519624978,0.4064880221130222,118
Red,9,S_AUC_norm,Normal vs Ischaemia,0.598620091979626,0.5024792518627228,0.6917445976154993,116
Red,9,S_AUC_norm,Normal vs Congestion,0.4995178934968659,0.4163663566447354,0.5913563760146636,122
Red,9,S_AUC_norm,Ischaemia vs Congestion,0.41165978985551094,0.31233429903900506,0.49912672811059916,118
Red,9,D_AUC_norm,Normal vs Ischaemia,0.563456057036202,0.4713837381967713,0.655061979312588,116
Red,9,D_AUC_norm,Normal vs Congestion,0.42598962226750586,0.31867719672829187,0.51818887366086,122
Red,9,D_AUC_norm,Ischaemia vs Congestion,0.35213479944808346,0.2505641794034266,0.4461487868556921,118
Red,9,AUC_Ratio,Normal vs Ischaemia,0.46508118997257797,0.37195630097489485,0.5592953431372549,116
Red,9,AUC_Ratio,Normal vs Congestion,0.521872956945799,0.43056143524220036,0.6355866835713425,122
Red,9,AUC_Ratio,Ischaemia vs Congestion,0.5631436912738113,0.4487611467796782,0.6685412436979677,118
Red,15,Amp_norm,Normal vs Ischaemia,0.6934155563405682,0.608204336256694,0.7637583122895624,195
Red,15,Amp_norm,Normal vs Congestion,0.49210524908185316,0.4159811649335552,0.5720764716151092,194
Red,15,Amp_norm,Ischaemia vs Congestion,0.3190984314476374,0.2523911917561005,0.3947551709582102,195
Red,15,Pulse_Area_norm,Normal vs Ischaemia,0.576459692048942,0.4925589525283797,0.6815175565258447,132
Red,15,Pulse_Area_norm,Normal vs Congestion,0.5346496263946736,0.4402583484602634,0.6250118793062486,130
Red,15,Pulse_Area_norm,Ischaemia vs Congestion,0.47346960646351705,0.35499173841862725,0.5804200555153188,132
Red,15,S_AUC_norm,Normal vs Ischaemia,0.563039718710565,0.46403864696911407,0.6684537122140524,132
Red,15,S_AUC_norm,Normal vs Congestion,0.4880997244804125,0.39176143094053545,0.6001156445376026,130
Red,15,S_AUC_norm,Ischaemia vs Congestion,0.4432555574374015,0.3348112535612535,0.5383367839889578,132
Red,15,D_AUC_norm,Normal vs Ischaemia,0.5588899786984765,0.4616860313076631,0.6634613033503846,132
Red,15,D_AUC_norm,Normal vs Congestion,0.5830115436192866,0.4936653476990219,0.6713956797919063,130
Red,15,D_AUC_norm,Ischaemia vs Congestion,0.533584591975695,0.4361742187657941,0.6513874667891006,132
Red,15,AUC_Ratio,Normal vs Ischaemia,0.4600949214088048,0.36840636893811307,0.5485474058769514,132
Red,15,AUC_Ratio,Normal vs Congestion,0.4486972309752122,0.3463235464432311,0.5623190369437251,130
Red,15,AUC_Ratio,Ischaemia vs Congestion,0.46965229391463537,0.36550960245787467,0.5790847967173666,132
Red,21,Amp_norm,Normal vs Ischaemia,0.6367966154645341,0.5645589026435799,0.7077583474218091,195
Red,21,Amp_norm,Normal vs Congestion,0.5106059049475175,0.44296610200156844,0.5877952836538717,189
Red,21,Amp_norm,Ischaemia vs Congestion,0.3712183477915189,0.30161329096435474,0.44607382306657045,194
Red,21,Pulse_Area_norm,Normal vs Ischaemia,0.597761931526818,0.4868422167253998,0.7025976648678003,130
Red,21,Pulse_Area_norm,Normal vs Congestion,0.536934780660673,0.4473468057366362,0.638042111197849,124
Red,21,Pulse_Area_norm,Ischaemia vs Congestion,0.4401164233691871,0.34561725906537405,0.5400277015198536,130
Red,21,S_AUC_norm,Normal vs Ischaemia,0.5428147871522019,0.43441248751416667,0.6416616849870295,130
Red,21,S_AUC_norm,Normal vs Congestion,0.49768429070541975,0.3969104651729969,0.586617498854787,124
Red,21,S_AUC_norm,Ischaemia vs Congestion,0.4623249447954851,0.35742478901824637,0.5769348275648103,130
Red,21,D_AUC_norm,Normal vs Ischaemia,0.5955304906687118,0.48903669783471027,0.7054872989334461,130
