Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_samples
Red,3,Skewness,Normal vs Ischaemia,0.37486815770670084,0.25976572511530577,0.4930509080509082,89
Red,3,Skewness,Normal vs Congestion,0.5660336006146341,0.447206416943259,0.7224354375896701,75
Red,3,Skewness,Ischaemia vs Congestion,0.6729792551037787,0.5631868059227921,0.792422642813268,92
Red,3,Kurtosis,Normal vs Ischaemia,0.6887495242209257,0.5792190335753177,0.7965052308802308,89
Red,3,Kurtosis,Normal vs Congestion,0.4883103209583906,0.33928507925218454,0.6285829493087558,75
Red,3,Kurtosis,Ischaemia vs Congestion,0.33568050924871284,0.21442126074938575,0.45500313283208027,92
Red,3,Width_Ratio,Normal vs Ischaemia,0.6570073298757041,0.5465774958632102,0.7654411461554319,89
Red,3,Width_Ratio,Normal vs Congestion,0.49681392652239587,0.3530259521998532,0.6196297653958944,75
Red,3,Width_Ratio,Ischaemia vs Congestion,0.3325566063915089,0.22075719858614595,0.45780644004257887,92
Red,3,DatumArea_norm,Normal vs Ischaemia,0.6574259237350012,0.5546963932763115,0.7607608939802336,89
Red,3,DatumArea_norm,Normal vs Congestion,0.434898535567485,0.3182758416311048,0.5686974789915966,75
Red,3,DatumArea_norm,Ischaemia vs Congestion,0.306494652679971,0.20310697115384616,0.40768107413419913,92
Red,9,Skewness,Normal vs Ischaemia,0.387998879729234,0.2793051811919736,0.4862190485388376,116
Red,9,Skewness,Normal vs Congestion,0.5223583095907258,0.4255288461538462,0.6326588745997368,122
Red,9,Skewness,Ischaemia vs Congestion,0.638009528665728,0.5249785996488148,0.742232508085997,118
Red,9,Kurtosis,Normal vs Ischaemia,0.5837109277805308,0.4848884459546601,0.6801428310761497,116
Red,9,Kurtosis,Normal vs Congestion,0.5369731964627913,0.44163155062798237,0.6387423195084486,122
Red,9,Kurtosis,Ischaemia vs Congestion,0.447691054672031,0.34362251718869363,0.5453312838108595,118
Red,9,Width_Ratio,Normal vs Ischaemia,0.522728010321059,0.4279792321357313,0.6154761904761905,116
Red,9,Width_Ratio,Normal vs Congestion,0.4971583470986735,0.3968070605435157,0.589983198612738,122
Red,9,Width_Ratio,Ischaemia vs Congestion,0.4543244026478024,0.36136256720430115,0.546046097999223,118
Red,9,DatumArea_norm,Normal vs Ischaemia,0.49813825777941595,0.3967766590737528,0.597107705066733,116
Red,9,DatumArea_norm,Normal vs Congestion,0.4882727109566558,0.393585174154204,0.581356329720082,122
Red,9,DatumArea_norm,Ischaemia vs Congestion,0.478399452873455,0.374780994026738,0.5742745560488347,118
Red,15,Skewness,Normal vs Ischaemia,0.48080223675521583,0.38883611586632477,0.5822185412958818,132
Red,15,Skewness,Normal vs Congestion,0.39812967607454897,0.30760427505270804,0.4938062256492595,130
Red,15,Skewness,Ischaemia vs Congestion,0.4214103972269465,0.33308729967673156,0.5186442985633264,132
Red,15,Kurtosis,Normal vs Ischaemia,0.4606993669713432,0.37445800949171193,0.5586642807665667,132
Red,15,Kurtosis,Normal vs Congestion,0.531255702261196,0.4357085253456221,0.6285032051282051,130
Red,15,Kurtosis,Ischaemia vs Congestion,0.5703229007886779,0.47931523022432115,0.6675718146400351,132
Red,15,Width_Ratio,Normal vs Ischaemia,0.39982934550357285,0.32415147569444447,0.5060493386404148,132
Red,15,Width_Ratio,Normal vs Congestion,0.4610679335686649,0.368126882837845,0.5716617017263569,130
Red,15,Width_Ratio,Ischaemia vs Congestion,0.5697328652765871,0.47261416003351486,0.6598113641591903,132
Red,15,DatumArea_norm,Normal vs Ischaemia,0.5141434632540886,0.42740787963592103,0.6105133075591115,132
