Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_samples
IR,3,Downslope_norm,Normal vs Ischaemia,0.939726588,0.847875458,1,65
IR,3,Upslope_norm,Normal vs Congestion,0.937786924,0.861824565,0.999202647,71
IR,3,Slope_Ratio,Normal vs Congestion,0.911634525,0.808861533,0.973813879,71
IR,3,Slope_Ratio,Ischaemia vs Congestion,0.880014857,0.801801802,0.958036833,70
IR,3,DownslopeLength_norm,Ischaemia vs Congestion,0.869533517,0.78864012,0.949383578,70
IR,3,Upslope_norm,Ischaemia vs Congestion,0.864726498,0.779664824,0.950713987,70
IR,3,Downslope_norm,Normal vs Congestion,0.845640953,0.731688444,0.94609063,71
IR,3,Length_Height_Ratio,Ischaemia vs Congestion,0.833912443,0.718676418,0.93065768,70
IR,9,Downslope_norm,Normal vs Congestion,0.804103071,0.703363133,0.902863716,87
IR,9,Length_Height_Ratio,Ischaemia vs Congestion,0.802185302,0.702503901,0.895707973,111
Red/IR_Ratio,3,UpslopeLength_norm_ratio,Normal vs Congestion,0.792791037,0.779549519,0.804953677,5221
Red/IR_Ratio,3,UpslopeLength_norm_ratio,Ischaemia vs Congestion,0.784203653,0.769444529,0.796731516,5116
IR,9,DownslopeLength_norm,Ischaemia vs Congestion,0.781104361,0.675964694,0.876130191,111
IR,21,Length_Height_Ratio,Ischaemia vs Congestion,0.759898618,0.678205958,0.849012596,141
IR,15,Length_Height_Ratio,Ischaemia vs Congestion,0.741496618,0.663863981,0.820987782,152
IR,9,Upslope_norm,Ischaemia vs Congestion,0.739888971,0.647306226,0.8356303,111
IR,3,Upslope_norm,Normal vs Ischaemia,0.720295112,0.599961014,0.819507512,65
Red,9,Length_Height_Ratio,Ischaemia vs Congestion,0.713163137,0.635911591,0.781595692,150
IR,9,UpslopeLength_norm,Ischaemia vs Congestion,0.71134687,0.603798559,0.8026258,111
IR,9,Downslope_norm,Normal vs Ischaemia,0.709576448,0.610627111,0.817604957,108
IR,21,UpslopeLength_norm,Ischaemia vs Congestion,0.695779323,0.612867603,0.788383876,141
Red,3,UpslopeLength_norm,Ischaemia vs Congestion,0.694956446,0.619757908,0.777658854,146
Red,9,UpslopeLength_norm,Ischaemia vs Congestion,0.691551205,0.599528366,0.769549681,150
IR,3,Slope_Ratio,Normal vs Ischaemia,0.690459157,0.565048383,0.797119672,65
Red,3,Length_Height_Ratio,Ischaemia vs Congestion,0.688298494,0.608637663,0.771526121,146
Red/IR_Ratio,21,UpslopeLength_norm_ratio,Normal vs Ischaemia,0.655275547,0.644273505,0.665452949,10226
IR,15,UpslopeLength_norm,Ischaemia vs Congestion,0.648052132,0.561838219,0.734993134,152
IR,9,Slope_Ratio,Ischaemia vs Congestion,0.639116125,0.52955934,0.748005347,111
IR,9,SlopeLength_Ratio,Normal vs Ischaemia,0.635815513,0.527380187,0.746696095,108
IR,21,Downslope_norm,Ischaemia vs Congestion,0.628360009,0.541004969,0.711098443,141
Red/IR_Ratio,9,Upslope_norm_ratio,Normal vs Ischaemia,0.62687618,0.614832529,0.639169048,8040
Red,3,DownslopeLength_norm,Ischaemia vs Congestion,0.619591251,0.52606648,0.712854115,146
Red/IR_Ratio,21,DownslopeLength_norm_ratio,Normal vs Ischaemia,0.61798,0.606732375,0.628795631,10226
Red,9,Length_Height_Ratio,Normal vs Congestion,0.612531597,0.513911411,0.715110194,146
Red/IR_Ratio,15,DownslopeLength_norm_ratio,Normal vs Ischaemia,0.612163348,0.601043387,0.622657682,10938
Red/IR_Ratio,21,UpslopeLength_norm_ratio,Normal vs Congestion,0.611093194,0.601542023,0.621944832,10226
IR,15,DownslopeLength_norm,Ischaemia vs Congestion,0.608503674,0.507173776,0.699723908,152
Red,15,UpslopeLength_norm,Ischaemia vs Congestion,0.606911798,0.509811908,0.685545753,142
Red,15,Downslope_norm,Ischaemia vs Congestion,0.60451192,0.520729467,0.685511846,142
Red,21,UpslopeLength_norm,Ischaemia vs Congestion,0.604149135,0.511250219,0.704066456,141
Red,21,Downslope_norm,Ischaemia vs Congestion,0.595482604,0.511648819,0.692870557,141
Red/IR_Ratio,9,DownslopeLength_norm_ratio,Normal vs Ischaemia,0.593965606,0.582687236,0.606284436,8040
Red,15,Slope_Ratio,Normal vs Ischaemia,0.589318126,0.492638965,0.673497769,142
Red,9,DownslopeLength_norm,Ischaemia vs Congestion,0.588780908,0.505752865,0.664964654,150
Red,21,SlopeLength_Ratio,Ischaemia vs Congestion,0.585947261,0.494309193,0.683972613,141
IR,21,DownslopeLength_norm,Ischaemia vs Congestion,0.585372879,0.485742238,0.667626142,141
IR,15,Upslope_norm,Ischaemia vs Congestion,0.583688312,0.498585196,0.679637374,152
Red,15,DownslopeLength_norm,Normal vs Ischaemia,0.582437087,0.496112514,0.662941439,142
Red/IR_Ratio,9,UpslopeLength_norm_ratio,Normal vs Congestion,0.574599526,0.561843716,0.588029614,6354
Red/IR_Ratio,3,Downslope_norm_ratio,Ischaemia vs Congestion,0.573078337,0.558882897,0.587326008,5116
IR,21,SlopeLength_Ratio,Ischaemia vs Congestion,0.569664486,0.470104637,0.658516565,141
Red,15,SlopeLength_Ratio,Ischaemia vs Congestion,0.569213339,0.468279235,0.65235951,142
Red,9,UpslopeLength_norm,Normal vs Congestion,0.568392948,0.456988611,0.661387211,146
Red/IR_Ratio,15,Downslope_norm_ratio,Ischaemia vs Congestion,0.566659847,0.554783692,0.5771355,10800
Red/IR_Ratio,3,DownslopeLength_norm_ratio,Ischaemia vs Congestion,0.566560234,0.550159717,0.58126237,5116
Red/IR_Ratio,9,UpslopeLength_norm_ratio,Ischaemia vs Congestion,0.565272954,0.554661895,0.575901902,8346
Red,9,Upslope_norm,Normal vs Ischaemia,0.563894202,0.482494618,0.644575772,148
IR,21,Upslope_norm,Normal vs Ischaemia,0.56226,0.461997645,0.64327316,143
Red/IR_Ratio,21,DownslopeLength_norm_ratio,Normal vs Congestion,0.560067463,0.547562775,0.570294151,10226
IR,21,Slope_Ratio,Normal vs Ischaemia,0.559606928,0.463791491,0.649062255,143
Red/IR_Ratio,15,UpslopeLength_norm_ratio,Normal vs Congestion,0.559562405,0.549845408,0.570679876,10350
Red/IR_Ratio,9,DownslopeLength_norm_ratio,Normal vs Congestion,0.554095666,0.54096612,0.569186073,6354
Red/IR_Ratio,3,DownslopeLength_norm_ratio,Normal vs Congestion,0.553915567,0.53875615,0.568859583,5221
Red,9,DownslopeLength_norm,Normal vs Congestion,0.553614474,0.466209372,0.643145099,146
Red,21,Slope_Ratio,Normal vs Ischaemia,0.551405466,0.459639145,0.644111586,143
Red,9,Slope_Ratio,Normal vs Ischaemia,0.549917325,0.457260421,0.620454759,148
Red,21,DownslopeLength_norm,Normal vs Ischaemia,0.54924004,0.458016959,0.639597996,143
Red/IR_Ratio,15,Upslope_norm_ratio,Normal vs Ischaemia,0.548434497,0.537047823,0.55783198,10938
Red,15,DownslopeLength_norm,Normal vs Congestion,0.547692935,0.455490196,0.647574205,138
Red/IR_Ratio,15,DownslopeLength_norm_ratio,Normal vs Congestion,0.545805428,0.533357975,0.557301601,10350
IR,9,Upslope_norm,Normal vs Congestion,0.542631391,0.397460289,0.66759232,87
Red,21,UpslopeLength_norm,Normal vs Congestion,0.539847193,0.450176301,0.633402811,144
Red,21,Length_Height_Ratio,Ischaemia vs Congestion,0.536810097,0.445445853,0.630856778,141
IR,15,Downslope_norm,Normal vs Congestion,0.535623997,0.437122346,0.642117222,150
Red,15,Upslope_norm,Normal vs Ischaemia,0.535601985,0.443192988,0.622353,142
IR,21,Upslope_norm,Normal vs Congestion,0.535308197,0.44765439,0.629677176,142
Red,15,UpslopeLength_norm,Normal vs Congestion,0.532506165,0.430300776,0.63084274,138
Red,3,Downslope_norm,Ischaemia vs Congestion,0.530430752,0.440436292,0.618373827,146
Red,3,Upslope_norm,Normal vs Ischaemia,0.530109289,0.433147878,0.628728571,145
Red/IR_Ratio,15,UpslopeLength_norm_ratio,Ischaemia vs Congestion,0.529545984,0.518271292,0.539614768,10800
Red,21,Length_Height_Ratio,Normal vs Congestion,0.528618955,0.428542235,0.644482645,144
IR,15,Slope_Ratio,Ischaemia vs Congestion,0.527707774,0.427576765,0.617310215,152
Red/IR_Ratio,15,UpslopeLength_norm_ratio,Normal vs Ischaemia,0.527343538,0.517737685,0.537712643,10938
Red,21,SlopeLength_Ratio,Normal vs Congestion,0.526676922,0.444710093,0.62035981,144
Red,3,Upslope_norm,Normal vs Congestion,0.526645351,0.436883496,0.611872652,147
IR,15,SlopeLength_Ratio,Normal vs Ischaemia,0.522763273,0.438338244,0.622945177,154
Red,9,Slope_Ratio,Normal vs Congestion,0.522446946,0.433032415,0.615474624,146
IR,21,Downslope_norm,Normal vs Congestion,0.52075608,0.425272009,0.61689955,142
Red,15,Slope_Ratio,Normal vs Congestion,0.520253568,0.434308231,0.611950139,138
