Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_samples
Red,3,Upslope_norm,Normal vs Ischaemia,0.39256678290943525,0.2710923687656881,0.534014463241437,89
Red,3,Upslope_norm,Normal vs Congestion,0.513393094468013,0.37744872416020675,0.6314516129032258,75
Red,3,Upslope_norm,Ischaemia vs Congestion,0.633707503151675,0.5363684790899745,0.739529866332498,92
Red,3,Downslope_norm,Normal vs Ischaemia,0.6670964716535237,0.5502324263038548,0.7870506409595491,89
Red,3,Downslope_norm,Normal vs Congestion,0.6427848924189681,0.49709899330940494,0.7661862402132268,75
Red,3,Downslope_norm,Ischaemia vs Congestion,0.32970327154029805,0.20875451635395542,0.45012844611528824,92
Red,3,UpslopeLength_norm,Normal vs Ischaemia,0.11056336103608735,0.0377953822806764,0.1924189873204857,89
Red,3,UpslopeLength_norm,Normal vs Congestion,0.4334749527990389,0.3145620832661035,0.565692584149505,75
Red,3,UpslopeLength_norm,Ischaemia vs Congestion,0.9443266813544574,0.8923110119047619,0.9824608098196139,92
Red,3,DownslopeLength_norm,Normal vs Ischaemia,0.17305396596272515,0.08982620320855617,0.25828463203463214,89
Red,3,DownslopeLength_norm,Normal vs Congestion,0.3960963435298595,0.2782754733154442,0.5298873546511628,75
Red,3,DownslopeLength_norm,Ischaemia vs Congestion,0.8488196783123447,0.7524739025920609,0.9419734621874521,92
Red,3,Slope_Ratio,Normal vs Ischaemia,0.472592599890755,0.36383838383838385,0.5894462719298246,89
Red,3,Slope_Ratio,Normal vs Congestion,0.5280242051363391,0.3865390384721352,0.6779922438672439,75
Red,3,Slope_Ratio,Ischaemia vs Congestion,0.5579490037310522,0.4370037071846282,0.6751975068659272,92
Red,3,Length_Height_Ratio,Normal vs Ischaemia,0.19884771361253853,0.10566141289051507,0.28781694495980215,89
Red,3,Length_Height_Ratio,Normal vs Congestion,0.44146679209928086,0.3076850136410607,0.5793978146525267,75
Red,3,Length_Height_Ratio,Ischaemia vs Congestion,0.8520903262357478,0.7587946856093757,0.9284436962515683,92
Red,3,SlopeLength_Ratio,Normal vs Ischaemia,0.5286220828699923,0.41173245614035087,0.6391868686868687,89
Red,3,SlopeLength_Ratio,Normal vs Congestion,0.47332279765432156,0.3227222222222222,0.6156507151659003,75
Red,3,SlopeLength_Ratio,Ischaemia vs Congestion,0.43952015581735976,0.32150060634162,0.560515481411863,92
Red,9,Upslope_norm,Normal vs Ischaemia,0.6144611903614842,0.49812529458898946,0.7118412368881119,116
Red,9,Upslope_norm,Normal vs Congestion,0.4862489009130721,0.38784943568511787,0.5718181209216,122
Red,9,Upslope_norm,Ischaemia vs Congestion,0.3725480735529662,0.28794933168841386,0.47802564606515074,118
Red,9,Downslope_norm,Normal vs Ischaemia,0.47227958382146695,0.371854771196003,0.5792256351465317,116
Red,9,Downslope_norm,Normal vs Congestion,0.5180710783253177,0.41157979809437384,0.6159770351563394,122
Red,9,Downslope_norm,Ischaemia vs Congestion,0.5453898068635001,0.418449326211423,0.6493646644236267,118
Red,9,UpslopeLength_norm,Normal vs Ischaemia,0.24281978916553143,0.15922388266129767,0.3322541972763949,116
Red,9,UpslopeLength_norm,Normal vs Congestion,0.5829125866632117,0.48850279846499806,0.6695439030821517,122
Red,9,UpslopeLength_norm,Ischaemia vs Congestion,0.8162475694831857,0.7428343972398782,0.8929442959001783,118
Red,9,DownslopeLength_norm,Normal vs Ischaemia,0.4059928223219035,0.3107149885700562,0.5035342274166309,116
Red,9,DownslopeLength_norm,Normal vs Congestion,0.5312289407554416,0.4317326789472852,0.6305570688727469,122
Red,9,DownslopeLength_norm,Ischaemia vs Congestion,0.6265634633734887,0.5356245668745668,0.7355845551025947,118
Red,9,Slope_Ratio,Normal vs Ischaemia,0.5718801419911411,0.4732117293927499,0.6694597676269437,116
Red,9,Slope_Ratio,Normal vs Congestion,0.4805823738156729,0.372980190589468,0.5804925805740438,122
Red,9,Slope_Ratio,Ischaemia vs Congestion,0.4249726802363536,0.32176254627725215,0.5457966743643101,118
Red,9,Length_Height_Ratio,Normal vs Ischaemia,0.29321493019372213,0.1930191280286678,0.3966353827452607,116
Red,9,Length_Height_Ratio,Normal vs Congestion,0.5283724646958021,0.4398364135864136,0.6245944119437442,122
Red,9,Length_Height_Ratio,Ischaemia vs Congestion,0.7262792092333582,0.6513846396658897,0.805349679394149,118
Red,9,SlopeLength_Ratio,Normal vs Ischaemia,0.4281198580088589,0.33054023237305624,0.52678827060725,116
Red,9,SlopeLength_Ratio,Normal vs Congestion,0.5194176261843271,0.41950741942595604,0.627019809410532,122
Red,9,SlopeLength_Ratio,Ischaemia vs Congestion,0.5750273197636464,0.45420332563568994,0.6782374537227478,118
Red,15,Upslope_norm,Normal vs Ischaemia,0.5054167911443347,0.3916612710528051,0.599389400921659,132
Red,15,Upslope_norm,Normal vs Congestion,0.5040677471346122,0.39518575866626887,0.606556713523831,130
Red,15,Upslope_norm,Ischaemia vs Congestion,0.48853648562538704,0.3889300401541488,0.5983102062876469,132
Red,15,Downslope_norm,Normal vs Ischaemia,0.45618255188140316,0.358367839889579,0.5459512307338394,132
Red,15,Downslope_norm,Normal vs Congestion,0.4368655546919953,0.3435218896987144,0.5352584711303876,130
Red,15,Downslope_norm,Ischaemia vs Congestion,0.49446652974687083,0.4064249512670565,0.6015107996323531,132
Red,15,UpslopeLength_norm,Normal vs Ischaemia,0.3983979477177288,0.2994638856886841,0.5074630299159826,132
Red,15,UpslopeLength_norm,Normal vs Congestion,0.4853806643311687,0.3767690823327616,0.5818606311312668,130
Red,15,UpslopeLength_norm,Ischaemia vs Congestion,0.5870680313625679,0.4882736508359675,0.6793249938584305,132
Red,15,DownslopeLength_norm,Normal vs Ischaemia,0.47108512621691045,0.3754234182593867,0.5621746375359356,132
Red,15,DownslopeLength_norm,Normal vs Congestion,0.5317232350925211,0.436614939637827,0.6202434948675102,130
Red,15,DownslopeLength_norm,Ischaemia vs Congestion,0.5562463027373793,0.4522963394294916,0.6474634316229395,132
