Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_samples
Red,3,RiseTime,Normal vs Ischaemia,0.6085540006663199,0.4681236946532999,0.730510067663429,89
Red,3,RiseTime,Normal vs Congestion,0.48789184373871164,0.36967558651026394,0.6257307816537467,75
Red,3,RiseTime,Ischaemia vs Congestion,0.3647888938037578,0.26043358395989974,0.4613915459726823,92
Red,3,FallTime,Normal vs Ischaemia,0.49955463099826886,0.40393811943844077,0.5998603067353067,89
Red,3,FallTime,Normal vs Congestion,0.49687952288571396,0.3915351506456241,0.577165288684184,75
Red,3,FallTime,Ischaemia vs Congestion,0.5126464639620891,0.39918087121212126,0.6258638118638119,92
Red,3,PulseWidth,Normal vs Ischaemia,0.6875660002567189,0.5704935738712088,0.7825634699730095,89
Red,3,PulseWidth,Normal vs Congestion,0.477113125431533,0.3503056955531848,0.6228280791788857,75
Red,3,PulseWidth,Ischaemia vs Congestion,0.31252000176940375,0.2111129646813002,0.4374358094126036,92
Red,3,SystolicWidth,Normal vs Ischaemia,0.5958610392200873,0.4537818421870146,0.7225011911568514,89
Red,3,SystolicWidth,Normal vs Congestion,0.4473635044040367,0.33973473837209306,0.5862087517934002,75
Red,3,SystolicWidth,Ischaemia vs Congestion,0.36156361824892996,0.2643187059056845,0.45496279645810583,92
Red,3,DiastolicWidth,Normal vs Ischaemia,0.6641206269997321,0.5370825906120024,0.7612221479500891,89
Red,3,DiastolicWidth,Normal vs Congestion,0.4708084293321825,0.34132183849149417,0.6059653679653679,75
Red,3,DiastolicWidth,Ischaemia vs Congestion,0.3259771608226734,0.2255149664524664,0.4535013207131852,92
Red,3,RiseTime_norm_bpm,Normal vs Ischaemia,0.6085540006663199,0.4681236946532999,0.730510067663429,89
Red,3,RiseTime_norm_bpm,Normal vs Congestion,0.5076040965399572,0.38191071428571427,0.63833306416882,75
Red,3,RiseTime_norm_bpm,Ischaemia vs Congestion,0.3721725196709238,0.2631265664160401,0.47216890880319895,92
Red,3,FallTime_norm_bpm,Normal vs Ischaemia,0.49955463099826886,0.40393811943844077,0.5998603067353067,89
Red,3,FallTime_norm_bpm,Normal vs Congestion,0.8090800844313505,0.676473544973545,0.9197570947570948,75
Red,3,FallTime_norm_bpm,Ischaemia vs Congestion,0.7008690916112823,0.580077717760822,0.8268948201652402,92
Red,3,PulseWidth_norm_bpm,Normal vs Ischaemia,0.6875660002567189,0.5704935738712088,0.7825634699730095,89
Red,3,PulseWidth_norm_bpm,Normal vs Congestion,0.49445375879406633,0.3726047120953864,0.6302785923753665,75
Red,3,PulseWidth_norm_bpm,Ischaemia vs Congestion,0.3210191864292435,0.22137604161371505,0.4450120793092854,92
Red,3,SystolicWidth_norm_bpm,Normal vs Ischaemia,0.5958610392200873,0.4537818421870146,0.7225011911568514,89
Red,3,SystolicWidth_norm_bpm,Normal vs Congestion,0.4665867434070438,0.3615800865800866,0.6018321603427172,75
Red,3,SystolicWidth_norm_bpm,Ischaemia vs Congestion,0.3721406338184349,0.27211680668545773,0.46636346348884383,92
Red,3,DiastolicWidth_norm_bpm,Normal vs Ischaemia,0.6641206269997321,0.5370825906120024,0.7612221479500891,89
Red,3,DiastolicWidth_norm_bpm,Normal vs Congestion,0.48246557785017147,0.35713563230170114,0.6176645021645022,75
Red,3,DiastolicWidth_norm_bpm,Ischaemia vs Congestion,0.33366302615617754,0.2352415068040068,0.4625148029936166,92
Red,3,RiseFall_ratio,Normal vs Ischaemia,0.47198525851038137,0.3623257575757576,0.5888569078947368,89
Red,3,RiseFall_ratio,Normal vs Congestion,0.5273507037410089,0.3854721183654394,0.6776350108225109,75
