Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_samples
Red,3,RiseTime,Normal vs Ischaemia,0.470214220028103,0.37192619047619047,0.5676573711676451,145
Red,3,RiseTime,Normal vs Congestion,0.47366135324956643,0.38841392098131505,0.5630303889508624,147
Red,3,RiseTime,Ischaemia vs Congestion,0.4907227878792757,0.40250310534114403,0.5929304520676804,146
Red,3,FallTime,Normal vs Ischaemia,0.5496794125739163,0.4668365015648448,0.6431941868023846,145
Red,3,FallTime,Normal vs Congestion,0.48902110842182106,0.39013624446109774,0.5845302660116544,147
Red,3,FallTime,Ischaemia vs Congestion,0.44586744489718455,0.3570156643621894,0.5424596471471472,146
Red,3,PulseWidth,Normal vs Ischaemia,0.5274705909754102,0.43973729332010586,0.6185054876496052,145
Red,3,PulseWidth,Normal vs Congestion,0.46122214215334995,0.37126732589587563,0.5439278118774844,147
Red,3,PulseWidth,Ischaemia vs Congestion,0.4475566272187963,0.36146248191789354,0.5358809218950065,146
Red,3,SystolicWidth,Normal vs Ischaemia,0.5016137392748496,0.40285587429448194,0.6079374037245301,145
Red,3,SystolicWidth,Normal vs Congestion,0.4788592448395913,0.39319070408825435,0.5703707090881693,147
Red,3,SystolicWidth,Ischaemia vs Congestion,0.47065331318927484,0.372503778575477,0.5669361567893194,146
Red,3,DiastolicWidth,Normal vs Ischaemia,0.5568413059549882,0.4684781982835008,0.644817343444227,145
Red,3,DiastolicWidth,Normal vs Congestion,0.5120128648533567,0.42069648744655413,0.5989945928756693,147
Red,3,DiastolicWidth,Ischaemia vs Congestion,0.46465997964407946,0.3703288607144878,0.5485319951839552,146
Red,3,RiseFall_ratio,Normal vs Ischaemia,0.5082817246987298,0.4234794092693336,0.6154571848186792,145
Red,3,RiseFall_ratio,Normal vs Congestion,0.4901430984292618,0.39989448352462054,0.5750156608844165,147
Red,3,RiseFall_ratio,Ischaemia vs Congestion,0.4943780676271946,0.39257134038990044,0.5802898970825328,146
Red,3,Width_Ratio,Normal vs Ischaemia,0.5274349618172016,0.43430667433831993,0.6314784480225657,145
Red,3,Width_Ratio,Normal vs Congestion,0.5417670600313853,0.4508695800193202,0.6240501177528351,147
Red,3,Width_Ratio,Ischaemia vs Congestion,0.516855064813053,0.42100633108876606,0.6068703384968445,146
Red,9,RiseTime,Normal vs Ischaemia,0.4361378809222806,0.3552460478118373,0.5162334411183138,148
Red,9,RiseTime,Normal vs Congestion,0.4875751261569222,0.39952927081216555,0.565227807694913,146
Red,9,RiseTime,Ischaemia vs Congestion,0.5481659433104324,0.46201177658824616,0.6361786815315583,150
Red,9,FallTime,Normal vs Ischaemia,0.5801010370236361,0.48406596152718157,0.657670401493931,148
Red,9,FallTime,Normal vs Congestion,0.5587305380333957,0.4665359646977294,0.6422808985850211,146
Red,9,FallTime,Ischaemia vs Congestion,0.49311298339327225,0.4069419642857143,0.5818995688451334,150
Red,9,PulseWidth,Normal vs Ischaemia,0.489983431487272,0.4011527996615313,0.5635012087824983,148
Red,9,PulseWidth,Normal vs Congestion,0.5239032317406989,0.4339641122012046,0.6110124763544492,146
Red,9,PulseWidth,Ischaemia vs Congestion,0.5206606501364145,0.4438481972516373,0.607929805639566,150
Red,9,SystolicWidth,Normal vs Ischaemia,0.4426060372095641,0.3660911786190006,0.5304450075251764,148
Red,9,SystolicWidth,Normal vs Congestion,0.5144910154315834,0.42967460474028313,0.6030817981837003,146
Red,9,SystolicWidth,Ischaemia vs Congestion,0.5537031342403398,0.4632892047010591,0.6436350440459212,150
Red,9,DiastolicWidth,Normal vs Ischaemia,0.5569112708095529,0.45256826213692414,0.6404594022529211,148
Red,9,DiastolicWidth,Normal vs Congestion,0.5481720569152324,0.46945762888026615,0.6449016789947299,146
Red,9,DiastolicWidth,Ischaemia vs Congestion,0.4935249207485255,0.40896256217570226,0.5906411423445739,150
Red,9,RiseFall_ratio,Normal vs Ischaemia,0.5499173249541591,0.457260420669545,0.6204547587236527,148
Red,9,RiseFall_ratio,Normal vs Congestion,0.5224469457745878,0.4330324154851112,0.6154746240601503,146
Red,9,RiseFall_ratio,Ischaemia vs Congestion,0.47977837014153435,0.39804366438356165,0.5604054579148733,150
Red,9,Width_Ratio,Normal vs Ischaemia,0.5588955813367422,0.4724010394640729,0.6420559202928676,148
Red,9,Width_Ratio,Normal vs Congestion,0.5430565467751094,0.45990330588715217,0.6348090766823161,146
Red,9,Width_Ratio,Ischaemia vs Congestion,0.47624154169353444,0.39322823277061913,0.5700036147650882,150
Red,15,RiseTime,Normal vs Ischaemia,0.46428586409635925,0.3776469999574914,0.5564344376029677,142
Red,15,RiseTime,Normal vs Congestion,0.49199460538005724,0.3882665555448582,0.5912663737834971,138
Red,15,RiseTime,Ischaemia vs Congestion,0.54095874482703,0.4431427108537459,0.6333505958689783,142
Red,15,FallTime,Normal vs Ischaemia,0.6319246964752471,0.5481865673004913,0.709481966845878,142
Red,15,FallTime,Normal vs Congestion,0.5368329461304109,0.43486344537815125,0.6486430010723675,138
Red,15,FallTime,Ischaemia vs Congestion,0.39419324337608985,0.3134928310052992,0.47836016638120876,142
Red,15,PulseWidth,Normal vs Ischaemia,0.49953233527442065,0.41906122967479675,0.6020042194092827,142
Red,15,PulseWidth,Normal vs Congestion,0.4468150505984839,0.3501932578586991,0.53246467598806,138
Red,15,PulseWidth,Ischaemia vs Congestion,0.4426082615883078,0.3507337454212454,0.5530408599250513,142
Red,15,SystolicWidth,Normal vs Ischaemia,0.4364442777025991,0.3429166593589047,0.5247971831613849,141
Red,15,SystolicWidth,Normal vs Congestion,0.45145495121342116,0.3568915406427221,0.5546162756461911,138
Red,15,SystolicWidth,Ischaemia vs Congestion,0.530188488894057,0.44692176738667694,0.6107738311533482,141
Red,15,DiastolicWidth,Normal vs Ischaemia,0.6530861170082551,0.5629047884151511,0.7309862724994304,142
Red,15,DiastolicWidth,Normal vs Congestion,0.4992744802511338,0.3849909471844123,0.5887097818579486,138
Red,15,DiastolicWidth,Ischaemia vs Congestion,0.34986269168942047,0.2594444227647353,0.4342772811551661,142
Red,15,RiseFall_ratio,Normal vs Ischaemia,0.5893181259837276,0.4926389651642779,0.6734977689343691,142
Red,15,RiseFall_ratio,Normal vs Congestion,0.5202535682526128,0.43430823089370885,0.6119501390761637,138
Red,15,RiseFall_ratio,Ischaemia vs Congestion,0.43078666117807596,0.3476404904713728,0.5317207652120954,142
Red,15,Width_Ratio,Normal vs Ischaemia,0.6159628567191762,0.5232700007458125,0.7096027300164626,141
Red,15,Width_Ratio,Normal vs Congestion,0.5198500866826441,0.4167178104227285,0.6129469382270867,138
Red,15,Width_Ratio,Ischaemia vs Congestion,0.4054030970208893,0.3092828744444864,0.49680466265322887,141
Red,21,RiseTime,Normal vs Ischaemia,0.49305144146695573,0.39601343248484244,0.592070418891267,143
Red,21,RiseTime,Normal vs Congestion,0.5297712859999143,0.43842850620432744,0.6269640825827939,144
