Depth,State,Channel,SSQI,KSQI,KSQI_excess,PSQI,NSQI_dB,ZSQI,RSQI,Composite_Score,Composite_Quality,SSQI_Score,KSQI_Score,PSQI_Score,NSQI_Score,ZSQI_Score,RSQI_Score
3,Normal,Red,-0.187009024,-1.401859635,-4.401859635,0.155802274,14.50367028,0.00115,0.966895881,0.677938683,Good,0.406495488,1,1,0.725183514,0.038333333,0.933791761
3,Normal,IR,-0.111917376,-1.482170951,-4.482170951,0.289126964,15.3377473,0.001083333,0.97170013,0.696196636,Good,0.444041312,1,1,0.766887365,0.036111111,0.94340026
3,Ischaemia,Red,-0.138612186,-1.345424929,-4.345424929,0.096613114,11.80939734,0.001533333,0.940798362,0.661049436,Good,0.430693907,1,1,0.590469867,0.051111111,0.881596725
3,Ischaemia,IR,-0.144231737,-1.502556991,-4.502556991,0.193103773,14.78750963,0.0014,0.96826202,0.687590633,Good,0.427884132,1,1,0.739375481,0.046666667,0.936524041
3,Congestion,Red,-0.225204288,-1.375709031,-4.375709031,0.149289634,14.41700601,0.0011,0.965967434,0.671207055,Good,0.387397856,1,1,0.720850301,0.036666667,0.931934869
3,Congestion,IR,-0.161199643,-1.4918255,-4.4918255,0.193866689,16.75161004,0.001133333,0.979425238,0.701119954,Good,0.419400178,1,1,0.837580502,0.037777778,0.958850475
9,Normal,Red,-0.170761497,-0.637827767,-3.637827767,0.074714002,7.73742832,0.002416667,0.866567371,0.613785518,Good,0.414619251,1,1,0.386871416,0.080555556,0.733134742
9,Normal,IR,-0.097729332,-1.490185825,-4.490185825,0.121139389,15.18168548,0.0017,0.970827858,0.69903548,Good,0.451135334,1,1,0.759084274,0.056666667,0.941655717
9,Ischaemia,Red,-0.130919054,-0.410719448,-3.410719448,0.057501778,6.013517113,0.0035,0.817313633,0.600592914,Good,0.434540473,1,1,0.300675856,0.116666667,0.634627267
9,Ischaemia,IR,-0.092751712,-1.5130139,-4.5130139,0.072752558,13.51850181,0.002566667,0.958263235,0.687684209,Good,0.453624144,1,1,0.675925091,0.085555556,0.91652647
9,Congestion,Red,-0.189190637,-0.930658457,-3.930658457,0.077219563,9.101687735,0.002233333,0.897487469,0.626826001,Good,0.405404681,1,1,0.455084387,0.074444444,0.794974939
9,Congestion,IR,-0.123678609,-1.500945999,-4.500945999,0.108629165,15.20706591,0.00195,0.970917973,0.696184798,Good,0.438160695,1,1,0.760353296,0.065,0.941835945
15,Normal,Red,-0.011434355,-0.455182908,-3.455182908,0.054727389,6.199660632,0.005066667,0.82090178,0.625851546,Good,0.494282822,1,1,0.309983032,0.168888889,0.641803559
15,Normal,IR,-0.097464241,-1.475498391,-4.475498391,0.059702773,14.73340658,0.00305,0.96870333,0.699788246,Good,0.45126788,1,1,0.736670329,0.101666667,0.937406661
15,Ischaemia,Red,-0.18458043,0.192031016,-2.807968985,0.04969066,3.069580072,0.005383333,0.696800311,0.552639293,Acceptable,0.407709785,1,1,0.153479004,0.179444444,0.393600622
15,Ischaemia,IR,-0.110722649,-1.450583949,-4.450583949,0.037958396,12.27612632,0.00485,0.94842969,0.681315155,Good,0.444638676,1,1,0.613806316,0.161666667,0.89685938
15,Congestion,Red,0.030613654,-0.101675328,-3.101675328,0.066800043,2.541418408,0.00485,0.659037515,0.571626856,Acceptable,0.515306827,1,1,0.12707092,0.161666667,0.31807503
15,Congestion,IR,-0.109739547,-1.446160247,-4.446160247,0.04982328,14.48809285,0.00375,0.967292382,0.698158241,Good,0.445130227,1,1,0.724404642,0.125,0.934584764
21,Normal,Red,-0.061880779,-0.162657752,-3.162657752,0.057908993,5.771330147,0.004516667,0.80931348,0.610921111,Good,0.46905961,1,1,0.288566507,0.150555556,0.61862696
21,Normal,IR,-0.126139389,-1.273134592,-4.273134592,0.04319934,11.46608787,0.0052,0.93470495,0.671349074,Good,0.436930305,1,1,0.573304393,0.173333333,0.8694099
21,Ischaemia,Red,-0.08016065,-0.180136183,-3.180136183,0.045521412,2.868507249,0.0061,0.678726993,0.565568439,Acceptable,0.459919675,1,1,0.143425363,0.203333333,0.357453987
21,Ischaemia,IR,-0.17531233,-1.05259557,-4.05259557,0.021879637,6.710273402,0.0102,0.82784002,0.623598205,Good,0.412343835,1,1,0.33551367,0.34,0.65568004
21,Congestion,Red,-0.049498766,-0.222764507,-3.222764507,0.054381283,4.728645435,0.0049,0.766539093,0.597681178,Acceptable,0.475250617,1,1,0.236432272,0.163333333,0.533078187
21,Congestion,IR,-0.198871219,-1.042725907,-4.042725907,0.046590976,13.25623949,0.005716667,0.956624276,0.679971524,Good,0.400564391,1,1,0.662811974,0.190555556,0.913248551
