Depth,State,Channel,AC_Amplitude,DC_Level,PI_AC_DC_Ratio
3,Normal,Red,0.0092081386,2.6256095240,0.0035070480
3,Normal,IR,0.0078926880,1.8223778215,0.0043309834
3,Ischaemia,Red,0.0059195177,2.6373729129,0.0022444751
3,Ischaemia,IR,0.0070705331,1.8303505710,0.0038629392
3,Congestion,Red,0.0110168799,2.5907023998,0.0042524683
3,Congestion,IR,0.0067416710,1.7674535566,0.0038143412
9,Normal,Red,0.0042752070,2.5058900176,0.0017060633
9,Normal,IR,0.0050973620,2.4527069615,0.0020782597
9,Ischaemia,Red,0.0036174828,2.5080941113,0.0014423234
9,Ischaemia,IR,0.0039463448,2.4573747529,0.0016059190
9,Congestion,Red,0.0044396380,2.5034018111,0.0017734420
9,Congestion,IR,0.0054262240,2.4489202082,0.0022157619
15,Normal,Red,0.0039463449,2.5132110819,0.0015702401
15,Normal,IR,0.0037819136,2.3377070627,0.0016177876
15,Ischaemia,Red,0.0037819139,2.5167088151,0.0015027221
15,Ischaemia,IR,0.0029597584,2.3422525391,0.0012636376
15,Congestion,Red,0.0039463449,2.5025290717,0.0015769427
15,Congestion,IR,0.0039463446,2.3287640731,0.0016946090
21,Normal,Red,0.0034530511,1.9059626464,0.0018117097
21,Normal,IR,0.0037819137,2.4258963448,0.0015589758
21,Ischaemia,Red,0.0032886201,1.9068767156,0.0017246107
21,Ischaemia,IR,0.0044396378,2.4303292546,0.0018267639
21,Congestion,Red,0.0036174821,1.9037936426,0.0019001440
21,Congestion,IR,0.0032886206,2.4215317505,0.0013580745
