Depth,State,Channel,AC_Amplitude_BPF,DC_Level_RAW,PI_AC_DC_Ratio
3,Normal,Red,0.0041356239,2.6256095240,0.0015751100
3,Normal,IR,0.0053298842,1.8223778215,0.0029246867
3,Ischaemia,Red,0.0025341335,2.6373729129,0.0009608552
3,Ischaemia,IR,0.0035732701,1.8303505710,0.0019522326
3,Congestion,Red,0.0038629275,2.5907023998,0.0014910734
3,Congestion,IR,0.0034620514,1.7674535566,0.0019587793
9,Normal,Red,0.0018574949,2.5058900176,0.0007412516
9,Normal,IR,0.0030232955,2.4527069615,0.0012326363
9,Ischaemia,Red,0.0013833198,2.5080941113,0.0005515422
9,Ischaemia,IR,0.0017727516,2.4573747529,0.0007214006
9,Congestion,Red,0.0018788124,2.5034018111,0.0007505037
9,Congestion,IR,0.0026518634,2.4489202082,0.0010828705
15,Normal,Red,0.0013157606,2.5132110819,0.0005235376
15,Normal,IR,0.0014050121,2.3377070627,0.0006010214
15,Ischaemia,Red,0.0012214481,2.5167088151,0.0004853355
15,Ischaemia,IR,0.0008652203,2.3422525391,0.0003693967
15,Congestion,Red,0.0016037927,2.5025290717,0.0006408687
15,Congestion,IR,0.0011560292,2.3287640731,0.0004964132
21,Normal,Red,0.0010807938,1.9059626464,0.0005670593
21,Normal,IR,0.0010328530,2.4258963448,0.0004257614
21,Ischaemia,Red,0.0008261999,1.9068767156,0.0004332739
21,Ischaemia,IR,0.0005260907,2.4303292546,0.0002164689
21,Congestion,Red,0.0009939511,1.9037936426,0.0005220897
21,Congestion,IR,0.0011291455,2.4215317505,0.0004662939
