Depth_mm,State,Channel,Processing,SNR_Welch_dB,Signal_Power,Noise_Power,SNR_FFT_dB,PI_Percent,DC_Component,AC_Component,mean,std,skewness,kurtosis,peak_to_peak,cv,rms,SNR_Improvement_dB,Artifacts_Count,Artifacts_Percent
3,Normal,Red,Raw,15.330987660212724,7.341716179745538e-07,2.151289340211205e-08,14.880721113482721,0.05725177893548963,2.6256299799310048,0.0015032198717740398,2.6256299799310048,0.0015032198717740398,-0.08007094353394437,-0.5897114646656441,0.009208138631989993,0.0005725177893330914,2.625630410241029,,,
3,Normal,Red,Processed,20.725546474739826,5.880294926697423e-07,4.97558856707739e-09,17.601826049935006,61.33982460893724,0.001589516613952992,0.0009750067031286834,0.001589516613952992,0.0009750067031286834,-0.16232632375598163,-1.2586750518926746,0.0038709285989226953,0.6133982074991368,0.0018647254857427273,5.394558814527102,0.0,0.0
3,Normal,IR,Raw,18.781437114328355,1.733247633928097e-06,2.2946523883624642e-08,17.168149082306137,0.09919845377128328,1.8223541123966656,0.0018077471017348859,1.8223541123966656,0.0018077471017348859,-0.07330536372418116,-1.2006955619343795,0.007892688049560004,0.0009919845376583985,1.8223550090250316,,,
3,Normal,IR,Processed,21.456732915995858,1.3898035506340467e-06,9.937568270903415e-09,17.77968647593389,62.98425405997447,0.002383812362895978,0.001501426434959483,0.002383812362895978,0.001501426434959483,-0.08337723573678367,-1.3182501935957833,0.005432126179094101,0.6298425141780964,0.002817240266837539,2.6752958016675024,0.0,0.0
3,Ischaemia,Red,Raw,11.263342171977907,2.419547846310146e-07,1.808839351066891e-08,11.96522976775607,0.03456046485090686,2.6373922674314643,0.0009114950275661867,2.6373922674314643,0.0009114950275661867,-0.08602927066710662,-0.47063671515038097,0.0059195177304496305,0.00034560464849596456,2.637392424939919,,,
3,Ischaemia,Red,Processed,17.304706578054006,1.9016529869163597e-07,3.537208110115411e-09,14.749298774219472,62.07716656635374,0.0009027533682734171,0.0005604037121064579,0.0009027533682734171,0.0005604037121064579,-0.14868360390594815,-1.242406895031038,0.002356433507509835,0.6207715968992857,0.0010625516290852402,6.041364406076099,0.0,0.0
3,Ischaemia,IR,Raw,17.35600115623478,7.13046245094576e-07,1.3107431042846324e-08,16.484487871385422,0.0728851689528393,1.830384154072516,0.0013340785831817516,1.830384154072516,0.0013340785831817516,-0.11248119697543743,-0.8027977708977989,0.007070533052970118,0.0007288516894885733,1.8303846402451662,,,
3,Ischaemia,IR,Processed,20.615139559475626,5.561972909250803e-07,4.827418086799097e-09,16.95206391355064,62.20999770960452,0.0015433818973110262,0.0009601378429676403,0.0015433818973110262,0.0009601378429676403,-0.14023306546223205,-1.3577509549303626,0.0033037043398238255,0.6220999367884624,0.0018176612331361243,3.259138403240847,0.0,0.0
3,Congestion,Red,Raw,15.153775316225362,6.538766226631978e-07,1.9958057943429268e-08,14.737198113855465,0.08325076741756879,2.5907841302854555,0.002156847670595227,2.5907841302854555,0.002156847670595227,-0.1435321609802123,-0.6703722048626704,0.011345742029960082,0.0008325076741435545,2.590785028081419,,,
3,Congestion,Red,Processed,20.508655298050083,5.263626252490169e-07,4.68187176688234e-09,18.043900280072805,60.1187839526692,0.0015362071447555762,0.000923549054421073,0.0015362071447555762,0.000923549054421073,-0.22040971651797825,-1.281815211153132,0.0034643756740184084,0.6011878003921389,0.001792449510452146,5.3548799818247215,0.0,0.0
3,Congestion,IR,Raw,19.588055447250433,7.300911323687944e-07,8.027337612322112e-09,18.805716483322254,0.07406731286905484,1.7674865071747854,0.0013091297611874777,1.7674865071747854,0.0013091297611874777,-0.03275099995286314,-0.8571303636449206,0.006741670991790016,0.0007406731286486429,1.767486991993337,,,
3,Congestion,IR,Processed,22.754983365382255,5.798272061195634e-07,3.0746823337490342e-09,19.781233225157546,62.80510329270076,0.001560403536106583,0.0009800130526346946,0.001560403536106583,0.0009800130526346946,-0.16378759219855943,-1.3907784924572388,0.003307088465986198,0.6280509926777401,0.0018426298539935524,3.1669279181318224,0.0,0.0
9,Normal,Red,Raw,6.701689667636272,7.429308844553043e-08,1.5877402191365465e-08,8.00688852987142,0.024599828843416452,2.5058776482900647,0.0006164416125047852,2.5058776482900647,0.0006164416125047852,0.04442570064486688,-0.22141144805439383,0.004275207000000059,0.00024599828842434765,2.5058777241118544,,,
9,Normal,Red,Processed,15.03615879722519,6.36025082100452e-08,1.9946117035682025e-09,12.942484067528513,57.261135665199895,0.0005537827727081567,0.0003171023047709232,0.0005537827727081567,0.0003171023047709232,-0.2479208643584657,-0.6851708002532875,0.0016763417734092488,0.5726112532520231,0.0006381451488802256,8.334469129588918,0.0,0.0
