time,ppgA_Red_raw,ppgA_Red,ppgA_IR_raw,ppgA_IR,p1_mmhg,p2_mmhg
0,2.50355696,-0.05268772,2.448965857,0.021306272,29.83786803,71.30093641
0.0005,2.50355696,-0.054660893,2.448636995,0.008151785,29.75529361,71.24397731
0.001,2.503392529,-0.053345444,2.448143702,-0.002700667,29.98103664,71.1496388
0.0015,2.50355696,-0.04972796,2.448636995,0.012262562,30.04757142,70.74677183
0.002,2.503392529,-0.0467682,2.447979271,-0.002207374,29.95014549,70.50944224
0.0025,2.502899236,-0.049070236,2.448965857,0.01653777,30.1669776,70.61505391
0.003,2.503721391,-0.04972796,2.448308133,0.002396696,30.11232403,70.05139614
0.0035,2.50355696,-0.05268772,2.448143702,-0.0076336,30.10697748,70.07631575
0.004,2.503392529,-0.053181013,2.448308133,0.007822922,29.98341288,70.00808349
0.0045,2.502899236,-0.061073706,2.44781484,-0.004016116,29.96083858,69.54291751
0.005,2.502899236,-0.059100533,2.448801426,0.013249148,30.12658148,69.53105103
0.0055,2.503228098,-0.064197897,2.448143702,0.001081248,30.102225,69.52571111
0.006,2.502734805,-0.066006639,2.44781484,-0.007469169,29.93767021,69.4289993
0.0065,2.502734805,-0.065842208,2.448308133,0.012755855,29.91628403,69.03799881
0.007,2.502405943,-0.069788554,2.447979271,-0.002536236,29.96974948,69.06410507
0.0075,2.502734805,-0.065513346,2.448965857,0.017195494,30.1669776,68.92467393
0.008,2.502899236,-0.067979812,2.448143702,0.005192025,29.98697724,68.78583613
0.0085,2.502570374,-0.066664363,2.448143702,9.47E-05,29.85331361,68.35211631
0.009,2.502734805,-0.063704604,2.448801426,0.013906873,29.69410537,67.86855728
0.0095,2.502734805,-0.066828794,2.448143702,0.003876576,29.82836306,68.26489768
0.01,2.503228098,-0.064362328,2.44945915,0.0241016,30.05767045,68.15691272
0.0105,2.503063667,-0.063540172,2.448636995,0.01045382,29.79568973,67.74751919
0.011,2.502899236,-0.061238137,2.448308133,0.001574541,29.91093749,67.59740822
0.0115,2.50355696,-0.058278377,2.449130288,0.018839805,29.73865991,67.50662966
0.012,2.502899236,-0.063046879,2.448472564,0.007000767,30.0012347,67.1981012
0.0125,2.502734805,-0.060909275,2.44945915,0.028870102,29.90440282,67.12096908
0.013,2.503063667,-0.063704604,2.448801426,0.01505789,29.9483633,67.17614821
