Depth,Condition,Channel,SQI_mean,SQI_std,Valid_ratio,n_windows
3,Normal,Red,0.7507903908070008,0.0005836292236675611,1.0,3
3,Normal,IR,0.7346099831681934,0.002238346098647963,1.0,3
3,Ischaemia,Red,0.7519960073114865,0.002352719379561187,1.0,3
3,Ischaemia,IR,0.7357331195790776,0.000707800465347644,1.0,3
3,Congestion,Red,0.749270926791624,0.0028448646934210826,1.0,3
3,Congestion,IR,0.7377820034929515,0.00014226489548835758,1.0,3
9,Normal,Red,0.6393624161941404,0.016251658169883953,1.0,3
9,Normal,IR,0.742525739333869,0.0003941583523299236,1.0,3
9,Ischaemia,Red,0.6664517541300724,0.02332907335828518,1.0,3
9,Ischaemia,IR,0.7480452506876419,0.002296665054828783,1.0,3
9,Congestion,Red,0.7006516337136217,0.029889298332666854,1.0,3
9,Congestion,IR,0.7410853580851278,0.0009054824064581089,1.0,3
15,Normal,Red,0.6367689706781113,0.00966274971301155,1.0,3
15,Normal,IR,0.7495197330069469,0.0022632242695301923,1.0,3
15,Ischaemia,Red,0.6032313968808244,0.041077622592012045,1.0,3
15,Ischaemia,IR,0.767473579773165,0.0029184588142736555,1.0,3
15,Congestion,Red,0.5619301238960006,0.04951691934188376,1.0,3
15,Congestion,IR,0.7563137489740269,0.003113796425206076,1.0,3
21,Normal,Red,0.6268558299387236,0.03419026037478034,1.0,3
21,Normal,IR,0.7726956746805631,0.005405712804564542,1.0,3
21,Ischaemia,Red,0.5747760186555573,0.053766858070189535,1.0,3
21,Ischaemia,IR,0.7562595694307476,0.02537028124269974,1.0,3
21,Congestion,Red,0.53443745898755,0.04870771123066392,1.0,3
21,Congestion,IR,0.7800797693944386,0.0004329561824469836,1.0,3
