Depth,Condition,Channel,SQI_mean,SQI_std,Valid_ratio,n_windows
3,Normal,Red,0.5940228596513245,0.01031480462203393,1.0,19
3,Normal,IR,0.5721196964952223,0.003628781809973363,1.0,19
3,Ischaemia,Red,0.5976714887222995,0.008661627307015338,1.0,19
3,Ischaemia,IR,0.57442803054068,0.003151717723673659,1.0,19
3,Congestion,Red,0.5938212763004537,0.009819828349015269,1.0,19
3,Congestion,IR,0.5754895445567211,0.0016717965101708105,1.0,19
9,Normal,Red,0.5951471197464702,0.02506820733839541,1.0,19
9,Normal,IR,0.578773332786139,0.0032015751950712473,1.0,19
9,Ischaemia,Red,0.5977251309657557,0.02475454839989527,1.0,19
9,Ischaemia,IR,0.5862016414957736,0.004441054382429422,1.0,19
9,Congestion,Red,0.5995304313691099,0.02983170313349257,1.0,19
9,Congestion,IR,0.5801179551325603,0.003468754821563696,1.0,19
15,Normal,Red,0.5651084606304841,0.022224389719712627,1.0,19
15,Normal,IR,0.5921475165201787,0.002813177186444545,1.0,19
15,Ischaemia,Red,0.5808811283748138,0.03677780495801779,1.0,19
15,Ischaemia,IR,0.6144387736240322,0.0060573753121275645,1.0,19
15,Congestion,Red,0.5686426250195427,0.021110363264850183,1.0,19
15,Congestion,IR,0.6023908703881663,0.007617920100106782,1.0,19
21,Normal,Red,0.5820663868692593,0.035942553785207096,1.0,19
21,Normal,IR,0.6239263959760276,0.011537184772755626,1.0,19
21,Ischaemia,Red,0.5803830916778654,0.038151305725404094,1.0,19
21,Ischaemia,IR,0.6350965223152376,0.02386836869036593,1.0,19
21,Congestion,Red,0.5775005028496126,0.03420363567075329,1.0,19
21,Congestion,IR,0.6278409541324678,0.008705638899063057,1.0,19
