Depth,State,Channel,Segment_Index,Start_Time_s,End_Time_s,SSQI,Quality_Label
3,Normal,Red,0,0.0000000000,10.0000000000,-0.1540493974,Questionable
3,Normal,Red,1,5.0000000000,15.0000000000,-0.1101251849,Questionable
3,Normal,Red,2,10.0000000000,20.0000000000,-0.1895852714,Questionable
3,Normal,Red,3,15.0000000000,25.0000000000,-0.2296897535,Questionable
3,Normal,Red,4,20.0000000000,30.0000000000,-0.2095763209,Questionable
3,Normal,IR,0,0.0000000000,10.0000000000,-0.0819784694,Questionable
3,Normal,IR,1,5.0000000000,15.0000000000,-0.0457503449,Questionable
3,Normal,IR,2,10.0000000000,20.0000000000,-0.0922730712,Questionable
3,Normal,IR,3,15.0000000000,25.0000000000,-0.1562396917,Questionable
3,Normal,IR,4,20.0000000000,30.0000000000,-0.1627257526,Questionable
3,Ischaemia,Red,0,0.0000000000,10.0000000000,-0.1401543512,Questionable
3,Ischaemia,Red,1,5.0000000000,15.0000000000,-0.1495650721,Questionable
3,Ischaemia,Red,2,10.0000000000,20.0000000000,-0.1493258135,Questionable
3,Ischaemia,Red,3,15.0000000000,25.0000000000,-0.0909531744,Questionable
3,Ischaemia,Red,4,20.0000000000,30.0000000000,-0.1305709767,Questionable
3,Ischaemia,IR,0,0.0000000000,10.0000000000,-0.1661149999,Questionable
3,Ischaemia,IR,1,5.0000000000,15.0000000000,-0.1405511315,Questionable
3,Ischaemia,IR,2,10.0000000000,20.0000000000,-0.1118860477,Questionable
3,Ischaemia,IR,3,15.0000000000,25.0000000000,-0.0968020159,Questionable
3,Ischaemia,IR,4,20.0000000000,30.0000000000,-0.1546755434,Questionable
3,Congestion,Red,0,0.0000000000,10.0000000000,-0.1726859737,Questionable
3,Congestion,Red,1,5.0000000000,15.0000000000,-0.2718833710,Questionable
3,Congestion,Red,2,10.0000000000,20.0000000000,-0.3300827077,Questionable
3,Congestion,Red,3,15.0000000000,25.0000000000,-0.2235031664,Questionable
3,Congestion,Red,4,20.0000000000,30.0000000000,-0.1612174088,Questionable
3,Congestion,IR,0,0.0000000000,10.0000000000,-0.1147280964,Questionable
3,Congestion,IR,1,5.0000000000,15.0000000000,-0.1568324350,Questionable
3,Congestion,IR,2,10.0000000000,20.0000000000,-0.2183328327,Questionable
3,Congestion,IR,3,15.0000000000,25.0000000000,-0.1892321404,Questionable
3,Congestion,IR,4,20.0000000000,30.0000000000,-0.1517691050,Questionable
