Depth,State,Channel,SSQI_Overall,Quality_Overall,Num_Segments,Mean_SSQI_Segments,Std_SSQI_Segments,Good_Segments_Count,Good_Segments_Ratio
3,Normal,Red,-0.1870090242,Questionable,5,-0.1786051856,0.0423837323,0,0.0000000000
3,Normal,IR,-0.1119173760,Questionable,5,-0.1077934659,0.0449916403,0,0.0000000000
3,Ischaemia,Red,-0.1386121860,Questionable,5,-0.1321138776,0.0217348944,0,0.0000000000
3,Ischaemia,IR,-0.1442317365,Questionable,5,-0.1340059477,0.0259787812,0,0.0000000000
3,Congestion,Red,-0.2252042881,Questionable,5,-0.2318745255,0.0629465602,0,0.0000000000
3,Congestion,IR,-0.1611996432,Questionable,5,-0.1661789219,0.0351956485,0,0.0000000000
9,Normal,Red,-0.1707614971,Questionable,5,-0.2045880630,0.0670895165,0,0.0000000000
9,Normal,IR,-0.0977293323,Questionable,5,-0.0916023729,0.0332080706,0,0.0000000000
9,Ischaemia,Red,-0.1309190540,Questionable,5,-0.1570932388,0.1343186642,1,0.2000000000
9,Ischaemia,IR,-0.0927517122,Questionable,5,-0.0824395617,0.0289662250,0,0.0000000000
9,Congestion,Red,-0.1891906372,Questionable,5,-0.2000316276,0.0990969863,0,0.0000000000
9,Congestion,IR,-0.1236786093,Questionable,5,-0.1266961755,0.0370421691,0,0.0000000000
15,Normal,Red,-0.0114343551,Questionable,5,-0.0240091929,0.1766949780,3,0.6000000000
15,Normal,IR,-0.0974642409,Questionable,5,-0.1107883010,0.0387901828,0,0.0000000000
15,Ischaemia,Red,-0.1845804304,Questionable,5,-0.0808867303,0.1772817204,2,0.4000000000
15,Ischaemia,IR,-0.1107226486,Questionable,5,-0.1074682734,0.0341966036,0,0.0000000000
15,Congestion,Red,0.0306136535,Excellent/Acceptable,5,-0.0009302231,0.1177089235,3,0.6000000000
15,Congestion,IR,-0.1097395470,Questionable,5,-0.1171153317,0.0279329003,0,0.0000000000
21,Normal,Red,-0.0618807793,Questionable,5,-0.0799319912,0.1492718973,2,0.4000000000
21,Normal,IR,-0.1261393893,Questionable,5,-0.1492306518,0.0515587155,0,0.0000000000
21,Ischaemia,Red,-0.0801606498,Questionable,5,-0.0706981016,0.1284362237,1,0.2000000000
21,Ischaemia,IR,-0.1753123301,Questionable,5,-0.1647475183,0.0694693012,0,0.0000000000
21,Congestion,Red,-0.0494987656,Questionable,5,0.0023024456,0.1536702452,2,0.4000000000
21,Congestion,IR,-0.1988712190,Questionable,5,-0.1512769847,0.1291485653,0,0.0000000000
