Depth,State,Channel,SNR
3,Normal,Red,15.33
3,Normal,IR,18.78
3,Ischaemia,Red,11.26
3,Ischaemia,IR,17.36
3,Congestion,Red,15.15
3,Congestion,IR,19.59
9,Normal,Red,6.7
9,Normal,IR,17.93
9,Ischaemia,Red,3.71
9,Ischaemia,IR,14.92
9,Congestion,Red,7.91
9,Congestion,IR,17.96
15,Normal,Red,4.36
15,Normal,IR,15.44
15,Ischaemia,Red,1.33
15,Ischaemia,IR,11.0
15,Congestion,Red,1.51
15,Congestion,IR,14.71
21,Normal,Red,3.42
21,Normal,IR,11.17
21,Ischaemia,Red,1.78
21,Ischaemia,IR,6.01
21,Congestion,Red,3.2
21,Congestion,IR,12.75
