Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_sAmplitudeles
Red,3,RiseTime,Normal vs Ischaemia,0.608554001,0.468123695,0.730510068,89
Red,3,RiseTime,Normal vs Congestion,0.487891844,0.369675587,0.625730782,75
Red,3,RiseTime,Ischaemia vs Congestion,0.364788894,0.260433584,0.461391546,92
Red,3,FallTime,Normal vs Ischaemia,0.499554631,0.403938119,0.599860307,89
Red,3,FallTime,Normal vs Congestion,0.496879523,0.391535151,0.577165289,75
Red,3,FallTime,Ischaemia vs Congestion,0.512646464,0.399180871,0.625863812,92
Red,3,PulseWidth,Normal vs Ischaemia,0.687566,0.570493574,0.78256347,89
Red,3,PulseWidth,Normal vs Congestion,0.477113125,0.350305696,0.622828079,75
Red,3,PulseWidth,Ischaemia vs Congestion,0.312520002,0.211112965,0.437435809,92
Red,3,SystolicWidth,Normal vs Ischaemia,0.595861039,0.453781842,0.722501191,89
Red,3,SystolicWidth,Normal vs Congestion,0.447363504,0.339734738,0.586208752,75
Red,3,SystolicWidth,Ischaemia vs Congestion,0.361563618,0.264318706,0.454962796,92
Red,3,DiastolicWidth,Normal vs Ischaemia,0.664120627,0.537082591,0.761222148,89
Red,3,DiastolicWidth,Normal vs Congestion,0.470808429,0.341321838,0.605965368,75
Red,3,DiastolicWidth,Ischaemia vs Congestion,0.325977161,0.225514966,0.453501321,92
Red,3,RiseTime,Normal vs Ischaemia,0.608554001,0.468123695,0.730510068,89
Red,3,RiseTime,Normal vs Congestion,0.507604097,0.381910714,0.638333064,75
Red,3,RiseTime,Ischaemia vs Congestion,0.37217252,0.263126566,0.472168909,92
Red,3,FallTime,Normal vs Ischaemia,0.499554631,0.403938119,0.599860307,89
Red,3,FallTime,Normal vs Congestion,0.809080084,0.676473545,0.919757095,75
Red,3,FallTime,Ischaemia vs Congestion,0.700869092,0.580077718,0.82689482,92
Red,3,PulseWidth,Normal vs Ischaemia,0.687566,0.570493574,0.78256347,89
Red,3,PulseWidth,Normal vs Congestion,0.494453759,0.372604712,0.630278592,75
Red,3,PulseWidth,Ischaemia vs Congestion,0.321019186,0.221376042,0.445012079,92
Red,3,SystolicWidth,Normal vs Ischaemia,0.595861039,0.453781842,0.722501191,89
Red,3,SystolicWidth,Normal vs Congestion,0.466586743,0.361580087,0.60183216,75
Red,3,SystolicWidth,Ischaemia vs Congestion,0.372140634,0.272116807,0.466363463,92
Red,3,DiastolicWidth,Normal vs Ischaemia,0.664120627,0.537082591,0.761222148,89
Red,3,DiastolicWidth,Normal vs Congestion,0.482465578,0.357135632,0.617664502,75
Red,3,DiastolicWidth,Ischaemia vs Congestion,0.333663026,0.235241507,0.462514803,92
Red,3,RiseFall_ratio,Normal vs Ischaemia,0.471985259,0.362325758,0.588856908,89
Red,3,RiseFall_ratio,Normal vs Congestion,0.527350704,0.385472118,0.677635011,75
Red,3,RiseFall_ratio,Ischaemia vs Congestion,0.559214424,0.438244113,0.67684845,92
Red,3,Width_Ratio,Normal vs Ischaemia,0.605632096,0.480191315,0.724043419,89
Red,3,Width_Ratio,Normal vs Congestion,0.473777654,0.347728267,0.606867163,75
Red,3,Width_Ratio,Ischaemia vs Congestion,0.397445642,0.307104501,0.516782042,92
Red,9,RiseTime,Normal vs Ischaemia,0.385585632,0.28876094,0.501559112,116
Red,9,RiseTime,Normal vs Congestion,0.51244493,0.425780618,0.610014994,122
Red,9,RiseTime,Ischaemia vs Congestion,0.627329914,0.522060461,0.711886448,118
Red,9,FallTime,Normal vs Ischaemia,0.54307826,0.437266267,0.639746224,116
Red,9,FallTime,Normal vs Congestion,0.478090593,0.377179332,0.583671823,122
Red,9,FallTime,Ischaemia vs Congestion,0.436440144,0.331981927,0.550461851,118
Red,9,PulseWidth,Normal vs Ischaemia,0.481157384,0.378407022,0.586049453,116
Red,9,PulseWidth,Normal vs Congestion,0.48529291,0.381481825,0.580392037,122
Red,9,PulseWidth,Ischaemia vs Congestion,0.497312376,0.408589976,0.580482052,118
Red,9,SystolicWidth,Normal vs Ischaemia,0.442788847,0.346723888,0.553091446,116
Red,9,SystolicWidth,Normal vs Congestion,0.53262478,0.439638512,0.625514715,122
Red,9,SystolicWidth,Ischaemia vs Congestion,0.580172866,0.48754867,0.664461062,118
Red,9,DiastolicWidth,Normal vs Ischaemia,0.474650428,0.377310314,0.569967982,116
Red,9,DiastolicWidth,Normal vs Congestion,0.435965287,0.314913947,0.536357904,122
Red,9,DiastolicWidth,Ischaemia vs Congestion,0.454601534,0.342447325,0.56775642,118
Red,9,RiseTime,Normal vs Ischaemia,0.382319,0.285977901,0.496331041,116
Red,9,RiseTime,Normal vs Congestion,0.51244493,0.425780618,0.610014994,122
Red,9,RiseTime,Ischaemia vs Congestion,0.631944289,0.531467096,0.716387573,118
Red,9,FallTime,Normal vs Ischaemia,0.524954838,0.417823882,0.628032345,116
Red,9,FallTime,Normal vs Congestion,0.478090593,0.377179332,0.583671823,122
Red,9,FallTime,Ischaemia vs Congestion,0.458001671,0.351948146,0.583015204,118
Red,9,PulseWidth,Normal vs Ischaemia,0.477004005,0.375998507,0.583565982,116
Red,9,PulseWidth,Normal vs Congestion,0.48529291,0.381481825,0.580392037,122
Red,9,PulseWidth,Ischaemia vs Congestion,0.500809263,0.411767866,0.583398893,118
Red,9,SystolicWidth,Normal vs Ischaemia,0.439507344,0.344178979,0.549925067,116
Red,9,SystolicWidth,Normal vs Congestion,0.53262478,0.439638512,0.625514715,122
Red,9,SystolicWidth,Ischaemia vs Congestion,0.584240024,0.490421954,0.668005302,118
Red,9,DiastolicWidth,Normal vs Ischaemia,0.472550478,0.375883617,0.567585121,116
Red,9,DiastolicWidth,Normal vs Congestion,0.435965287,0.314913947,0.536357904,122
Red,9,DiastolicWidth,Ischaemia vs Congestion,0.457383221,0.344870863,0.569380926,118
Red,9,RiseFall_ratio,Normal vs Ischaemia,0.571880142,0.473211729,0.669459768,116
Red,9,RiseFall_ratio,Normal vs Congestion,0.480582374,0.372980191,0.580492581,122
Red,9,RiseFall_ratio,Ischaemia vs Congestion,0.42497268,0.321762546,0.545796674,118
Red,9,Width_Ratio,Normal vs Ischaemia,0.516784749,0.402557521,0.606517851,116
Red,9,Width_Ratio,Normal vs Congestion,0.43744635,0.333680245,0.544892473,122
Red,9,Width_Ratio,Ischaemia vs Congestion,0.429497012,0.324805934,0.539210713,118
Red,15,RiseTime,Normal vs Ischaemia,0.49482877,0.40203757,0.607829698,132
Red,15,RiseTime,Normal vs Congestion,0.495691647,0.393792484,0.605164457,130
Red,15,RiseTime,Ischaemia vs Congestion,0.51111904,0.401661849,0.610845305,132
Red,15,FallTime,Normal vs Ischaemia,0.546717549,0.458804923,0.643567644,132
Red,15,FallTime,Normal vs Congestion,0.563677119,0.464869695,0.660609532,130
Red,15,FallTime,Ischaemia vs Congestion,0.504016158,0.39645278,0.593358111,132
Red,15,PulseWidth,Normal vs Ischaemia,0.441888795,0.353018209,0.546080686,132
Red,15,PulseWidth,Normal vs Congestion,0.508882509,0.406756472,0.602851988,130
