Depth_mm,State,Channel,Processing,SNR_dB,Signal_Power,Noise_Power,PI_Percent,DC_Component,AC_Component,Skewness,Kurtosis,Mean,Std,CV,Peak_to_Peak
3,Normal,Red,Raw,7.199070862489675,0.037692982693615366,0.007183786534513832,0.05724431495845157,2.6256095239564567,0.001503012185472735,-0.07293330418806185,-0.6033177061976489,2.6256095239564567,0.001503012185472735,0.0005724431495627134,0.009208138631989993
3,Normal,Red,Processed,inf,,,,,,,,,,,
3,Normal,IR,Raw,10.351958058654208,0.08556461241803372,0.007890388399282347,0.0990086903131398,1.8223778215200024,0.0018043124136440827,-0.08945551632888203,-1.1935589970951594,1.8223778215200024,0.0018043124136440827,0.0009900869030770687,0.007892688049560004
3,Normal,IR,Processed,inf,,,,,,,,,,,
3,Ischaemia,Red,Raw,2.398003647228922,0.01185404311336403,0.006824426138633724,0.03437148944807376,2.6373729128761254,0.000906504352455573,-0.07352828534783634,-0.4545353036476443,2.6373729128761254,0.000906504352455573,0.00034371489446770515,0.0059195177304496305
3,Ischaemia,Red,Processed,inf,,,,,,,,,,,
3,Ischaemia,IR,Raw,6.797588413410949,0.03566786403886602,0.007456212231553304,0.07219910647482473,1.8303505710287296,0.0013214967576395949,-0.10672758636757601,-0.8025328249304264,1.8303505710287296,0.0013214967576395949,0.0007219910647088017,0.007070533052970118
3,Ischaemia,IR,Processed,inf,,,,,,,,,,,
3,Congestion,Red,Raw,6.672838102093889,0.036120570819516605,0.007770890596218336,0.08174734571112108,2.5907023997638405,0.002117830447081257,-0.15099446985732953,-0.6631110722494507,2.5907023997638405,0.002117830447081257,0.0008174734570796567,0.011016879941180058
3,Congestion,Red,Processed,inf,,,,,,,,,,,
3,Congestion,IR,Raw,7.281246942035903,0.036951421585027754,0.006910452034979878,0.0733453286034027,1.7674535565548863,0.0012963446189677096,-0.03539648517903872,-0.8671493288712537,1.7674535565548863,0.0012963446189677096,0.0007334532859925294,0.006741670991790016
3,Congestion,IR,Processed,inf,,,,,,,,,,,
9,Normal,Red,Raw,-0.3019805596123722,0.0037639856535849384,0.004035023007662019,0.02453878373124308,2.5058900176305334,0.0006149149319691657,0.0332494875562641,-0.2118888904120615,2.5058900176305334,0.0006149149319691657,0.00024538783730263837,0.004275207000000059
9,Normal,Red,Processed,inf,,,,,,,,,,,
9,Normal,IR,Raw,5.4809074421456945,0.021712539543064353,0.0061463866682868774,0.04064832316079679,2.4527069615406165,0.0009969842519143898,-0.05453247746060379,-0.8704845112147916,2.4527069615406165,0.0009969842519143898,0.0004064832315913951,0.005097362000000327
9,Normal,IR,Processed,inf,,,,,,,,,,,
9,Ischaemia,Red,Raw,-4.00793335322291,0.0015878791899333923,0.003995864863802719,0.019319616190018023,2.50809411134124,0.0004845541559955709,-0.08693664475684662,-0.09113850040644467,2.50809411134124,0.0004845541559955709,0.00019319616189247734,0.003617482814400219
9,Ischaemia,Red,Processed,inf,,,,,,,,,,,
9,Ischaemia,IR,Raw,1.013637378739391,0.007685429989471387,0.006085614427216879,0.0280229037294149,2.4573747529335455,0.0006886277612855147,-0.001927501502601178,-0.5911184094890287,2.4573747529335455,0.0006886277612855147,0.0002802290372827454,0.00394634479336009
9,Ischaemia,IR,Processed,inf,,,,,,,,,,,
9,Congestion,Red,Raw,-0.18272675720020742,0.004299775030775735,0.004484545235616096,0.02521891540999598,2.5034018111454333,0.000631330785125074,-0.19773015576882252,-0.2920224815587096,2.5034018111454333,0.000631330785125074,0.0002521891540898859,0.0044396380000000235
9,Congestion,Red,Processed,inf,,,,,,,,,,,
9,Congestion,IR,Raw,4.980705977014056,0.019136379388469935,0.006078398580675893,0.03974124312876013,2.4489202081542,0.0009732313339518993,-0.027821179651645083,-0.7380913573596848,2.4489202081542,0.0009732313339518993,0.00039741243127137325,0.005426223999999813
9,Congestion,IR,Processed,inf,,,,,,,,,,,
15,Normal,Red,Raw,-2.874421584318116,0.0017982626163928143,0.0034857422814391415,0.021197974997910998,2.5132110818966193,0.0005327498567851738,-0.11794510318262796,-0.15771810447682633,2.5132110818966193,0.0005327498567851738,0.00021197974997067535,0.003946344898279719
15,Normal,Red,Processed,inf,,,,,,,,,,,
15,Normal,IR,Raw,-0.37170380275006526,0.004630990838335406,0.005044804050351395,0.026074443099408772,2.3377070627127794,0.0006095440978979038,-0.018199407099667327,-0.41217315335239446,2.3377070627127794,0.0006095440978979038,0.0002607444309829339,0.003781913564109729
15,Normal,IR,Processed,inf,,,,,,,,,,,
15,Ischaemia,Red,Raw,-5.976006394410049,0.0009244118787558205,0.003659874193674656,0.01947388156323598,2.516708815079709,0.0004901008939401421,-0.11733341021129791,-0.20862519628632237,2.516708815079709,0.0004901008939401421,0.00019473881562462195,0.0037819138671197905
15,Ischaemia,Red,Processed,inf,,,,,,,,,,,
15,Ischaemia,IR,Raw,-5.963412538513143,0.0013172654326704455,0.005200134170735407,0.02132869229618778,2.342252539148564,0.0004995718368746424,0.025819414091323822,-0.3756439047271125,2.342252539148564,0.0004995718368746424,0.00021328692295277172,0.002959758446900107
15,Ischaemia,IR,Processed,inf,,,,,,,,,,,
15,Congestion,Red,Raw,-4.3966776290212835,0.0014893492477138998,0.0040988715937096765,0.023826136064267475,2.5025290717049864,0.0005962559816722798,0.07317798956214092,-0.3682278225286857,2.5025290717049864,0.0005962559816722798,0.0002382613606331539,0.003946344877700181
15,Congestion,Red,Processed,inf,,,,,,,,,,,
15,Congestion,IR,Raw,-2.100540860753092,0.003089042106369131,0.0050104636324940725,0.026982071924536197,2.3287640731230512,0.0006283487971628205,-0.011428126993145101,-0.3543117824676125,2.3287640731230512,0.0006283487971628205,0.00026982071923377555,0.003946344574420113
15,Congestion,IR,Processed,inf,,,,,,,,,,,
21,Normal,Red,Raw,-5.164106997310527,0.0008131216723278073,0.0026703380019512165,0.019915650926015504,1.9059626464351997,0.0003795848674442815,-0.08006727892254442,0.08363078128747592,1.9059626464351997,0.0003795848674442815,0.0001991565092497059,0.0034530510707899698
21,Normal,Red,Processed,inf,,,,,,,,,,,
21,Normal,IR,Raw,-5.669911043046483,0.0014088747019094002,0.005198325563078171,0.023442888451859403,2.4258963447623434,0.0005687001740603708,0.15640123992909977,-0.2501750789817003,2.4258963447623434,0.0005687001740603708,0.00023442888450893047,0.0037819137063599406
21,Normal,IR,Processed,inf,,,,,,,,,,,
21,Ischaemia,Red,Raw,-6.312614484730736,0.0006231155981128783,0.002665815392864245,0.02337016883923948,1.9068767156425683,0.0004456403080018127,0.08078509950358721,-0.15922262119773967,1.9068767156425683,0.0004456403080018127,0.00023370168838013906,0.0032886200681900846
21,Ischaemia,Red,Processed,inf,,,,,,,,,,,
21,Ischaemia,IR,Raw,-8.805382883911863,0.0006872771329644754,0.005219996150439657,0.031411385372893785,2.430329254626074,0.0007634000880007731,0.23007892423525314,-0.5771299928909244,2.430329254626074,0.0007634000880007731,0.0003141138537160131,0.0044396378380500146
21,Ischaemia,IR,Processed,inf,,,,,,,,,,,
21,Congestion,Red,Raw,-5.205190816901421,0.0009212249424419566,0.003054110666606916,0.02302293027145395,1.9037936425510775,0.00043830908283690786,-0.059052046398665875,-0.14277124111345962,1.9037936425510775,0.00043830908283690786,0.00023022930270244631,0.0036174820728400725
21,Congestion,Red,Processed,inf,,,,,,,,,,,
21,Congestion,IR,Raw,-5.833038484662088,0.0013474407520029964,0.005161946825858063,0.021689406718384815,2.421531750519545,0.0005252158701850076,0.004236254828117304,-0.34654210190478674,2.421531750519545,0.0005252158701850076,0.00021689406717489125,0.0032886206075799507
21,Congestion,IR,Processed,inf,,,,,,,,,,,
