Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse
DC_Component,Ischaemia,30,30,1.000000,1.000000,1.000000,2.341926,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,30,30,0,0,False
S_AUC,Ischaemia,30,30,1.000000,1.000000,1.000000,0.122443,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,30,30,0,0,True
End_Datum_Area,Ischaemia,30,30,0.978889,0.932473,1.000000,0.057888,1.000000,0.966667,0.967742,1.000000,0.983333,0.983607,0.966667,30.000000,0.000000,30,29,1,0,True
AUC,Ischaemia,30,30,0.967778,0.893502,1.000000,0.641009,1.000000,0.966667,0.967742,1.000000,0.983333,0.983607,0.966667,30.000000,0.000000,30,29,1,0,True
AC_Component,Ischaemia,30,30,0.966667,0.892857,1.000000,0.000630,1.000000,0.966667,0.967742,1.000000,0.983333,0.983607,0.966667,30.000000,0.000000,30,29,1,0,True
Amplitude,Ischaemia,30,30,0.966667,0.892857,1.000000,0.000630,1.000000,0.966667,0.967742,1.000000,0.983333,0.983607,0.966667,30.000000,0.000000,30,29,1,0,True
D_AUC,Ischaemia,30,30,0.966667,0.892857,1.000000,0.535676,1.000000,0.966667,0.967742,1.000000,0.983333,0.983607,0.966667,30.000000,0.000000,30,29,1,0,True
Max_Start_Datum_Diff,Ischaemia,30,30,0.966667,0.892857,1.000000,0.000610,1.000000,0.966667,0.967742,1.000000,0.983333,0.983607,0.966667,30.000000,0.000000,30,29,1,0,True
PI,Ischaemia,30,30,0.966667,0.892857,1.000000,0.026883,1.000000,0.966667,0.967742,1.000000,0.983333,0.983607,0.966667,30.000000,0.000000,30,29,1,0,True
Start_Datum_Area,Ischaemia,30,30,0.966667,0.892857,1.000000,0.188882,1.000000,0.966667,0.967742,1.000000,0.983333,0.983607,0.966667,30.000000,0.000000,30,29,1,0,True
Downslope_Length,Ischaemia,30,30,0.954444,0.900990,0.990004,1.328024,0.800000,0.966667,0.960000,0.828571,0.883333,0.872727,0.766667,24.000000,0.206897,24,29,1,6,False
SDPPG_e_a,Ischaemia,30,30,0.952222,0.899874,0.988910,0.694520,0.833333,0.933333,0.925926,0.848485,0.883333,0.877193,0.766667,12.500000,0.178571,25,28,2,5,False
