Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse
DC_Component,Congestion,30,31,1.000000,1.000000,1.000000,2.329371,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,31,30,0,0,True
AC_Component,Congestion,30,31,0.967742,0.892840,1.000000,0.000942,1.000000,0.966667,0.968750,1.000000,0.983607,0.984127,0.966667,30.000000,0.000000,31,29,1,0,True
Amplitude,Congestion,30,31,0.967742,0.892840,1.000000,0.000942,1.000000,0.966667,0.968750,1.000000,0.983607,0.984127,0.966667,30.000000,0.000000,31,29,1,0,True
D_AUC,Congestion,30,31,0.967742,0.892840,1.000000,0.767998,1.000000,0.966667,0.968750,1.000000,0.983607,0.984127,0.966667,30.000000,0.000000,31,29,1,0,True
Max_Start_Datum_Diff,Congestion,30,31,0.967742,0.892840,1.000000,0.000900,1.000000,0.966667,0.968750,1.000000,0.983607,0.984127,0.966667,30.000000,0.000000,31,29,1,0,True
PI,Congestion,30,31,0.967742,0.892840,1.000000,0.040466,1.000000,0.966667,0.968750,1.000000,0.983607,0.984127,0.966667,30.000000,0.000000,31,29,1,0,True
Start_Datum_Area,Congestion,30,31,0.967742,0.892840,1.000000,0.273547,1.000000,0.966667,0.968750,1.000000,0.983607,0.984127,0.966667,30.000000,0.000000,31,29,1,0,True
AUC,Congestion,30,31,0.966667,0.891196,1.000000,0.935952,0.967742,0.966667,0.967742,0.966667,0.967213,0.967742,0.934409,29.032258,0.033370,30,29,1,1,True
S_AUC,Congestion,30,31,0.920430,0.827918,0.991209,0.189045,0.903226,0.933333,0.933333,0.903226,0.918033,0.918033,0.836559,13.548387,0.103687,28,28,2,3,True
End_Datum_Area,Congestion,30,31,0.903226,0.817761,0.975837,0.078080,0.967742,0.800000,0.833333,0.960000,0.885246,0.895522,0.767742,4.838710,0.040323,30,24,6,1,True
SDPPG_e_a,Congestion,30,31,0.761290,0.636207,0.872528,0.637636,0.774194,0.800000,0.800000,0.774194,0.786885,0.786885,0.574194,3.870968,0.282258,24,24,6,7,False
SDPPG_d_a,Congestion,30,31,0.732258,0.605376,0.853847,-0.672542,0.580645,0.800000,0.750000,0.648649,0.688525,0.654545,0.380645,2.903226,0.524194,18,24,6,13,True
Slope_Ratio,Congestion,30,31,0.711828,0.567682,0.834409,3.578294,0.580645,0.866667,0.818182,0.666667,0.721311,0.679245,0.447312,4.354839,0.483871,18,26,4,13,True
Downslope,Congestion,30,31,0.702151,0.559134,0.831155,-2.543293,0.483871,0.933333,0.882353,0.636364,0.704918,0.625000,0.417204,7.258065,0.552995,15,28,2,16,True
Upslope,Congestion,30,31,0.621505,0.479292,0.760273,8.645976,0.483871,0.800000,0.714286,0.600000,0.639344,0.576923,0.283871,2.419355,0.645161,15,24,6,16,True
Downslope_Length,Congestion,30,31,0.618280,0.464505,0.760283,1.312849,0.419355,0.866667,0.764706,0.590909,0.639344,0.541667,0.286022,3.145161,0.669975,13,26,4,18,False
Length_Height_Ratio,Congestion,30,31,0.604301,0.439393,0.746667,2.323884,0.645161,0.700000,0.689655,0.656250,0.672131,0.666667,0.345161,2.150538,0.506912,20,21,9,11,False
Width_Ratio,Congestion,30,31,0.601075,0.455684,0.739234,0.819870,0.290323,0.933333,0.818182,0.560000,0.606557,0.428571,0.223656,4.354839,0.760369,9,28,2,22,False
