Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse
AC_Component_Ratio,Congestion,30,30,1.000000,1.000000,1.000000,0.843815,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,30,30,0,0,False
AUC_Ratio,Congestion,30,30,1.000000,1.000000,1.000000,0.847688,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,30,30,0,0,False
Amplitude_Ratio,Congestion,30,30,1.000000,1.000000,1.000000,0.843815,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,30,30,0,0,False
DC_Component_Ratio,Congestion,30,30,1.000000,1.000000,1.000000,1.464543,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,30,30,0,0,False
Delta_A_Ratio,Congestion,30,30,1.000000,1.000000,1.000000,0.575290,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,30,30,0,0,False
PI_Ratio,Congestion,30,30,1.000000,1.000000,1.000000,0.575499,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,30,30,0,0,False
Downslope_Ratio,Congestion,30,30,0.770000,0.637725,0.876590,1.298470,0.566667,0.866667,0.809524,0.666667,0.716667,0.666667,0.433333,4.250000,0.500000,17,26,4,13,True
Width_Ratio_Difference,Congestion,30,30,0.708889,0.563396,0.838468,-0.007667,0.633333,0.800000,0.760000,0.685714,0.716667,0.690909,0.433333,3.166667,0.458333,19,24,6,11,True
Rise_Time_Ratio,Congestion,30,30,0.694444,0.547573,0.816992,0.930394,0.433333,0.933333,0.866667,0.622222,0.683333,0.577778,0.366667,6.500000,0.607143,13,28,2,17,True
Upslope_Ratio,Congestion,30,30,0.660000,0.520256,0.795238,1.037709,0.433333,0.833333,0.722222,0.595238,0.633333,0.541667,0.266667,2.600000,0.680000,13,25,5,17,False
Delta_T_Difference,Congestion,30,30,0.578333,0.425119,0.716732,-0.007500,0.433333,0.800000,0.684211,0.585366,0.616667,0.530612,0.233333,2.166667,0.708333,13,24,6,17,True
AUC_Ratio,Ischaemia,30,30,0.957778,0.899889,0.992237,0.608813,0.800000,0.966667,0.960000,0.828571,0.883333,0.872727,0.766667,24.000000,0.206897,24,29,1,6,True
AC_Component_Ratio,Ischaemia,30,30,0.840000,0.732044,0.930808,0.590171,0.566667,1.000000,1.000000,0.697674,0.783333,0.723404,0.566667,,0.433333,17,30,0,13,True
Amplitude_Ratio,Ischaemia,30,30,0.840000,0.732044,0.930808,0.590171,0.566667,1.000000,1.000000,0.697674,0.783333,0.723404,0.566667,,0.433333,17,30,0,13,True
Delta_A_Ratio,Ischaemia,30,30,0.840000,0.732044,0.930808,0.409324,0.566667,1.000000,1.000000,0.697674,0.783333,0.723404,0.566667,,0.433333,17,30,0,13,True
PI_Ratio,Ischaemia,30,30,0.840000,0.732044,0.930808,0.409526,0.566667,1.000000,1.000000,0.697674,0.783333,0.723404,0.566667,,0.433333,17,30,0,13,True
Downslope_Ratio,Ischaemia,30,30,0.808889,0.687455,0.916674,1.702333,0.800000,0.733333,0.750000,0.785714,0.766667,0.774194,0.533333,3.000000,0.272727,24,22,8,6,False
DC_Component_Ratio,Ischaemia,30,30,0.666667,0.503825,0.814862,1.440595,0.933333,0.633333,0.717949,0.904762,0.783333,0.811594,0.566667,2.545455,0.105263,28,19,11,2,False
Delta_T_Difference,Ischaemia,30,30,0.564444,0.398934,0.707829,-0.014000,0.266667,0.966667,0.888889,0.568627,0.616667,0.410256,0.233333,8.000000,0.758621,8,29,1,22,True
Rise_Time_Ratio,Ischaemia,30,30,0.550000,0.407767,0.704919,1.040214,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.200000,1.500000,0.666667,18,18,12,12,False
Width_Ratio_Difference,Ischaemia,30,30,0.536667,0.399294,0.688035,0.011549,0.666667,0.500000,0.571429,0.600000,0.583333,0.615385,0.166667,1.333333,0.666667,20,15,15,10,False
Upslope_Ratio,Ischaemia,30,30,0.528889,0.385407,0.686899,0.927145,0.400000,0.800000,0.666667,0.571429,0.600000,0.500000,0.200000,2.000000,0.750000,12,24,6,18,True
