Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse
AUC_Ratio,Ischaemia,30,30,0.957778,0.899889,0.992237,0.608813,0.800000,0.966667,0.960000,0.828571,0.883333,0.872727,0.766667,24.000000,0.206897,24,29,1,6,True
AC_Component_Ratio,Ischaemia,30,30,0.840000,0.732044,0.930808,0.590171,0.566667,1.000000,1.000000,0.697674,0.783333,0.723404,0.566667,,0.433333,17,30,0,13,True
Amplitude_Ratio,Ischaemia,30,30,0.840000,0.732044,0.930808,0.590171,0.566667,1.000000,1.000000,0.697674,0.783333,0.723404,0.566667,,0.433333,17,30,0,13,True
Delta_A_Ratio,Ischaemia,30,30,0.840000,0.732044,0.930808,0.409324,0.566667,1.000000,1.000000,0.697674,0.783333,0.723404,0.566667,,0.433333,17,30,0,13,True
PI_Ratio,Ischaemia,30,30,0.840000,0.732044,0.930808,0.409526,0.566667,1.000000,1.000000,0.697674,0.783333,0.723404,0.566667,,0.433333,17,30,0,13,True
Downslope_Ratio,Ischaemia,30,30,0.808889,0.687455,0.916674,1.702333,0.800000,0.733333,0.750000,0.785714,0.766667,0.774194,0.533333,3.000000,0.272727,24,22,8,6,False
DC_Component_Ratio,Ischaemia,30,30,0.666667,0.503825,0.814862,1.440595,0.933333,0.633333,0.717949,0.904762,0.783333,0.811594,0.566667,2.545455,0.105263,28,19,11,2,False
Delta_T_Difference,Ischaemia,30,30,0.564444,0.398934,0.707829,-0.014000,0.266667,0.966667,0.888889,0.568627,0.616667,0.410256,0.233333,8.000000,0.758621,8,29,1,22,True
Rise_Time_Ratio,Ischaemia,30,30,0.550000,0.407767,0.704919,1.040214,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.200000,1.500000,0.666667,18,18,12,12,False
Width_Ratio_Difference,Ischaemia,30,30,0.536667,0.399294,0.688035,0.011549,0.666667,0.500000,0.571429,0.600000,0.583333,0.615385,0.166667,1.333333,0.666667,20,15,15,10,False
Upslope_Ratio,Ischaemia,30,30,0.528889,0.385407,0.686899,0.927145,0.400000,0.800000,0.666667,0.571429,0.600000,0.500000,0.200000,2.000000,0.750000,12,24,6,18,True
