Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse
DC_Component,Congestion,30,30,1.000000,1.000000,1.000000,2.593262,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,30,30,0,0,True
AC_Component,Congestion,30,30,0.763333,0.632455,0.876228,0.002920,0.600000,0.866667,0.818182,0.684211,0.733333,0.692308,0.466667,4.500000,0.461538,18,26,4,12,True
Amplitude,Congestion,30,30,0.763333,0.632455,0.876228,0.002920,0.600000,0.866667,0.818182,0.684211,0.733333,0.692308,0.466667,4.500000,0.461538,18,26,4,12,True
Max_Start_Datum_Diff,Congestion,30,30,0.753333,0.618770,0.867769,0.002838,0.600000,0.833333,0.782609,0.675676,0.716667,0.679245,0.433333,3.600000,0.480000,18,25,5,12,True
AUC,Congestion,30,30,0.722222,0.589347,0.855423,2.975090,0.533333,0.866667,0.800000,0.650000,0.700000,0.640000,0.400000,4.000000,0.538462,16,26,4,14,True
Start_Datum_Area,Congestion,30,30,0.720000,0.575544,0.842136,0.834453,0.800000,0.633333,0.685714,0.760000,0.716667,0.738462,0.433333,2.181818,0.315789,24,19,11,6,True
PI,Congestion,30,30,0.708889,0.568409,0.832063,0.110689,0.500000,0.866667,0.789474,0.634146,0.683333,0.612245,0.366667,3.750000,0.576923,15,26,4,15,True
S_AUC,Congestion,30,30,0.628889,0.482047,0.776688,0.585584,0.500000,0.766667,0.681818,0.605263,0.633333,0.576923,0.266667,2.142857,0.652174,15,23,7,15,True
D_AUC,Congestion,30,30,0.623333,0.472713,0.772056,2.302364,0.400000,0.866667,0.750000,0.590909,0.633333,0.521739,0.266667,3.000000,0.692308,12,26,4,18,True
SDPPG_b_a,Congestion,30,30,0.616667,0.469130,0.760010,-0.895309,0.800000,0.500000,0.615385,0.714286,0.650000,0.695652,0.300000,1.600000,0.400000,24,15,15,6,False
Pulse_Width,Congestion,30,30,0.613333,0.460553,0.753987,0.964500,0.733333,0.533333,0.611111,0.666667,0.633333,0.666667,0.266667,1.571429,0.500000,22,16,14,8,True
Variance,Congestion,30,30,0.607778,0.457054,0.757807,0.100459,0.633333,0.666667,0.655172,0.645161,0.650000,0.644068,0.300000,1.900000,0.550000,19,20,10,11,False
Skewness,Congestion,30,30,0.598889,0.457175,0.735321,-0.272055,0.500000,0.733333,0.652174,0.594595,0.616667,0.566038,0.233333,1.875000,0.681818,15,22,8,15,True
IPAR,Congestion,30,30,0.590000,0.434913,0.730700,0.518291,0.400000,0.800000,0.666667,0.571429,0.600000,0.500000,0.200000,2.000000,0.750000,12,24,6,18,True
RWI,Congestion,30,30,0.587778,0.441052,0.724143,0.874441,0.800000,0.400000,0.571429,0.666667,0.600000,0.666667,0.200000,1.333333,0.500000,24,12,18,6,False
SDPPG_c_a,Congestion,30,30,0.587778,0.443786,0.724143,0.302424,0.466667,0.733333,0.636364,0.578947,0.600000,0.538462,0.200000,1.750000,0.727273,14,22,8,16,False
End_Datum_Area,Congestion,30,30,0.574444,0.432340,0.734202,0.242616,0.600000,0.700000,0.666667,0.636364,0.650000,0.631579,0.300000,2.000000,0.571429,18,21,9,12,True
DNP,Congestion,30,30,0.567778,0.410438,0.706344,0.835922,0.433333,0.833333,0.722222,0.595238,0.633333,0.541667,0.266667,2.600000,0.680000,13,25,5,17,False
Delta_T,Congestion,30,30,0.567778,0.417383,0.709864,0.133500,0.400000,0.866667,0.750000,0.590909,0.633333,0.521739,0.266667,3.000000,0.692308,12,26,4,18,True
Fall_Time,Congestion,30,30,0.549444,0.387084,0.704576,0.766000,0.766667,0.433333,0.575000,0.650000,0.600000,0.657143,0.200000,1.352941,0.538462,23,13,17,7,True
SDPPG_d_a,Congestion,30,30,0.548889,0.401780,0.704119,-0.207392,1.000000,0.233333,0.566038,1.000000,0.616667,0.722892,0.233333,1.304348,0.000000,30,7,23,0,True
Systolic_Width,Congestion,30,30,0.548889,0.401179,0.691961,0.428500,0.533333,0.633333,0.592593,0.575758,0.583333,0.561404,0.166667,1.454545,0.736842,16,19,11,14,True
Diastolic_Width,Congestion,30,30,0.548333,0.386545,0.704005,0.536500,0.766667,0.433333,0.575000,0.650000,0.600000,0.657143,0.200000,1.352941,0.538462,23,13,17,7,True
AUC_Ratio,Congestion,30,30,0.530000,0.380471,0.680047,0.200100,0.133333,1.000000,1.000000,0.535714,0.566667,0.235294,0.133333,,0.866667,4,30,0,26,True
Datum_Area_Ratio,Congestion,30,30,0.527778,0.371406,0.672986,3.103514,0.400000,0.733333,0.600000,0.550000,0.566667,0.480000,0.133333,1.500000,0.818182,12,22,8,18,True
Kurtosis,Congestion,30,30,0.523333,0.372604,0.677798,-1.256969,0.766667,0.400000,0.560976,0.631579,0.583333,0.647887,0.166667,1.277778,0.583333,23,12,18,7,True
Length_Height_Ratio,Congestion,30,30,0.523333,0.382744,0.677802,2.338522,0.433333,0.666667,0.565217,0.540541,0.550000,0.490566,0.100000,1.300000,0.850000,13,20,10,17,False
Slope_Ratio,Congestion,30,30,0.521111,0.361475,0.667807,2.700362,0.800000,0.300000,0.533333,0.600000,0.550000,0.640000,0.100000,1.142857,0.666667,24,9,21,6,False
Onset_End_Slope,Congestion,30,30,0.518889,0.377733,0.662947,-0.039693,0.766667,0.366667,0.547619,0.611111,0.566667,0.638889,0.133333,1.210526,0.636364,23,11,19,7,False
PW50,Congestion,30,30,0.516111,0.369851,0.662960,0.560500,0.400000,0.700000,0.571429,0.538462,0.550000,0.470588,0.100000,1.333333,0.857143,12,21,9,18,False
Downslope_Length_Ratio,Congestion,30,30,0.515556,0.365765,0.666352,0.550162,0.800000,0.300000,0.533333,0.600000,0.550000,0.640000,0.100000,1.142857,0.666667,24,9,21,6,False
Slope_Length_Ratio,Congestion,30,30,0.515556,0.365765,0.666352,0.817646,0.800000,0.300000,0.533333,0.600000,0.550000,0.640000,0.100000,1.142857,0.666667,24,9,21,6,True
Upslope_Length_Ratio,Congestion,30,30,0.515556,0.365765,0.666352,0.449838,0.800000,0.300000,0.533333,0.600000,0.550000,0.640000,0.100000,1.142857,0.666667,24,9,21,6,True
Rise_Decay_Time_Ratio,Congestion,30,30,0.511111,0.359345,0.661618,0.258376,0.766667,0.366667,0.547619,0.611111,0.566667,0.638889,0.133333,1.210526,0.636364,23,11,19,7,False
