Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse
AC_Component,Ischaemia,30,30,1.000000,1.000000,1.000000,0.002025,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,30,30,0,0,True
AUC,Ischaemia,30,30,1.000000,1.000000,1.000000,1.970180,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,30,30,0,0,True
Amplitude,Ischaemia,30,30,1.000000,1.000000,1.000000,0.002025,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,30,30,0,0,True
DC_Component,Ischaemia,30,30,1.000000,1.000000,1.000000,2.636618,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,30,30,0,0,False
D_AUC,Ischaemia,30,30,1.000000,1.000000,1.000000,1.606001,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,30,30,0,0,True
Max_Start_Datum_Diff,Ischaemia,30,30,1.000000,1.000000,1.000000,0.001964,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,30,30,0,0,True
PI,Ischaemia,30,30,1.000000,1.000000,1.000000,0.076789,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,30,30,0,0,True
Start_Datum_Area,Ischaemia,30,30,0.995556,0.980725,1.000000,0.610485,1.000000,0.966667,0.967742,1.000000,0.983333,0.983607,0.966667,30.000000,0.000000,30,29,1,0,True
End_Datum_Area,Ischaemia,30,30,0.933333,0.856501,0.989955,0.195123,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.800000,9.000000,0.111111,27,27,3,3,True
Downslope,Ischaemia,30,30,0.891111,0.795526,0.968753,-3.428320,0.833333,0.900000,0.892857,0.843750,0.866667,0.862069,0.733333,8.333333,0.185185,25,27,3,5,True
S_AUC,Ischaemia,30,30,0.877778,0.767994,0.969910,0.531310,0.800000,1.000000,1.000000,0.833333,0.900000,0.888889,0.800000,,0.200000,24,30,0,6,True
Length_Height_Ratio,Ischaemia,30,30,0.848889,0.741815,0.942160,2.438650,0.633333,1.000000,1.000000,0.731707,0.816667,0.775510,0.633333,,0.366667,19,30,0,11,False
Slope_Ratio,Ischaemia,30,30,0.828889,0.712026,0.930811,2.432239,0.700000,0.900000,0.875000,0.750000,0.800000,0.777778,0.600000,7.000000,0.333333,21,27,3,9,True
SDPPG_d_a,Ischaemia,30,30,0.768889,0.638487,0.876561,-0.350241,0.833333,0.666667,0.714286,0.800000,0.750000,0.769231,0.500000,2.500000,0.250000,25,20,10,5,True
Downslope_Length,Ischaemia,30,30,0.753333,0.617353,0.882098,1.348995,0.666667,0.833333,0.800000,0.714286,0.750000,0.727273,0.500000,4.000000,0.400000,20,25,5,10,False
SDPPG_c_a,Ischaemia,30,30,0.753333,0.619166,0.867478,0.343552,0.600000,0.833333,0.782609,0.675676,0.716667,0.679245,0.433333,3.600000,0.480000,18,25,5,12,False
