Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse
DC_Component,Congestion,32,32,1.000000,1.000000,1.000000,2.449648,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,32,32,0,0,True
Start_Datum_Area,Congestion,32,32,0.968750,0.897414,1.000000,0.618246,1.000000,0.968750,0.969697,1.000000,0.984375,0.984615,0.968750,32.000000,0.000000,32,31,1,0,True
AC_Component,Congestion,32,32,0.967773,0.897046,1.000000,0.002299,0.968750,0.968750,0.968750,0.968750,0.968750,0.968750,0.937500,31.000000,0.032258,31,31,1,1,True
Amplitude,Congestion,32,32,0.967773,0.897046,1.000000,0.002299,0.968750,0.968750,0.968750,0.968750,0.968750,0.968750,0.937500,31.000000,0.032258,31,31,1,1,True
D_AUC,Congestion,32,32,0.966797,0.894580,1.000000,1.786312,1.000000,0.937500,0.941176,1.000000,0.968750,0.969697,0.937500,16.000000,0.000000,32,30,2,0,True
PI,Congestion,32,32,0.966797,0.896540,1.000000,0.093871,0.968750,0.968750,0.968750,0.968750,0.968750,0.968750,0.937500,31.000000,0.032258,31,31,1,1,True
AUC,Congestion,32,32,0.962891,0.888889,1.000000,2.243469,1.000000,0.937500,0.941176,1.000000,0.968750,0.969697,0.937500,16.000000,0.000000,32,30,2,0,True
Max_Start_Datum_Diff,Congestion,32,32,0.953125,0.877803,1.000000,0.002281,0.968750,0.937500,0.939394,0.967742,0.953125,0.953846,0.906250,15.500000,0.033333,31,30,2,1,True
S_AUC,Congestion,32,32,0.897461,0.804015,0.972644,0.459667,0.875000,0.843750,0.848485,0.870968,0.859375,0.861538,0.718750,5.600000,0.148148,28,27,5,4,True
Diastolic_Width,Congestion,32,32,0.868164,0.765610,0.952412,0.516000,0.906250,0.750000,0.783784,0.888889,0.828125,0.840580,0.656250,3.625000,0.125000,29,24,8,3,True
Fall_Time,Congestion,32,32,0.868164,0.764596,0.953855,0.737000,0.906250,0.750000,0.783784,0.888889,0.828125,0.840580,0.656250,3.625000,0.125000,29,24,8,3,True
Pulse_Width,Congestion,32,32,0.838379,0.728218,0.934043,0.937000,0.968750,0.656250,0.738095,0.954545,0.812500,0.837838,0.625000,2.818182,0.047619,31,21,11,1,True
End_Datum_Area,Congestion,32,32,0.807617,0.681291,0.907913,0.155815,0.843750,0.687500,0.729730,0.814815,0.765625,0.782609,0.531250,2.700000,0.227273,27,22,10,5,True
Width_Ratio,Congestion,32,32,0.659180,0.526135,0.785286,0.803657,0.906250,0.375000,0.591837,0.800000,0.640625,0.716049,0.281250,1.450000,0.250000,29,12,20,3,False
Rise_Decay_Time_Ratio,Congestion,32,32,0.656250,0.524080,0.787304,0.262764,0.937500,0.375000,0.600000,0.857143,0.656250,0.731707,0.312500,1.500000,0.166667,30,12,20,2,False
SDPPG_e_a,Congestion,32,32,0.617188,0.468747,0.746121,0.382664,0.750000,0.562500,0.631579,0.692308,0.656250,0.685714,0.312500,1.714286,0.444444,24,18,14,8,False
Skewness,Congestion,32,32,0.613281,0.468713,0.741959,-0.157463,0.281250,0.937500,0.818182,0.566038,0.609375,0.418605,0.218750,4.500000,0.766667,9,30,2,23,True
IPAR,Congestion,32,32,0.601562,0.453922,0.735115,0.557886,0.500000,0.750000,0.666667,0.600000,0.625000,0.571429,0.250000,2.000000,0.666667,16,24,8,16,True
Systolic_Width,Congestion,32,32,0.599609,0.454085,0.732265,0.419500,0.625000,0.656250,0.645161,0.636364,0.640625,0.634921,0.281250,1.818182,0.571429,20,21,11,12,True
SDPPG_d_a,Congestion,32,32,0.569336,0.421666,0.697507,-0.389608,0.875000,0.281250,0.549020,0.692308,0.578125,0.674699,0.156250,1.217391,0.444444,28,9,23,4,True
Variance,Congestion,32,32,0.567383,0.441468,0.706510,0.105435,0.781250,0.406250,0.568182,0.650000,0.593750,0.657895,0.187500,1.315789,0.538462,25,13,19,7,False
Rise_Time,Congestion,32,32,0.566895,0.425662,0.709681,0.195500,0.843750,0.312500,0.551020,0.666667,0.578125,0.666667,0.156250,1.227273,0.500000,27,10,22,5,False
AUC_Ratio,Congestion,32,32,0.557617,0.417381,0.701946,0.270398,0.156250,1.000000,1.000000,0.542373,0.578125,0.270270,0.156250,,0.843750,5,32,0,27,False
PW50,Congestion,32,32,0.556152,0.411253,0.684737,0.498500,0.625000,0.531250,0.571429,0.586207,0.578125,0.597015,0.156250,1.333333,0.705882,20,17,15,12,False
Datum_Area_Ratio,Congestion,32,32,0.554688,0.414972,0.694047,3.624171,0.968750,0.250000,0.563636,0.888889,0.609375,0.712644,0.218750,1.291667,0.125000,31,8,24,1,False
SDPPG_b_a,Congestion,32,32,0.550781,0.403091,0.697986,-0.980644,0.750000,0.468750,0.585366,0.652174,0.609375,0.657534,0.218750,1.411765,0.533333,24,15,17,8,False
Downslope_Length_Ratio,Congestion,32,32,0.543945,0.397020,0.694860,0.552547,0.656250,0.531250,0.583333,0.607143,0.593750,0.617647,0.187500,1.400000,0.647059,21,17,15,11,True
Slope_Length_Ratio,Congestion,32,32,0.543945,0.397020,0.694860,0.809799,0.656250,0.531250,0.583333,0.607143,0.593750,0.617647,0.187500,1.400000,0.647059,21,17,15,11,False
Upslope_Length_Ratio,Congestion,32,32,0.543945,0.397020,0.694860,0.447453,0.656250,0.531250,0.583333,0.607143,0.593750,0.617647,0.187500,1.400000,0.647059,21,17,15,11,False
DNP,Congestion,32,32,0.537109,0.397037,0.681958,0.795209,0.812500,0.406250,0.577778,0.684211,0.609375,0.675325,0.218750,1.368421,0.461538,26,13,19,6,False
Downslope_Length,Congestion,32,32,0.537109,0.395857,0.675135,1.269344,0.812500,0.375000,0.565217,0.666667,0.593750,0.666667,0.187500,1.300000,0.500000,26,12,20,6,True
SDPPG_c_a,Congestion,32,32,0.534180,0.389585,0.680561,0.397444,0.750000,0.468750,0.585366,0.652174,0.609375,0.657534,0.218750,1.411765,0.533333,24,15,17,8,True
RWI,Congestion,32,32,0.533203,0.390005,0.679289,0.889350,0.250000,0.875000,0.666667,0.538462,0.562500,0.363636,0.125000,2.000000,0.857143,8,28,4,24,True
Length_Height_Ratio,Congestion,32,32,0.528320,0.393041,0.656900,2.282578,0.406250,0.687500,0.565217,0.536585,0.546875,0.472727,0.093750,1.300000,0.863636,13,22,10,19,True
Delta_T,Congestion,32,32,0.523438,0.373822,0.673542,0.144000,0.281250,0.843750,0.642857,0.540000,0.562500,0.391304,0.125000,1.800000,0.851852,9,27,5,23,False
Downslope,Congestion,32,32,0.523438,0.377890,0.666667,-2.263932,0.750000,0.375000,0.545455,0.600000,0.562500,0.631579,0.125000,1.200000,0.666667,24,12,20,8,False
Upslope,Congestion,32,32,0.523438,0.388514,0.672558,8.559002,0.281250,0.875000,0.692308,0.549020,0.578125,0.400000,0.156250,2.250000,0.821429,9,28,4,23,True
Slope_Ratio,Congestion,32,32,0.516602,0.376359,0.660116,3.993751,0.531250,0.625000,0.586207,0.571429,0.578125,0.557377,0.156250,1.416667,0.750000,17,20,12,15,False
Onset_End_Slope,Congestion,32,32,0.508789,0.355400,0.662776,-0.010510,0.656250,0.468750,0.552632,0.576923,0.562500,0.600000,0.125000,1.235294,0.733333,21,15,17,11,False
Kurtosis,Congestion,32,32,0.504883,0.364102,0.644792,-1.461683,0.875000,0.281250,0.549020,0.692308,0.578125,0.674699,0.156250,1.217391,0.444444,28,9,23,4,False
Upslope_Length,Congestion,32,32,0.504883,0.359718,0.657920,1.026119,0.656250,0.468750,0.552632,0.576923,0.562500,0.600000,0.125000,1.235294,0.733333,21,15,17,11,False
