Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse
DC_Component,Ischaemia,32,31,1.000000,1.000000,1.000000,2.457177,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,31,32,0,0,False
Max_Start_Datum_Diff,Ischaemia,32,31,0.997984,0.990872,1.000000,0.001547,1.000000,0.968750,0.968750,1.000000,0.984127,0.984127,0.968750,32.000000,0.000000,31,31,1,0,True
PI,Ischaemia,32,31,0.990927,0.966526,1.000000,0.062946,1.000000,0.968750,0.968750,1.000000,0.984127,0.984127,0.968750,32.000000,0.000000,31,31,1,0,True
AC_Component,Ischaemia,32,31,0.988911,0.960606,1.000000,0.001547,1.000000,0.968750,0.968750,1.000000,0.984127,0.984127,0.968750,32.000000,0.000000,31,31,1,0,True
Amplitude,Ischaemia,32,31,0.988911,0.960606,1.000000,0.001547,1.000000,0.968750,0.968750,1.000000,0.984127,0.984127,0.968750,32.000000,0.000000,31,31,1,0,True
AUC,Ischaemia,32,31,0.968750,0.900000,1.000000,1.501652,1.000000,0.968750,0.968750,1.000000,0.984127,0.984127,0.968750,32.000000,0.000000,31,31,1,0,True
D_AUC,Ischaemia,32,31,0.968750,0.900000,1.000000,1.225976,1.000000,0.968750,0.968750,1.000000,0.984127,0.984127,0.968750,32.000000,0.000000,31,31,1,0,True
End_Datum_Area,Ischaemia,32,31,0.968750,0.900000,1.000000,0.121987,1.000000,0.968750,0.968750,1.000000,0.984127,0.984127,0.968750,32.000000,0.000000,31,31,1,0,True
S_AUC,Ischaemia,32,31,0.968750,0.900000,1.000000,0.300160,1.000000,0.968750,0.968750,1.000000,0.984127,0.984127,0.968750,32.000000,0.000000,31,31,1,0,True
Start_Datum_Area,Ischaemia,32,31,0.968750,0.900000,1.000000,0.427705,1.000000,0.968750,0.968750,1.000000,0.984127,0.984127,0.968750,32.000000,0.000000,31,31,1,0,True
Diastolic_Width,Ischaemia,32,31,0.948085,0.889387,0.990910,0.525000,0.838710,0.937500,0.928571,0.857143,0.888889,0.881356,0.776210,13.419355,0.172043,26,30,2,5,False
Fall_Time,Ischaemia,32,31,0.948085,0.889387,0.990910,0.750000,0.838710,0.937500,0.928571,0.857143,0.888889,0.881356,0.776210,13.419355,0.172043,26,30,2,5,False
Rise_Decay_Time_Ratio,Ischaemia,32,31,0.934476,0.852626,0.991935,0.256427,0.903226,0.937500,0.933333,0.909091,0.920635,0.918033,0.840726,14.451613,0.103226,28,30,2,3,True
Width_Ratio,Ischaemia,32,31,0.932460,0.852765,0.990043,0.794727,0.903226,0.906250,0.903226,0.906250,0.904762,0.903226,0.809476,9.634409,0.106785,28,29,3,3,True
Rise_Time,Ischaemia,32,31,0.911290,0.830095,0.980850,0.192000,0.838710,0.906250,0.896552,0.852941,0.873016,0.866667,0.744960,8.946237,0.177976,26,29,3,5,True
Upslope,Ischaemia,32,31,0.909274,0.833636,0.975433,8.989211,0.774194,0.968750,0.960000,0.815789,0.873016,0.857143,0.742944,24.774194,0.233091,24,31,1,7,False
SDPPG_e_a,Ischaemia,32,31,0.901210,0.808443,0.970094,0.430086,0.935484,0.750000,0.783784,0.923077,0.841270,0.852941,0.685484,3.741935,0.086022,29,24,8,2,False
SDPPG_c_a,Ischaemia,32,31,0.853831,0.748959,0.933337,0.454066,0.709677,0.875000,0.846154,0.756757,0.793651,0.771930,0.584677,5.677419,0.331797,22,28,4,9,False
AUC_Ratio,Ischaemia,32,31,0.852823,0.741933,0.937765,0.245777,0.870968,0.718750,0.750000,0.851852,0.793651,0.805970,0.589718,3.096774,0.179523,27,23,9,4,True
Systolic_Width,Ischaemia,32,31,0.843750,0.746211,0.943380,0.419500,0.935484,0.656250,0.725000,0.913043,0.793651,0.816901,0.591734,2.721408,0.098310,29,21,11,2,True
