PI,Crest_Time,Decay_Time,Pulse_Width,PW50,Systolic_Width,Diastolic_Width,Delta_T,Upslope,Downslope,DNP,RWI,State,Channel
0.10355386248806162,0.158,0.798,0.956,0.625,0.158,0.798,0.077,1.563246635857905e-05,-5.928063043973567e-06,0.21918784754029738,0.9999999631978911,Normal,Red
0.10189236472790829,0.1645,0.799,0.9635,0.5985,0.1645,0.799,0.0775,1.3964706499753872e-05,-6.002602566663085e-06,0.22046349522600808,0.9999999626017572,Normal,Red
0.11285583157558943,0.259,0.714,0.973,0.5555,0.259,0.714,0.096,1.366581275743118e-05,-5.256416440470573e-06,0.2248904825559245,0.9999999662385652,Normal,Red
0.10668845760814621,0.1725,0.818,0.9905,0.523,0.1725,0.818,0.073,1.588581948445511e-05,-4.0626723350209795e-06,0.09352009145011865,0.9999999642871972,Normal,Red
0.09990946587293413,0.2445,0.676,0.9205,0.5525,0.2445,0.676,0.0565,1.4743985374310689e-05,-6.3281393872238745e-06,0.18809834971050365,0.9999999618680054,Normal,Red
0.10430200650122659,0.1975,0.7915,0.989,0.5125,0.1975,0.7915,0.0,1.3900505561813834e-05,-5.455816501922465e-06,0.0013625984346716173,0.9999999634723774,Normal,Red
0.10994022482625403,0.1495,0.8225,0.972,0.53,0.1495,0.8225,0.0665,1.6216379116044434e-05,-6.450358369584951e-06,0.0013498495174182191,0.9999999653454255,Normal,Red
0.11385435704054586,0.152,0.8015,0.9535,0.534,0.152,0.8015,0.078,1.6809188492683275e-05,-4.140984424991364e-06,0.00011844267189059732,0.9999999665356885,Normal,Red
0.11303827708860004,0.1405,0.8145,0.955,0.575,0.1405,0.8145,0.07,1.8166892520570703e-05,-5.9549383767969655e-06,0.0021752744834164944,0.9999999663002332,Normal,Red
0.10637609834394475,0.2735,0.6405,0.914,0.608,0.2735,0.6405,0.0615,1.4361050225055404e-05,-4.18238427964693e-06,0.6129042239743995,0.9999999641926005,Normal,Red
0.1213311711247441,0.219,0.7795,0.9985,0.4885,0.219,0.7795,0.0,1.600829046841611e-05,-7.420389126945869e-06,0.40051950624674093,0.999999968606175,Normal,Red
0.11641150559742117,0.186,0.716,0.902,0.49,0.186,0.716,0.1015,1.6747150583988862e-05,-5.22792563506058e-06,0.06804490450675664,0.9999999672827459,Normal,Red
0.10724440207177986,0.274,0.685,0.959,0.5635,0.274,0.685,0.027,1.3501364849834011e-05,-7.239078439820912e-06,0.6104832394097349,0.9999999644881113,Normal,Red
