Feature,Comparison,State1,State2,AUC,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,TP,TN,FP,FN,Accuracy
Amplitude,Normal vs Ischaemia,Normal,Ischaemia,1.0,3.1723094118268764,1.0,1.0,1.0,1.0,1,1,0,0,1.0
Amplitude,Normal vs Congestion,Normal,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
Amplitude,Ischaemia vs Congestion,Ischaemia,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
AUC,Normal vs Ischaemia,Normal,Ischaemia,1.0,3297.6030157278083,1.0,1.0,1.0,1.0,1,1,0,0,1.0
AUC,Normal vs Congestion,Normal,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
AUC,Ischaemia vs Congestion,Ischaemia,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
S_AUC,Normal vs Ischaemia,Normal,Ischaemia,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
S_AUC,Normal vs Congestion,Normal,Congestion,1.0,650.7636769952877,1.0,1.0,1.0,1.0,1,1,0,0,1.0
S_AUC,Ischaemia vs Congestion,Ischaemia,Congestion,1.0,650.7636769952877,1.0,1.0,1.0,1.0,1,1,0,0,1.0
D_AUC,Normal vs Ischaemia,Normal,Ischaemia,1.0,2684.062271166051,1.0,1.0,1.0,1.0,1,1,0,0,1.0
D_AUC,Normal vs Congestion,Normal,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
D_AUC,Ischaemia vs Congestion,Ischaemia,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
AUC_Ratio,Normal vs Ischaemia,Normal,Ischaemia,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
AUC_Ratio,Normal vs Congestion,Normal,Congestion,1.0,0.2595787172404913,1.0,1.0,1.0,1.0,1,1,0,0,1.0
AUC_Ratio,Ischaemia vs Congestion,Ischaemia,Congestion,1.0,0.2595787172404913,1.0,1.0,1.0,1.0,1,1,0,0,1.0
Start_Datum_Area,Normal vs Ischaemia,Normal,Ischaemia,1.0,930.9321792690378,1.0,1.0,1.0,1.0,1,1,0,0,1.0
Start_Datum_Area,Normal vs Congestion,Normal,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
Start_Datum_Area,Ischaemia vs Congestion,Ischaemia,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
End_Datum_Area,Normal vs Ischaemia,Normal,Ischaemia,1.0,237.81338085980076,1.0,1.0,1.0,1.0,1,1,0,0,1.0
End_Datum_Area,Normal vs Congestion,Normal,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
End_Datum_Area,Ischaemia vs Congestion,Ischaemia,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
Datum_Area_Ratio,Normal vs Ischaemia,Normal,Ischaemia,1.0,3.9267844009965223,1.0,1.0,1.0,1.0,1,1,0,0,1.0
Datum_Area_Ratio,Normal vs Congestion,Normal,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
Datum_Area_Ratio,Ischaemia vs Congestion,Ischaemia,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
Max_Start_Datum_Diff,Normal vs Ischaemia,Normal,Ischaemia,1.0,3.1723187627422846,1.0,1.0,1.0,1.0,1,1,0,0,1.0
Max_Start_Datum_Diff,Normal vs Congestion,Normal,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
Max_Start_Datum_Diff,Ischaemia vs Congestion,Ischaemia,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
