Feature,Comparison,State1,State2,AUC,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,TP,TN,FP,FN,Accuracy
Amplitude,Normal vs Ischaemia,Normal,Ischaemia,1.0,3.175695176374718,1.0,1.0,1.0,1.0,1,1,0,0,1.0
Amplitude,Normal vs Congestion,Normal,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
Amplitude,Ischaemia vs Congestion,Ischaemia,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
AUC,Normal vs Ischaemia,Normal,Ischaemia,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
AUC,Normal vs Congestion,Normal,Congestion,1.0,3329.976596661805,1.0,1.0,1.0,1.0,1,1,0,0,1.0
AUC,Ischaemia vs Congestion,Ischaemia,Congestion,1.0,3329.976596661805,1.0,1.0,1.0,1.0,1,1,0,0,1.0
S_AUC,Normal vs Ischaemia,Normal,Ischaemia,1.0,781.8538308600752,1.0,1.0,1.0,1.0,1,1,0,0,1.0
S_AUC,Normal vs Congestion,Normal,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
S_AUC,Ischaemia vs Congestion,Ischaemia,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
D_AUC,Normal vs Ischaemia,Normal,Ischaemia,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
D_AUC,Normal vs Congestion,Normal,Congestion,1.0,2590.1315333453067,1.0,1.0,1.0,1.0,1,1,0,0,1.0
D_AUC,Ischaemia vs Congestion,Ischaemia,Congestion,1.0,2590.1315333453067,1.0,1.0,1.0,1.0,1,1,0,0,1.0
AUC_Ratio,Normal vs Ischaemia,Normal,Ischaemia,1.0,0.3404265393237441,1.0,1.0,1.0,1.0,1,1,0,0,1.0
AUC_Ratio,Normal vs Congestion,Normal,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
AUC_Ratio,Ischaemia vs Congestion,Ischaemia,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
Start_Datum_Area,Normal vs Ischaemia,Normal,Ischaemia,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
Start_Datum_Area,Normal vs Congestion,Normal,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
Start_Datum_Area,Ischaemia vs Congestion,Ischaemia,Congestion,1.0,873.6604703141902,1.0,1.0,1.0,1.0,1,1,0,0,1.0
End_Datum_Area,Normal vs Ischaemia,Normal,Ischaemia,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
End_Datum_Area,Normal vs Congestion,Normal,Congestion,1.0,270.756732808417,1.0,1.0,1.0,1.0,1,1,0,0,1.0
End_Datum_Area,Ischaemia vs Congestion,Ischaemia,Congestion,1.0,270.756732808417,1.0,1.0,1.0,1.0,1,1,0,0,1.0
Datum_Area_Ratio,Normal vs Ischaemia,Normal,Ischaemia,1.0,3.925271679007456,1.0,1.0,1.0,1.0,1,1,0,0,1.0
Datum_Area_Ratio,Normal vs Congestion,Normal,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
Datum_Area_Ratio,Ischaemia vs Congestion,Ischaemia,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
Max_Start_Datum_Diff,Normal vs Ischaemia,Normal,Ischaemia,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
Max_Start_Datum_Diff,Normal vs Congestion,Normal,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
Max_Start_Datum_Diff,Ischaemia vs Congestion,Ischaemia,Congestion,0.0,inf,0.0,1.0,0.0,0.5,0,1,0,1,0.5
