Feature,Comparison,State1,State2,Mean1,Std1,Mean2,Std2,U_statistic,p_value,p_adjusted,Significant,Cliffs_Delta,Effect_Size,KW_H,KW_p,AUC,Sensitivity,Specificity,Optimal_Threshold
AUC,Normal vs Ischaemia,Normal,Ischaemia,3219.2774430326963,0.0,3297.6030157278083,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,3297.6030157278083
AUC_Ratio,Ischaemia vs Congestion,Ischaemia,Congestion,0.2286117936930609,0.0,0.2595787172404913,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,0.2595787172404913
AUC_Ratio,Normal vs Congestion,Normal,Congestion,0.2432831800874517,0.0,0.2595787172404913,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,0.2595787172404913
Amplitude,Normal vs Ischaemia,Normal,Ischaemia,3.1708092552368172,0.0,3.1723094118268764,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,3.1723094118268764
D_AUC,Normal vs Ischaemia,Normal,Ischaemia,2589.3823929235286,0.0,2684.062271166051,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,2684.062271166051
Datum_Area_Ratio,Normal vs Ischaemia,Normal,Ischaemia,3.853576317271424,0.0,3.9267844009965223,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,3.9267844009965223
End_Datum_Area,Normal vs Ischaemia,Normal,Ischaemia,233.6500395322676,0.0,237.81338085980076,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,237.81338085980076
Max_Start_Datum_Diff,Normal vs Ischaemia,Normal,Ischaemia,3.17081065660162,0.0,3.1723187627422846,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,3.1723187627422846
S_AUC,Ischaemia vs Congestion,Ischaemia,Congestion,613.540744561757,0.0,650.7636769952877,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,650.7636769952877
S_AUC,Normal vs Congestion,Normal,Congestion,629.8950501091678,0.0,650.7636769952877,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,650.7636769952877
Start_Datum_Area,Normal vs Ischaemia,Normal,Ischaemia,898.9880912923478,0.0,930.9321792690378,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,930.9321792690378
