Feature,Comparison,State1,State2,Mean1,Std1,Mean2,Std2,U_statistic,p_value,p_adjusted,Significant,Cliffs_Delta,Effect_Size,KW_H,KW_p,AUC,Sensitivity,Specificity,Optimal_Threshold
AUC,Ischaemia vs Congestion,Ischaemia,Congestion,3220.7827986742236,0.0,3329.976596661805,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,3329.976596661805
AUC,Normal vs Congestion,Normal,Congestion,3319.4921872225755,0.0,3329.976596661805,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,3329.976596661805
AUC_Ratio,Normal vs Ischaemia,Normal,Ischaemia,0.3108248994479501,0.0,0.3404265393237441,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,0.3404265393237441
Amplitude,Normal vs Ischaemia,Normal,Ischaemia,3.160467632262348,0.0,3.175695176374718,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,3.175695176374718
D_AUC,Ischaemia vs Congestion,Ischaemia,Congestion,2438.928967814149,0.0,2590.1315333453067,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,2590.1315333453067
D_AUC,Normal vs Congestion,Normal,Congestion,2558.1556672702436,0.0,2590.1315333453067,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,2590.1315333453067
Datum_Area_Ratio,Normal vs Ischaemia,Normal,Ischaemia,3.645679013617188,0.0,3.925271679007456,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,3.925271679007456
End_Datum_Area,Ischaemia vs Congestion,Ischaemia,Congestion,239.71459117400792,0.0,270.756732808417,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,270.756732808417
End_Datum_Area,Normal vs Congestion,Normal,Congestion,257.7555573503653,0.0,270.756732808417,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,270.756732808417
S_AUC,Normal vs Ischaemia,Normal,Ischaemia,761.3365199523317,0.0,781.8538308600752,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,781.8538308600752
Start_Datum_Area,Ischaemia vs Congestion,Ischaemia,Congestion,865.3292054718725,0.0,873.6604703141902,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,873.6604703141902
