[2026-01-25 13:10:29] FINAL INTEGRATED ANALYSIS START
[2026-01-25 13:10:29] PI_Ratio (Normal): Mean=0.4688, Median=0.4632, N=30
[2026-01-25 13:10:29] PI_Ratio (Ischaemia): Mean=0.4418, Median=0.4467, N=30
[2026-01-25 13:10:29] PI_Ratio (Congestion): Mean=0.7079, Median=0.6907, N=31
[2026-01-25 13:10:29] Amplitude_Ratio (Normal): Mean=0.6754, Median=0.6674, N=30
[2026-01-25 13:10:29] Amplitude_Ratio (Ischaemia): Mean=0.6366, Median=0.6438, N=30
[2026-01-25 13:10:29] Amplitude_Ratio (Congestion): Mean=1.0376, Median=1.0125, N=31
[2026-01-25 13:10:29] Delta_A_Ratio (Normal): Mean=0.4688, Median=0.4632, N=30
[2026-01-25 13:10:29] Delta_A_Ratio (Ischaemia): Mean=0.4418, Median=0.4467, N=30
[2026-01-25 13:10:29] Delta_A_Ratio (Congestion): Mean=0.7079, Median=0.6907, N=31
[2026-01-25 13:10:30] Rise_Decay_Ratio_Red (Normal): Mean=0.2462, Median=0.2013, N=30
[2026-01-25 13:10:30] Rise_Decay_Ratio_Red (Ischaemia): Mean=0.2512, Median=0.2211, N=30
[2026-01-25 13:10:30] Rise_Decay_Ratio_Red (Congestion): Mean=0.2370, Median=0.2001, N=31
[2026-01-25 13:10:30] Rise_Decay_Ratio_IR (Normal): Mean=0.1932, Median=0.1929, N=30
[2026-01-25 13:10:30] Rise_Decay_Ratio_IR (Ischaemia): Mean=0.1687, Median=0.1682, N=30
[2026-01-25 13:10:30] Rise_Decay_Ratio_IR (Congestion): Mean=0.2349, Median=0.2129, N=31
[2026-01-25 13:10:30] b_a_Red (Normal): Mean=-1.0091, Median=-0.9652, N=30
[2026-01-25 13:10:30] b_a_Red (Ischaemia): Mean=-1.0196, Median=-0.9652, N=30
[2026-01-25 13:10:30] b_a_Red (Congestion): Mean=-1.1305, Median=-1.0194, N=31
[2026-01-25 13:10:30] b_a_IR (Normal): Mean=-1.0130, Median=-1.0047, N=30
[2026-01-25 13:10:30] b_a_IR (Ischaemia): Mean=-1.0050, Median=-0.9991, N=30
[2026-01-25 13:10:30] b_a_IR (Congestion): Mean=-0.9993, Median=-0.9946, N=31
[2026-01-25 13:10:30] c_a_Red (Normal): Mean=0.5539, Median=0.5372, N=30
[2026-01-25 13:10:30] c_a_Red (Ischaemia): Mean=0.6809, Median=0.5556, N=30
[2026-01-25 13:10:30] c_a_Red (Congestion): Mean=0.5738, Median=0.4585, N=31
[2026-01-25 13:10:30] c_a_IR (Normal): Mean=0.2107, Median=0.2107, N=30
[2026-01-25 13:10:30] c_a_IR (Ischaemia): Mean=0.2349, Median=0.2303, N=30
[2026-01-25 13:10:30] c_a_IR (Congestion): Mean=0.2919, Median=0.2923, N=31
[2026-01-25 13:10:30] d_a_Red (Normal): Mean=-0.4916, Median=-0.4460, N=30
[2026-01-25 13:10:30] d_a_Red (Ischaemia): Mean=-0.6816, Median=-0.6370, N=30
[2026-01-25 13:10:30] d_a_Red (Congestion): Mean=-0.5389, Median=-0.4560, N=31
[2026-01-25 13:10:30] d_a_IR (Normal): Mean=-0.1956, Median=-0.1986, N=30
[2026-01-25 13:10:30] d_a_IR (Ischaemia): Mean=-0.2472, Median=-0.2492, N=30
[2026-01-25 13:10:30] d_a_IR (Congestion): Mean=-0.3125, Median=-0.3132, N=31
[2026-01-25 13:10:30] e_a_Red (Normal): Mean=0.6774, Median=0.6857, N=30
[2026-01-25 13:10:30] e_a_Red (Ischaemia): Mean=0.9715, Median=0.8424, N=30
[2026-01-25 13:10:30] e_a_Red (Congestion): Mean=0.8141, Median=0.6770, N=31
[2026-01-25 13:10:30] e_a_IR (Normal): Mean=0.4767, Median=0.4802, N=30
[2026-01-25 13:10:30] e_a_IR (Ischaemia): Mean=0.4959, Median=0.5072, N=30
[2026-01-25 13:10:30] e_a_IR (Congestion): Mean=0.4555, Median=0.4534, N=31
[2026-01-25 13:10:30] Skewness_Red (Normal): Mean=-0.2249, Median=-0.2476, N=30
[2026-01-25 13:10:30] Skewness_Red (Ischaemia): Mean=-0.1560, Median=-0.1753, N=30
[2026-01-25 13:10:30] Skewness_Red (Congestion): Mean=-0.2680, Median=-0.2712, N=31
[2026-01-25 13:10:30] Skewness_IR (Normal): Mean=-0.1407, Median=-0.1361, N=30
[2026-01-25 13:10:30] Skewness_IR (Ischaemia): Mean=-0.1629, Median=-0.1702, N=30
[2026-01-25 13:10:30] Skewness_IR (Congestion): Mean=-0.2183, Median=-0.2026, N=31
[2026-01-25 13:10:30] Kurtosis_Red (Normal): Mean=-1.2399, Median=-1.2563, N=30
[2026-01-25 13:10:30] Kurtosis_Red (Ischaemia): Mean=-1.1566, Median=-1.1230, N=30
[2026-01-25 13:10:30] Kurtosis_Red (Congestion): Mean=-1.2076, Median=-1.2667, N=31
[2026-01-25 13:10:31] Kurtosis_IR (Normal): Mean=-1.3101, Median=-1.3294, N=30
[2026-01-25 13:10:31] Kurtosis_IR (Ischaemia): Mean=-1.2679, Median=-1.3343, N=30
[2026-01-25 13:10:31] Kurtosis_IR (Congestion): Mean=-1.3582, Median=-1.4040, N=31
[2026-01-25 13:10:31] Variance_Red (Normal): Mean=0.0936, Median=0.0953, N=30
[2026-01-25 13:10:31] Variance_Red (Ischaemia): Mean=0.0848, Median=0.0832, N=30
[2026-01-25 13:10:31] Variance_Red (Congestion): Mean=0.0950, Median=0.0994, N=31
[2026-01-25 13:10:31] Variance_IR (Normal): Mean=0.0999, Median=0.1013, N=30
[2026-01-25 13:10:31] Variance_IR (Ischaemia): Mean=0.0984, Median=0.1003, N=30
[2026-01-25 13:10:31] Variance_IR (Congestion): Mean=0.1129, Median=0.1145, N=31
