Feature,State,Mean,Std,Median
PI_Ratio,Normal,0.46876871247639507,0.033870244218404955,0.4632092485957099
PI_Ratio,Ischaemia,0.441834991000803,0.030552130808748374,0.4467439794756448
PI_Ratio,Congestion,0.7079195488953588,0.07833102632526638,0.6907413178562527
Amplitude_Ratio,Normal,0.6753740651067661,0.04873484146060471,0.6674202967193659
Amplitude_Ratio,Ischaemia,0.6366406849264753,0.04404239825613139,0.64378077501776
Amplitude_Ratio,Congestion,1.0376243867098671,0.11448361968003208,1.0125279703143268
Delta_A_Ratio,Normal,0.46876871247639507,0.03387024421840495,0.46320924859570983
Delta_A_Ratio,Ischaemia,0.441834991000803,0.030552130808748374,0.44674397947564487
Delta_A_Ratio,Congestion,0.7079195488953588,0.0783310263252664,0.6907413178562527
Rise_Decay_Ratio_Red,Normal,0.24623961867979874,0.07750481309579138,0.20134191297862342
Rise_Decay_Ratio_Red,Ischaemia,0.25118615660224125,0.10588701984762149,0.22106561219064877
Rise_Decay_Ratio_Red,Congestion,0.23695843843226796,0.07470878893125008,0.2001254705144291
Rise_Decay_Ratio_IR,Normal,0.1931523932927951,0.0056323533186014305,0.19293886921240172
Rise_Decay_Ratio_IR,Ischaemia,0.16866302468789446,0.007204340672298606,0.16821020495608086
Rise_Decay_Ratio_IR,Congestion,0.234888547191096,0.052552811458925694,0.2128589263420724
b_a_Red,Normal,-1.009122268834672,0.2705854903743324,-0.9651890760581294
b_a_Red,Ischaemia,-1.0195642802355362,0.24960487160415915,-0.9652269649684815
b_a_Red,Congestion,-1.1304954512016774,0.2740106067684133,-1.0193748005881964
b_a_IR,Normal,-1.0130445886459503,0.046905824880223324,-1.0047307351863661
b_a_IR,Ischaemia,-1.0049847701242114,0.06418374616024228,-0.9990813333577164
b_a_IR,Congestion,-0.9992761497562364,0.10510922530688675,-0.9946296688745997
c_a_Red,Normal,0.5539366432795938,0.19170160370968423,0.5371638944504435
c_a_Red,Ischaemia,0.6808766942674329,0.30701267233898905,0.555647561260842
c_a_Red,Congestion,0.5737854498208583,0.2575495117628935,0.45848380385946963
c_a_IR,Normal,0.21073574964599778,0.035482646120909726,0.21072565963537712
c_a_IR,Ischaemia,0.23486915115027468,0.03447347814669597,0.23033670140304086
c_a_IR,Congestion,0.29194806444819527,0.058614028448172525,0.2923088574938449
d_a_Red,Normal,-0.4915732064038696,0.15306059655475165,-0.44604347997787414
d_a_Red,Ischaemia,-0.6816190468402117,0.2918273606117986,-0.6370371580433614
d_a_Red,Congestion,-0.538872179498238,0.2447221006315665,-0.45604863275608193
d_a_IR,Normal,-0.19564751968562738,0.03239364379900235,-0.19856812084622572
d_a_IR,Ischaemia,-0.24720722118857455,0.03182422970825793,-0.2492203521326481
d_a_IR,Congestion,-0.31250627137914794,0.05517556531597329,-0.3131776771316196
e_a_Red,Normal,0.6773922997978468,0.1866613081875068,0.6857346530113639
e_a_Red,Ischaemia,0.9714625696545737,0.4684624625075282,0.842377867000685
e_a_Red,Congestion,0.8140894519780352,0.4124581279618308,0.6769624474449255
e_a_IR,Normal,0.4766545866582496,0.05096872831255272,0.4801591578197926
e_a_IR,Ischaemia,0.4959432805288213,0.06774674271569178,0.5071574619771171
e_a_IR,Congestion,0.4554912843948478,0.11212141910245571,0.45335956696259766
Skewness_Red,Normal,-0.2249061700624605,0.12695665169534578,-0.24755159678518096
Skewness_Red,Ischaemia,-0.15596420098817182,0.17938514270783507,-0.17528191448238534
Skewness_Red,Congestion,-0.2679789234367721,0.12330783784089198,-0.2712438165515548
Skewness_IR,Normal,-0.14065294122285968,0.022690533287342284,-0.13614359654859357
Skewness_IR,Ischaemia,-0.1629430890428631,0.07584626720851012,-0.1701820912804294
Skewness_IR,Congestion,-0.21834441200703486,0.05484809550656863,-0.2026436670120859
Kurtosis_Red,Normal,-1.239938940520293,0.16720518794914735,-1.2562925085413248
Kurtosis_Red,Ischaemia,-1.1565596450807658,0.2453750797458864,-1.1229955546967871
Kurtosis_Red,Congestion,-1.2076496782292683,0.27923170691420957,-1.2667279545504222
Kurtosis_IR,Normal,-1.3101387591504952,0.07745521308998485,-1.3293749007456905
Kurtosis_IR,Ischaemia,-1.2679475927820822,0.317710772668483,-1.334276114822727
Kurtosis_IR,Congestion,-1.3581939380883663,0.19799200682416304,-1.403950829884586
Variance_Red,Normal,0.09355022474252157,0.011411599032843507,0.09529615557034457
Variance_Red,Ischaemia,0.08477221147838257,0.01309421972814217,0.08322408452305871
Variance_Red,Congestion,0.0949728388542898,0.012160052843770435,0.09936901528010764
Variance_IR,Normal,0.09992030367879493,0.00616722639888951,0.10129821142967635
Variance_IR,Ischaemia,0.09838502250766795,0.011278364199114113,0.10028269241575542
Variance_IR,Congestion,0.1128758860531103,0.010351572233206714,0.11453257860155742
