Feature,Comparison,State1,State2,N_Total,N_Positive,N_Negative,AUC,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy
Amplitude,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
Amplitude,Normal vs Congestion,Normal,Congestion,48,24,24,0.2534722222222222,inf,0.0,1.0,0.0,0.5,0.5
Amplitude,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,1.0,0.0023823752161439156,1.0,1.0,1.0,1.0,1.0
AUC,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
AUC,Normal vs Congestion,Normal,Congestion,48,24,24,0.28645833333333337,3.742127604697271,0.041666666666666664,1.0,1.0,0.5106382978723404,0.5208333333333334
AUC,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,1.0,2.723681801365612,1.0,1.0,1.0,1.0,1.0
S_AUC,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.1232638888888889,inf,0.0,1.0,0.0,0.5,0.5
S_AUC,Normal vs Congestion,Normal,Congestion,48,24,24,0.34201388888888884,1.1367222902119831,0.125,0.9166666666666666,0.6,0.5116279069767442,0.5208333333333334
S_AUC,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.84375,0.4640687268851807,1.0,0.75,0.8,1.0,0.875
D_AUC,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
D_AUC,Normal vs Congestion,Normal,Congestion,48,24,24,0.37326388888888895,1.8057460259601341,0.9583333333333334,0.08333333333333337,0.5111111111111111,0.6666666666666666,0.5208333333333334
D_AUC,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,1.0,1.7560493323108477,1.0,1.0,1.0,1.0,1.0
AUC_Ratio,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.49305555555555564,0.2966551321806647,0.375,0.7916666666666666,0.6428571428571429,0.5588235294117647,0.5833333333333334
AUC_Ratio,Normal vs Congestion,Normal,Congestion,48,24,24,0.4444444444444444,0.629502861349273,0.125,0.9583333333333334,0.75,0.5227272727272727,0.5416666666666666
AUC_Ratio,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.4409722222222222,0.20010992440985517,0.9166666666666666,0.125,0.5116279069767442,0.6,0.5208333333333334
Start_Datum_Area,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.003472222222222219,inf,0.0,1.0,0.0,0.5,0.5
Start_Datum_Area,Normal vs Congestion,Normal,Congestion,48,24,24,0.28125,0.7267997617836147,1.0,0.08333333333333337,0.5217391304347826,1.0,0.5416666666666666
Start_Datum_Area,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,1.0,0.7267997617836147,1.0,1.0,1.0,1.0,1.0
End_Datum_Area,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.06944444444444445,inf,0.0,1.0,0.0,0.5,0.5
End_Datum_Area,Normal vs Congestion,Normal,Congestion,48,24,24,0.4513888888888889,0.21531515799611517,0.7916666666666666,0.33333333333333337,0.5428571428571428,0.6153846153846154,0.5625
End_Datum_Area,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.951388888888889,0.20489835135755838,0.875,0.9166666666666666,0.9130434782608695,0.88,0.8958333333333334
Datum_Area_Ratio,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.5295138888888888,3.6554595177364746,0.5833333333333334,0.625,0.6086956521739131,0.6,0.6041666666666666
Datum_Area_Ratio,Normal vs Congestion,Normal,Congestion,48,24,24,0.4652777777777778,2.3301274936666636,1.0,0.08333333333333337,0.5217391304347826,1.0,0.5416666666666666
Datum_Area_Ratio,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.42708333333333337,2.3301274936666636,1.0,0.125,0.5333333333333333,1.0,0.5625
Max_Start_Datum_Diff,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
Max_Start_Datum_Diff,Normal vs Congestion,Normal,Congestion,48,24,24,0.2552083333333333,inf,0.0,1.0,0.0,0.5,0.5
Max_Start_Datum_Diff,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,1.0,0.0023824620396003106,1.0,1.0,1.0,1.0,1.0
