Feature,Comparison,State1,State2,N_Total,N_Positive,N_Negative,AUC,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy
Amplitude,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.5538194444444444,3.199552087243873,0.2916666666666667,0.9166666666666666,0.7777777777777778,0.5641025641025641,0.6041666666666666
Amplitude,Normal vs Congestion,Normal,Congestion,48,24,24,0.057291666666666664,inf,0.0,1.0,0.0,0.5,0.5
Amplitude,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.055555555555555546,inf,0.0,1.0,0.0,0.5,0.5
AUC,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.9479166666666667,3249.8788477942007,0.875,0.9166666666666666,0.9130434782608695,0.88,0.8958333333333334
AUC,Normal vs Congestion,Normal,Congestion,48,24,24,0.28125000000000006,3294.918543166369,0.16666666666666666,1.0,1.0,0.5454545454545454,0.5833333333333334
AUC,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.11458333333333331,inf,0.0,1.0,0.0,0.5,0.5
S_AUC,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.13368055555555555,647.8927897692637,0.041666666666666664,1.0,1.0,0.5106382978723404,0.5208333333333334
S_AUC,Normal vs Congestion,Normal,Congestion,48,24,24,0.8333333333333333,645.903803308385,0.7083333333333334,1.0,1.0,0.7741935483870968,0.8541666666666666
S_AUC,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.9409722222222222,625.9987925049129,0.9166666666666666,0.875,0.88,0.9130434782608695,0.8958333333333334
D_AUC,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.9878472222222222,2625.4415214045875,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334
D_AUC,Normal vs Congestion,Normal,Congestion,48,24,24,0.1892361111111111,2647.0238581691983,0.125,1.0,1.0,0.5333333333333333,0.5625
D_AUC,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.034722222222222224,inf,0.0,1.0,0.0,0.5,0.5
AUC_Ratio,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.024305555555555552,inf,0.0,1.0,0.0,0.5,0.5
AUC_Ratio,Normal vs Congestion,Normal,Congestion,48,24,24,0.9461805555555556,0.2519592057007267,0.8333333333333334,1.0,1.0,0.8571428571428571,0.9166666666666666
AUC_Ratio,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,1.0,0.24476344744594966,1.0,1.0,1.0,1.0,1.0
Start_Datum_Area,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.9479166666666667,920.7370771833776,0.75,1.0,1.0,0.8,0.875
Start_Datum_Area,Normal vs Congestion,Normal,Congestion,48,24,24,0.01215277777777778,inf,0.0,1.0,0.0,0.5,0.5
Start_Datum_Area,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
End_Datum_Area,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.609375,236.5877691231436,0.625,0.75,0.7142857142857143,0.6666666666666666,0.6875
End_Datum_Area,Normal vs Congestion,Normal,Congestion,48,24,24,0.2152777777777778,inf,0.0,1.0,0.0,0.5,0.5
End_Datum_Area,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.1527777777777778,inf,0.0,1.0,0.0,0.5,0.5
Datum_Area_Ratio,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.5972222222222222,4.117006934517254,0.25,1.0,1.0,0.5714285714285714,0.625
Datum_Area_Ratio,Normal vs Congestion,Normal,Congestion,48,24,24,0.2586805555555556,inf,0.0,1.0,0.0,0.5,0.5
Datum_Area_Ratio,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.22395833333333331,3.445201829404257,1.0,0.04166666666666663,0.5106382978723404,1.0,0.5208333333333334
Max_Start_Datum_Diff,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.5538194444444444,3.199552087243873,0.2916666666666667,0.9166666666666666,0.7777777777777778,0.5641025641025641,0.6041666666666666
Max_Start_Datum_Diff,Normal vs Congestion,Normal,Congestion,48,24,24,0.057291666666666664,inf,0.0,1.0,0.0,0.5,0.5
Max_Start_Datum_Diff,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.055555555555555546,inf,0.0,1.0,0.0,0.5,0.5
