Feature,Comparison,State1,State2,N_Total,N_Positive,N_Negative,AUC,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy
Amplitude,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.48611111111111116,3.2013150751115704,0.4166666666666667,0.6666666666666667,0.5555555555555556,0.5333333333333333,0.5416666666666666
Amplitude,Normal vs Congestion,Normal,Congestion,48,24,24,0.48958333333333337,2.993465578920757,0.875,0.25,0.5384615384615384,0.6666666666666666,0.5625
Amplitude,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.48958333333333337,2.993465578920757,0.875,0.20833333333333337,0.525,0.625,0.5416666666666666
AUC,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.41666666666666663,3137.6122057837943,0.75,0.29166666666666663,0.5142857142857142,0.5384615384615384,0.5208333333333334
AUC,Normal vs Congestion,Normal,Congestion,48,24,24,0.5104166666666666,3198.955417081346,0.7083333333333334,0.375,0.53125,0.5625,0.5416666666666666
AUC,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.6024305555555555,3490.288579158479,0.2916666666666667,0.9583333333333334,0.875,0.575,0.625
S_AUC,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.45138888888888895,765.0183727267583,0.3333333333333333,0.7916666666666666,0.6153846153846154,0.5428571428571428,0.5625
S_AUC,Normal vs Congestion,Normal,Congestion,48,24,24,0.45486111111111116,1240.0232136984896,0.125,0.9583333333333334,0.75,0.5227272727272727,0.5416666666666666
S_AUC,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.5069444444444444,583.3387609213515,0.8333333333333334,0.29166666666666663,0.5405405405405406,0.6363636363636364,0.5625
D_AUC,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.37847222222222227,1836.5083051498173,0.9583333333333334,0.08333333333333337,0.5111111111111111,0.6666666666666666,0.5208333333333334
D_AUC,Normal vs Congestion,Normal,Congestion,48,24,24,0.5364583333333333,2652.1622107253907,0.5,0.75,0.6666666666666666,0.6,0.625
D_AUC,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.6371527777777778,2611.6109214433045,0.625,0.7083333333333333,0.6818181818181818,0.6538461538461539,0.6666666666666666
AUC_Ratio,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.49305555555555564,0.29665513218066464,0.375,0.7916666666666666,0.6428571428571429,0.5588235294117647,0.5833333333333334
AUC_Ratio,Normal vs Congestion,Normal,Congestion,48,24,24,0.4444444444444444,0.6295028613492729,0.125,0.9583333333333334,0.75,0.5227272727272727,0.5416666666666666
AUC_Ratio,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.4409722222222222,0.20010992440985512,0.9166666666666666,0.125,0.5116279069767442,0.6,0.5208333333333334
Start_Datum_Area,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.4895833333333333,947.0355130453183,0.2916666666666667,0.875,0.7,0.5526315789473685,0.5833333333333334
Start_Datum_Area,Normal vs Congestion,Normal,Congestion,48,24,24,0.46875000000000006,816.6456555405155,0.9583333333333334,0.20833333333333337,0.5476190476190477,0.8333333333333334,0.5833333333333334
Start_Datum_Area,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.5138888888888888,816.6456555405155,0.9583333333333334,0.33333333333333337,0.5897435897435898,0.8888888888888888,0.6458333333333334
End_Datum_Area,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.43229166666666663,309.28476098859164,0.2916666666666667,0.8333333333333334,0.6363636363636364,0.5405405405405406,0.5625
End_Datum_Area,Normal vs Congestion,Normal,Congestion,48,24,24,0.5,223.5187207286484,0.875,0.33333333333333337,0.5675675675675675,0.7272727272727273,0.6041666666666666
End_Datum_Area,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.6059027777777777,225.58542595944624,0.8333333333333334,0.5,0.625,0.75,0.6666666666666666
Datum_Area_Ratio,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.5295138888888888,3.655459517736474,0.5833333333333334,0.625,0.6086956521739131,0.6,0.6041666666666666
Datum_Area_Ratio,Normal vs Congestion,Normal,Congestion,48,24,24,0.4652777777777778,2.330127493666664,1.0,0.08333333333333337,0.5217391304347826,1.0,0.5416666666666666
Datum_Area_Ratio,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.42708333333333337,2.330127493666664,1.0,0.125,0.5333333333333333,1.0,0.5625
Max_Start_Datum_Diff,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.45312499999999994,3.238859180230293,0.2916666666666667,0.75,0.5384615384615384,0.5142857142857142,0.5208333333333334
Max_Start_Datum_Diff,Normal vs Congestion,Normal,Congestion,48,24,24,0.4878472222222222,2.993465578920757,0.8333333333333334,0.29166666666666663,0.5405405405405406,0.6363636363636364,0.5625
Max_Start_Datum_Diff,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.53125,3.0634704760141007,0.625,0.5,0.5555555555555556,0.5714285714285714,0.5625
