Feature,Depth,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,LR_Positive,LR_Negative,TP,TN,FP,FN
IR_Fall_Time,3,Ischaemia,30,30,1.0000,1.0000,1.0000,0.8170,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,0.0000,30,30,0,0
IR_Upslope,3,Ischaemia,30,30,0.9867,0.9630,1.0000,11.3390,0.9667,0.9333,0.9355,0.9655,0.9500,0.9508,14.5000,0.0357,29,28,2,1
IR_Pulse_Width,3,Ischaemia,30,30,0.9822,0.9497,1.0000,0.9700,0.9333,0.9667,0.9655,0.9355,0.9500,0.9492,28.0000,0.0690,28,29,1,2
IR_Diastolic_Width,3,Ischaemia,30,30,0.9817,0.9505,1.0000,0.3885,0.9000,0.9667,0.9643,0.9062,0.9333,0.9310,27.0000,0.1034,27,29,1,3
IR_Systolic_Width,3,Ischaemia,30,30,0.9794,0.9429,1.0000,0.5820,0.9333,0.9667,0.9655,0.9355,0.9500,0.9492,28.0000,0.0690,28,29,1,2
IR_Downslope_Length,3,Ischaemia,30,30,0.9211,0.8203,0.9919,1.3022,0.8667,1.0000,1.0000,0.8824,0.9333,0.9286,,0.1333,26,30,0,4
IR_SDPPG_e_a,3,Ischaemia,30,30,0.9167,0.8350,0.9733,0.1994,0.8000,0.9000,0.8889,0.8182,0.8500,0.8421,8.0000,0.2222,24,27,3,6
Red_Length_Height_Ratio,3,Ischaemia,30,30,0.9078,0.8240,0.9766,2.6547,0.8000,0.9667,0.9600,0.8286,0.8833,0.8727,24.0000,0.2069,24,29,1,6
IR_PW50,3,Ischaemia,30,30,0.8889,0.7840,0.9689,0.5260,0.9667,0.8333,0.8529,0.9615,0.9000,0.9062,5.8000,0.0400,29,25,5,1
IR_Downslope_Length_Ratio,3,Ischaemia,30,30,0.8867,0.7778,0.9688,0.5609,0.8333,0.9333,0.9259,0.8485,0.8833,0.8772,12.5000,0.1786,25,28,2,5
IR_Length_Height_Ratio,3,Ischaemia,30,30,0.8867,0.7664,0.9833,2.3223,0.7667,0.9667,0.9583,0.8056,0.8667,0.8519,23.0000,0.2414,23,29,1,7
Red_Downslope_Length,3,Ischaemia,30,30,0.8633,0.7673,0.9420,1.5594,0.7333,0.9000,0.8800,0.7714,0.8167,0.8000,7.3333,0.2963,22,27,3,8
IR_SDPPG_c_a,3,Ischaemia,30,30,0.8222,0.6987,0.9129,0.2389,0.7667,0.7333,0.7419,0.7586,0.7500,0.7541,2.8750,0.3182,23,22,8,7
IR_IPAR,3,Ischaemia,30,30,0.8144,0.6966,0.9163,0.6632,0.7667,0.7667,0.7667,0.7667,0.7667,0.7667,3.2857,0.3043,23,23,7,7
Red_Downslope_Length_Ratio,3,Ischaemia,30,30,0.7711,0.6375,0.8951,0.6126,0.5667,0.9333,0.8947,0.6829,0.7500,0.6939,8.5000,0.4643,17,28,2,13
Red_SDPPG_c_a,3,Ischaemia,30,30,0.7178,0.5766,0.8445,0.3901,0.7667,0.6333,0.6765,0.7308,0.7000,0.7188,2.0909,0.3684,23,19,11,7
IR_Datum_Area_Ratio,3,Ischaemia,30,30,0.7100,0.5806,0.8317,4.5078,0.8000,0.5667,0.6486,0.7391,0.6833,0.7164,1.8462,0.3529,24,17,13,6
Red_SDPPG_e_a,3,Ischaemia,30,30,0.7000,0.5578,0.8220,0.3230,0.9333,0.4000,0.6087,0.8571,0.6667,0.7368,1.5556,0.1667,28,12,18,2
Red_Width_Ratio,3,Ischaemia,30,30,0.6317,0.4841,0.7715,1.4986,0.7000,0.6000,0.6364,0.6667,0.6500,0.6667,1.7500,0.5000,21,18,12,9
Red_Delta_T,3,Ischaemia,30,30,0.6122,0.4982,0.7286,0.0635,0.4333,0.8000,0.6842,0.5854,0.6167,0.5306,2.1667,0.7083,13,24,6,17
Red_Kurtosis,3,Ischaemia,30,30,0.6100,0.4594,0.7375,-1.1801,0.5667,0.7000,0.6538,0.6176,0.6333,0.6071,1.8889,0.6190,17,21,9,13
Red_PW50,3,Ischaemia,30,30,0.5950,0.4345,0.7412,0.6090,0.3667,0.9000,0.7857,0.5870,0.6333,0.5000,3.6667,0.7037,11,27,3,19
Red_Skewness,3,Ischaemia,30,30,0.5900,0.4490,0.7331,0.0127,0.2000,0.9667,0.8571,0.5472,0.5833,0.3243,6.0000,0.8276,6,29,1,24
Red_Upslope,3,Ischaemia,30,30,0.5867,0.4274,0.7396,11.8941,0.4333,0.9000,0.8125,0.6136,0.6667,0.5652,4.3333,0.6296,13,27,3,17
IR_Width_Ratio,3,Ischaemia,30,30,0.5822,0.4355,0.7307,1.4981,0.8667,0.3667,0.5778,0.7333,0.6167,0.6933,1.3684,0.3636,26,11,19,4
IR_SDPPG_b_a,3,Ischaemia,30,30,0.5822,0.4182,0.7332,-0.9543,0.3333,0.9667,0.9091,0.5918,0.6500,0.4878,10.0000,0.6897,10,29,1,20
IR_RWI,3,Ischaemia,30,30,0.5800,0.4316,0.7261,0.5405,0.5333,0.7333,0.6667,0.6111,0.6333,0.5926,2.0000,0.6364,16,22,8,14
Red_Systolic_Width,3,Ischaemia,30,30,0.5778,0.4455,0.7264,0.5875,0.5000,0.7000,0.6250,0.5833,0.6000,0.5556,1.6667,0.7143,15,21,9,15
Red_Pulse_Width,3,Ischaemia,30,30,0.5772,0.4471,0.7264,0.9795,0.5000,0.7000,0.6250,0.5833,0.6000,0.5556,1.6667,0.7143,15,21,9,15
Red_Diastolic_Width,3,Ischaemia,30,30,0.5772,0.4442,0.7275,0.3920,0.5000,0.7000,0.6250,0.5833,0.6000,0.5556,1.6667,0.7143,15,21,9,15
Red_Fall_Time,3,Ischaemia,30,30,0.5533,0.4007,0.6997,0.8190,0.3667,0.9667,0.9167,0.6042,0.6667,0.5238,11.0000,0.6552,11,29,1,19
Red_AUC_Ratio,3,Ischaemia,30,30,0.5511,0.4096,0.6953,0.2702,0.4667,0.7000,0.6087,0.5676,0.5833,0.5283,1.5556,0.7619,14,21,9,16
Red_IPAR,3,Ischaemia,30,30,0.5500,0.4051,0.6989,0.6334,0.4000,0.7667,0.6316,0.5610,0.5833,0.4898,1.7143,0.7826,12,23,7,18
IR_DNP,3,Ischaemia,30,30,0.5489,0.4063,0.6987,0.5405,0.5000,0.7333,0.6522,0.5946,0.6167,0.5660,1.8750,0.6818,15,22,8,15
IR_Onset_End_Slope,3,Ischaemia,30,30,0.5289,0.3759,0.6752,0.0245,0.2333,0.9667,0.8750,0.5577,0.6000,0.3684,7.0000,0.7931,7,29,1,23
Red_Upslope_Length,3,Ischaemia,30,30,0.5233,0.3760,0.6723,1.0605,0.4333,0.7667,0.6500,0.5750,0.6000,0.5200,1.8571,0.7391,13,23,7,17
Red_Onset_End_Slope,3,Ischaemia,30,30,0.5222,0.3815,0.6777,0.0524,0.3667,0.8333,0.6875,0.5682,0.6000,0.4783,2.2000,0.7600,11,25,5,19
Red_RWI,3,Ischaemia,30,30,0.5178,0.3536,0.6732,0.6469,0.4667,0.7333,0.6364,0.5789,0.6000,0.5385,1.7500,0.7273,14,22,8,16
Red_SDPPG_b_a,3,Ischaemia,30,30,0.5100,0.3623,0.6530,-0.9195,0.6000,0.5333,0.5625,0.5714,0.5667,0.5806,1.2857,0.7500,18,16,14,12
Red_Rise_Time,3,Ischaemia,30,30,0.5039,0.3560,0.6585,0.1940,0.6667,0.5000,0.5714,0.6000,0.5833,0.6154,1.3333,0.6667,20,15,15,10
Red_Rise_Decay_Time_Ratio,3,Ischaemia,30,30,0.5011,0.3507,0.6534,0.2600,0.6000,0.5667,0.5806,0.5862,0.5833,0.5902,1.3846,0.7059,18,17,13,12
Red_Datum_Area_Ratio,3,Ischaemia,30,30,0.4278,0.2879,0.5702,4.4167,0.2333,0.9333,0.7778,0.5490,0.5833,0.3590,3.5000,0.8214,7,28,2,23
IR_Kurtosis,3,Ischaemia,30,30,0.4189,0.2811,0.5617,-1.3510,0.4000,0.6667,0.5455,0.5263,0.5333,0.4615,1.2000,0.9000,12,20,10,18
IR_Slope_Ratio,3,Ischaemia,30,30,0.4078,0.2625,0.5544,7.1101,0.0333,1.0000,1.0000,0.5085,0.5167,0.0645,,0.9667,1,30,0,29
IR_Variance,3,Ischaemia,30,30,0.3400,0.1986,0.4789,0.1037,0.1667,0.9333,0.7143,0.5283,0.5500,0.2703,2.5000,0.8929,5,28,2,25
