Comparison,Channel,Depth,Z,p (Unadjusted),p (Adjusted)
Normal vs Ischaemia,Red,3mm,7.031985184058312,2.036149027162537e-12,6.108447081487611e-12
Normal vs Congestion,Red,3mm,0.7214826682168042,0.47061260042125985,1.0
Ischaemia vs Congestion,Red,3mm,-6.310502515841509,2.7813085168304497e-10,8.343925550491349e-10
Normal vs Ischaemia,IR,3mm,8.420592237270109,0.0,0.0
Normal vs Congestion,IR,3mm,4.9218954626297124,8.570999623369602e-07,2.5712998870108805e-06
Ischaemia vs Congestion,IR,3mm,-3.4986967746403974,0.0004675379573233496,0.0014026138719700487
Normal vs Ischaemia,Red,9mm,3.972517951678065,7.111687478333906e-05,0.00021335062435001717
Normal vs Congestion,Red,9mm,-1.8242260340405116,0.06811790729423262,0.20435372188269785
Ischaemia vs Congestion,Red,9mm,-5.7629347074628745,8.266378026533516e-09,2.479913407960055e-08
Normal vs Ischaemia,IR,9mm,7.48534029607464,7.127631818093505e-14,2.1382895454280515e-13
Normal vs Congestion,IR,9mm,1.7135219255877807,0.0866165632114062,0.2598496896342186
Ischaemia vs Congestion,IR,9mm,-5.821362784534524,5.836971572747984e-09,1.7510914718243953e-08
Normal vs Ischaemia,Red,15mm,1.2107072172131326,0.22600763538124546,0.6780229061437364
Normal vs Congestion,Red,15mm,-1.7888816842087902,0.07363387211173311,0.22090161633519934
Ischaemia vs Congestion,Red,15mm,-2.999588901421923,0.002703442164216474,0.008110326492649422
Normal vs Ischaemia,IR,15mm,7.891834391385192,2.886579864025407e-15,8.659739592076221e-15
Normal vs Congestion,IR,15mm,2.5153060145366712,0.011892910530910683,0.03567873159273205
Ischaemia vs Congestion,IR,15mm,-5.37652837684852,7.593573592146186e-08,2.2780720776438557e-07
Normal vs Ischaemia,Red,21mm,2.910638983422591,0.0036069050972025174,0.010820715291607552
Normal vs Congestion,Red,21mm,-1.9321898854299369,0.05333607314018618,0.16000821942055854
Ischaemia vs Congestion,Red,21mm,-4.8428288688525285,1.2800352808817195e-06,3.840105842645158e-06
Normal vs Ischaemia,IR,21mm,6.251202570508619,4.073041903751573e-10,1.221912571125472e-09
Normal vs Congestion,IR,21mm,-0.12848321488792427,0.8977665807050101,1.0
Ischaemia vs Congestion,IR,21mm,-6.379685785396544,1.774516089625422e-10,5.323548268876266e-10
