Comparison,Channel,Depth,Z,p (Unadjusted),p (Adjusted)
Normal vs Ischaemia,Red,3mm,6.789843740615686,1.1225465001984958e-11,3.3676395005954873e-11
Normal vs Congestion,Red,3mm,0.23719978133155153,0.8125018059465265,1.0
Ischaemia vs Congestion,Red,3mm,-6.552643959284135,5.652722734339477e-11,1.695816820301843e-10
Normal vs Ischaemia,IR,3mm,8.252575725493594,2.220446049250313e-16,6.661338147750939e-16
Normal vs Congestion,IR,3mm,5.0899119744062284,3.582297691817615e-07,1.0746893075452846e-06
Ischaemia vs Congestion,IR,3mm,-3.162663751087365,0.0015633278597675382,0.0046899835793026146
Normal vs Ischaemia,Red,9mm,2.898189197450664,0.0037532410132401495,0.011259723039720448
Normal vs Congestion,Red,9mm,-1.9995075390906674,0.04555346697127183,0.13666040091381548
Ischaemia vs Congestion,Red,9mm,-4.873030848002579,1.0989905467884142e-06,3.2969716403652427e-06
Normal vs Ischaemia,IR,9mm,7.741599806381887,9.769962616701378e-15,2.930988785010413e-14
Normal vs Congestion,IR,9mm,2.2174989625253656,0.0265890138705982,0.0797670416117946
Ischaemia vs Congestion,IR,9mm,-5.5715188882025695,2.5252798074859584e-08,7.575839422457875e-08
Normal vs Ischaemia,Red,15mm,1.3293125789877471,0.183744865935068,0.551234597805204
Normal vs Congestion,Red,15mm,-1.0179865846523266,0.3086843315153458,0.9260529945460374
Ischaemia vs Congestion,Red,15mm,-2.347299163640074,0.018910064683500094,0.05673019405050028
Normal vs Ischaemia,IR,15mm,7.94125101249593,1.9984014443252818e-15,5.995204332975845e-15
Normal vs Congestion,IR,15mm,2.747564133757148,0.006003976541201217,0.01801192962360365
Ischaemia vs Congestion,IR,15mm,-5.193686878738782,2.0616978613219317e-07,6.185093583965795e-07
Normal vs Ischaemia,Red,21mm,2.9946472393108485,0.002747624073771604,0.008242872221314812
Normal vs Congestion,Red,21mm,-1.260123838323872,0.20762469200283706,0.6228740760085112
Ischaemia vs Congestion,Red,21mm,-4.254771077634721,2.0926300035917222e-05,6.277890010775167e-05
Normal vs Ischaemia,IR,21mm,6.705835484727428,2.0025758828978724e-11,6.007727648693617e-11
Normal vs Congestion,IR,21mm,0.8697325315490254,0.38444658974282353,1.0
Ischaemia vs Congestion,IR,21mm,-5.836102953178402,5.343588460604565e-09,1.6030765381813694e-08
