Depth,State,Channel,N_Samples,Low_Freq_Noise_Power,Pulse_Fundamental_Power,High_Freq_Noise_Power
3,Normal,Red,60000,4.822894745746067e-03,2.799646651454581e-04,1.012794304782607e-06
3,Normal,IR,60000,1.034798964094207e-03,6.356428892248229e-04,6.580073649834173e-07
3,Ischaemia,Red,60000,1.359393904762090e-03,8.897563541203231e-05,8.453594248789291e-07
3,Ischaemia,IR,60000,2.043104941781768e-03,2.652790022340078e-04,4.244995283790443e-07
3,Congestion,Red,60000,2.049767068400818e-02,2.686247508910765e-04,1.115508609602724e-06
3,Congestion,IR,60000,1.471815653608316e-03,2.733445637233323e-04,2.654111061799561e-07
9,Normal,Red,60000,6.621765186886831e-04,2.855595865824430e-05,8.121609685632675e-07
9,Normal,IR,60000,4.295871997382809e-04,1.613454754096772e-04,2.312574288345892e-07
9,Ischaemia,Red,60000,3.076090199189087e-04,1.219051244754494e-05,7.564487011916589e-07
9,Ischaemia,IR,60000,1.032799460071493e-04,5.733846440781873e-05,1.706166191977949e-07
9,Congestion,Red,60000,5.190762110309993e-04,3.261060740194138e-05,7.782356061428243e-07
9,Congestion,IR,60000,6.953842831413129e-04,1.421242139980772e-04,1.880762742254349e-07
15,Normal,Red,60000,6.920942825549953e-04,1.371985041562195e-05,6.866104905086532e-07
15,Normal,IR,60000,3.261120027187340e-04,3.442116926496212e-05,9.801889950591188e-08
15,Ischaemia,Red,60000,3.803606379762852e-04,7.243452569885431e-06,7.562525178054045e-07
15,Ischaemia,IR,60000,2.178836630653061e-04,9.872070419803609e-06,8.758774606675583e-08
15,Congestion,Red,60000,1.041714811049715e-03,1.208415371394839e-05,1.022460501795756e-06
15,Congestion,IR,60000,8.427923780729284e-04,2.295036035231395e-05,7.862756010034831e-08
21,Normal,Red,60000,1.221018622146262e-04,6.370944729117478e-06,4.427561489553112e-07
21,Normal,IR,60000,6.925603945189163e-04,1.050340697062909e-05,8.896590291627849e-08
21,Ischaemia,Red,60000,5.841660641503457e-04,4.953290021422623e-06,4.183138694682796e-07
21,Ischaemia,IR,60000,2.669880054711263e-03,5.216881516427818e-06,1.057750162968783e-07
21,Congestion,Red,60000,3.152732170776562e-04,7.214036402545420e-06,5.379337856089888e-07
21,Congestion,IR,60000,3.953128809951970e-04,1.003672207323241e-05,7.098519921945545e-08
