State,Pulse_Index,Combined_PI_Ratio,Combined_Amp_Ratio,Combined_Delta_A_Ratio,Red_PI,Red_Amplitude,Red_AUC,Red_S_AUC,Red_D_AUC,Red_AUC_Ratio,Red_Crest_Time,Red_Decay_Time,Red_Pulse_Width,Red_PW50,Red_Rise_Decay_Ratio,Red_Upslope,Red_Downslope,Red_b_a,Red_c_a,Red_d_a,Red_e_a,Red_Skewness,Red_Kurtosis,Red_Variance,IR_PI,IR_Amplitude,IR_AUC,IR_S_AUC,IR_D_AUC,IR_AUC_Ratio,IR_Crest_Time,IR_Decay_Time,IR_Pulse_Width,IR_PW50,IR_Rise_Decay_Ratio,IR_Upslope,IR_Downslope,IR_b_a,IR_c_a,IR_d_a,IR_e_a,IR_Skewness,IR_Kurtosis,IR_Variance
Normal,0,0.4316787560164538,0.6216706659868813,0.431384169586317,0.10355386248411516,0.002717235484917542,2.8019538848255086,0.41669595763870504,2.385257927186804,0.17469639357312214,0.158,0.798,0.956,0.625,0.19799498744386027,11.506154597230761,-4.363304438436046,-0.9904008156402458,0.19313947176065266,-0.1870375144733692,0.2948463063764848,-0.32298652460311716,-1.2146857438319338,0.09345397637934318,0.2398863894095443,0.004370859960775141,4.4718840216645095,0.6818123369509499,3.790071684713559,0.17989431167829997,0.1555,0.805,0.9605,0.545,0.19316770183935802,11.433276964016159,-1.708039777805709,-0.9992263303578189,0.2344282168057056,-0.21514018177238559,0.19580681507802342,-0.1969287191064184,-1.2863309039347446,0.0959576806850005
Normal,1,0.4158860203167206,0.5989773517752399,0.4155881063122971,0.10189236472402556,0.0026739223208289958,2.8417769442801255,0.4308787127558581,2.4108982315242673,0.17872123638564663,0.1645,0.799,0.9635,0.5985,0.20588235291540896,10.445109694262896,-4.489735767877846,-0.9296392714518075,0.3479358276798899,-0.35684498089650335,0.6642234621958222,-0.3443032271030507,-1.321165236129388,0.10168914149800054,0.24500068669261657,0.004464145852938063,4.458160094851776,0.7272547525401762,3.7309053423115994,0.19492715193628848,0.162,0.7955,0.9575,0.5185,0.2036455059454877,10.99376869482586,-1.7969094279145281,-0.9846270191677292,0.19248947870372407,-0.17579990516650384,0.16049248617447656,-0.12577674089800395,-1.3177721366919728,0.10093554055333799
Normal,2,0.45987928546433665,0.6624033367427719,0.4595741470082691,0.11285583157128942,0.0029619593317706926,2.9887096156820516,0.9209593000732181,2.0677503156088335,0.44539192816300427,0.259,0.714,0.973,0.5555,0.3627450979884111,9.227548906205982,-3.5492832103566343,-0.9959935877513056,0.3105687282924252,-0.7488950351945576,0.7037425482328742,-0.1314937198657139,-1.3644424480231292,0.10374880301447283,0.24540315369206778,0.00447153433751582,4.529949825169167,0.7425466872506007,3.7874031379185666,0.1960569446111497,0.1705,0.7975,0.968,0.5165,0.21379310342146796,10.458465547986805,-1.9362916604799238,-1.0541857501147018,0.21678185378912074,-0.19703016111540042,0.17385060473469344,-0.13073122343964935,-1.3563400866402673,0.1013599867674052
Normal,3,0.43532062039864694,0.6269981387570115,0.4350190530925852,0.10668845760408122,0.0028001161630333057,2.8941702638683635,0.5232055576779733,2.3709647061903896,0.22067201434498807,0.1725,0.818,0.9905,0.523,0.21088019557324203,11.346542780510333,-2.9017883211891444,-0.851524411732752,0.28517453116489566,-0.35947269287429806,0.37795489990381487,-0.10143617749460394,-1.523343034507723,0.10511564406239993,0.245080173669202,0.004465908153865599,4.512342054989046,0.7512875479731445,3.761054507015901,0.19975449612647497,0.1665,0.803,0.9695,0.5245,0.20734744704765287,10.718937076997122,-1.9391370729579762,-0.973486167701976,0.19898482461049358,-0.16595164628030762,0.16108361778000732,-0.12312595056099361,-1.3727623009567163,0.10176275766564845
Normal,4,0.4136076892750772,0.5957524715034106,0.4133144388278561,0.09990946586912783,0.0026224695953984095,2.549559712595969,0.8243545738302301,1.7252051387657386,0.4778298854200111,0.2445,0.676,0.9205,0.5525,0.36168639047904044,11.244351383874232,-4.826091526112009,-0.9470066214852438,0.6123447886897593,-0.40625922757692107,0.2852906274710429,-0.3459558223473272,-1.4320476361980048,0.11760628098768287,0.24155610333667696,0.0044019448701660135,4.415392899936653,0.7059444809094051,3.7094484190272476,0.19030982538247518,0.161,0.801,0.962,0.514,0.20099875153545582,11.053927282651046,-1.715339043515371,-1.0789128861562467,0.19517428111307583,-0.21772912314526624,0.18455893527408992,-0.11042496392497088,-1.3792559931699089,0.10371537008193946
Normal,5,0.43290147823942104,0.6235118603240524,0.4326053999752368,0.1043020064972528,0.0027376541212562463,2.7412427889219733,0.48420396589133446,2.2570388230306384,0.21453063231748784,0.1975,0.7915,0.989,0.5125,0.24952621601395752,10.155048401572913,-3.9857601150367827,-0.858745676997325,0.19532653052079077,-0.47011503567464785,0.28003940148445283,-0.02937634552073588,-1.6085599462697793,0.11466921381150105,0.24093704320594372,0.004390700856086753,4.455430775866291,0.7332834927410861,3.7221472831252047,0.19700550164842026,0.1645,0.8005,0.965,0.5215,0.20549656462142454,10.85961832080784,-1.9216684741996346,-0.9597355235831424,0.15937493672923597,-0.13466152367752868,0.17723266549797465,-0.11246790661444424,-1.362357497207331,0.1029300655571922
Normal,6,0.45576756953303416,0.656409417970538,0.4554680590242102,0.10994022482206539,0.0028856218266554196,2.897679368694025,0.4465169379365738,2.4511624307574515,0.18216538092923357,0.1495,0.8225,0.972,0.53,0.18176291791103186,11.239434359885138,-4.470688491795016,-0.844155446468185,0.3054610745522112,-0.3291883003817947,0.34963678202428244,-0.17558159767902476,-1.2932508785616066,0.09103993690641286,0.24121992790138005,0.004396070016691922,4.394309758269193,0.7080184352489924,3.6862913230202,0.1920679548055095,0.1605,0.802,0.9625,0.5095,0.20012468825434854,11.141617138468064,-1.8939967224595193,-1.0428107089017085,0.21783941258268555,-0.2126602471904649,0.18646825587474403,-0.10747537428496302,-1.3744235270345746,0.10261074477560075
Normal,7,0.47541791901450087,0.6846630529468835,0.4751189379862996,0.11385435703620793,0.0029882579993616627,2.9173406858648776,0.4342707367602975,2.4830699491045802,0.17489267142853168,0.152,0.8015,0.9535,0.534,0.18964441669499132,11.25015840919093,-2.771503857632581,-1.189507106738927,0.3834613794447189,-0.35904832694871364,0.3011971361026569,-0.0880511021864531,-1.324906031102964,0.0970541069880562,0.23948266930310388,0.004364567239364658,4.4024595099865245,0.6749714261873291,3.727488083799196,0.18107943231337303,0.16,0.8005,0.9605,0.5305,0.1998750780512336,10.90208510468085,-1.765099550505056,-0.9817296472285436,0.28203840505588357,-0.3199840678168743,0.1282802520659568,-0.15211069239737152,-1.3743432178809996,0.10320443433555636
Normal,8,0.46549646515517595,0.6704800060916071,0.4651940128903192,0.11303827708429397,0.0029673794847256503,3.0571812569705514,0.40608910987033386,2.6510921471002176,0.15317804411257416,0.1405,0.8145,0.955,0.575,0.17249846529496643,12.244400826967592,-4.013600691633428,-1.0067940672197473,0.31656187294192695,-0.2823575887780774,0.24213523499112077,-0.23751182866389034,-1.3037240294586567,0.09410254091932822,0.24283379335598432,0.004425753774486483,4.53434462663726,0.7260901576675249,3.8082544689697357,0.19066219538761314,0.165,0.8015,0.9665,0.515,0.20586400496495771,10.859427149416263,-1.9779044702651163,-1.0613795122370335,0.17931598732734513,-0.19276425718729373,0.17300486239409366,-0.14656373523084743,-1.3531587090291062,0.10236398748546854
Normal,9,0.4310428353668318,0.6208835252308382,0.43073987285618426,0.10637609833989282,0.002792718764157001,3.079164697690093,1.087887769829955,1.9912769278601377,0.5463267085328941,0.2735,0.6405,0.914,0.608,0.42701014825495553,10.284637246785906,-2.9952060934779183,-0.6552594415420596,0.2033960065513629,-0.33102914852262716,0.3223516061768955,-0.49113726738512437,-1.0469878005170423,0.10212691811369783,0.2467877558784855,0.004497975205623864,4.508132419810166,0.7386825723305607,3.7694498474796054,0.19596561890984562,0.1645,0.802,0.9665,0.519,0.20511221942579647,10.84156659196401,-1.6848807321419486,-0.9925457096200431,0.19609490062370447,-0.17608650027249292,0.17005074010188126,-0.12279224158631423,-1.3612679349572343,0.10064977157183994
