Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse,Depth,Source,Category,Clean_Feature,Display_Name
AC_Component,Ischaemia,30,30,1.0,1.0,1.0,0.002025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,30,30,0,0,True,3,Red,Intensity,AC_Component,AC_Component
AUC,Ischaemia,30,30,1.0,1.0,1.0,1.97018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,30,30,0,0,True,3,Red,Area,AUC,AUC
Amplitude,Ischaemia,30,30,1.0,1.0,1.0,0.002025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,30,30,0,0,True,3,Red,Intensity,Amplitude,Amplitude
D_AUC,Ischaemia,30,30,1.0,1.0,1.0,1.606001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,30,30,0,0,True,3,Red,Area,D_AUC,D_AUC
Max_Start_Datum_Diff,Ischaemia,30,30,1.0,1.0,1.0,0.001964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,30,30,0,0,True,3,Red,Area,Max_Start_Datum_Diff,Max_Start_Datum_Diff
PI,Ischaemia,30,30,1.0,1.0,1.0,0.076789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,30,30,0,0,True,3,Red,Intensity,PI,PI
Start_Datum_Area,Ischaemia,30,30,0.995556,0.980725,1.0,0.610485,1.0,0.966667,0.967742,1.0,0.983333,0.983607,0.966667,30.0,0.0,30,29,1,0,True,3,Red,Area,Start_Datum_Area,Start_Datum_Area
End_Datum_Area,Ischaemia,30,30,0.933333,0.856501,0.989955,0.195123,0.9,0.9,0.9,0.9,0.9,0.9,0.8,9.0,0.111111,27,27,3,3,True,3,Red,Area,End_Datum_Area,End_Datum_Area
Downslope,Ischaemia,30,30,0.891111,0.795526,0.968753,-3.42832,0.833333,0.9,0.892857,0.84375,0.866667,0.862069,0.733333,8.333333,0.185185,25,27,3,5,True,3,Red,Slope,Downslope,Downslope
S_AUC,Ischaemia,30,30,0.877778,0.767994,0.96991,0.53131,0.8,1.0,1.0,0.833333,0.9,0.888889,0.8,,0.2,24,30,0,6,True,3,Red,Area,S_AUC,S_AUC
Length_Height_Ratio,Ischaemia,30,30,0.848889,0.741815,0.94216,2.43865,0.633333,1.0,1.0,0.731707,0.816667,0.77551,0.633333,,0.366667,19,30,0,11,False,3,Red,Other,Length_Height_Ratio,Length_Height_Ratio
Slope_Ratio,Ischaemia,30,30,0.828889,0.712026,0.930811,2.432239,0.7,0.9,0.875,0.75,0.8,0.777778,0.6,7.0,0.333333,21,27,3,9,True,3,Red,Slope,Slope_Ratio,Slope_Ratio
SDPPG_d_a,Ischaemia,30,30,0.768889,0.638487,0.876561,-0.350241,0.833333,0.666667,0.714286,0.8,0.75,0.769231,0.5,2.5,0.25,25,20,10,5,True,3,Red,SDPPG,SDPPG_d_a,SDPPG_d_a
Downslope_Length,Ischaemia,30,30,0.753333,0.617353,0.882098,1.348995,0.666667,0.833333,0.8,0.714286,0.75,0.727273,0.5,4.0,0.4,20,25,5,10,False,3,Red,Slope,Downslope_Length,Downslope_Length
SDPPG_c_a,Ischaemia,30,30,0.753333,0.619166,0.867478,0.343552,0.6,0.833333,0.782609,0.675676,0.716667,0.679245,0.433333,3.6,0.48,18,25,5,12,False,3,Red,SDPPG,SDPPG_c_a,SDPPG_c_a
SDPPG_e_a,Ischaemia,30,30,0.724444,0.584783,0.844024,0.43286,0.7,0.733333,0.724138,0.709677,0.716667,0.711864,0.433333,2.625,0.409091,21,22,8,9,False,3,Red,SDPPG,SDPPG_e_a,SDPPG_e_a
Delta_T,Ischaemia,30,30,0.67,0.524089,0.796905,0.136,0.633333,0.766667,0.730769,0.676471,0.7,0.678571,0.4,2.714286,0.478261,19,23,7,11,True,3,Red,Other,Delta_T,Delta_T
Downslope_Length_Ratio,Ischaemia,30,30,0.658889,0.507152,0.803364,0.588561,0.4,1.0,1.0,0.625,0.7,0.571429,0.4,,0.6,12,30,0,18,False,3,Red,Slope,Downslope_Length_Ratio,Downslope_Length_Ratio
Slope_Length_Ratio,Ischaemia,30,30,0.658889,0.507152,0.803364,0.69906,0.4,1.0,1.0,0.625,0.7,0.571429,0.4,,0.6,12,30,0,18,True,3,Red,Slope,Slope_Length_Ratio,Slope_Length_Ratio
Upslope_Length_Ratio,Ischaemia,30,30,0.658889,0.507152,0.803364,0.411439,0.4,1.0,1.0,0.625,0.7,0.571429,0.4,,0.6,12,30,0,18,True,3,Red,Slope,Upslope_Length_Ratio,Upslope_Length_Ratio
Pulse_Width,Ischaemia,30,30,0.636667,0.494331,0.780389,0.984,0.433333,0.966667,0.928571,0.630435,0.7,0.590909,0.4,13.0,0.586207,13,29,1,17,False,3,Red,Time,Pulse_Width,Pulse_Width
DNP,Ischaemia,30,30,0.608889,0.455556,0.750926,0.755142,0.466667,0.9,0.823529,0.627907,0.683333,0.595745,0.366667,4.666667,0.592593,14,27,3,16,True,3,Red,SDPPG,DNP,DNP
Skewness,Ischaemia,30,30,0.59,0.436148,0.729689,-0.044653,0.233333,1.0,1.0,0.566038,0.616667,0.378378,0.233333,,0.766667,7,30,0,23,False,3,Red,Shape & Stats,Skewness,Skewness
Fall_Time,Ischaemia,30,30,0.58,0.421976,0.724361,0.782,0.4,0.966667,0.923077,0.617021,0.683333,0.55814,0.366667,12.0,0.62069,12,29,1,18,False,3,Red,Time,Fall_Time,Fall_Time
Diastolic_Width,Ischaemia,30,30,0.579444,0.421117,0.726007,0.5475,0.4,0.933333,0.857143,0.608696,0.666667,0.545455,0.333333,6.0,0.642857,12,28,2,18,False,3,Red,Time,Diastolic_Width,Diastolic_Width
IPAR,Ischaemia,30,30,0.574444,0.421944,0.714121,0.631224,0.2,1.0,1.0,0.555556,0.6,0.333333,0.2,,0.8,6,30,0,24,False,3,Red,Shape & Stats,IPAR,IPAR
SDPPG_b_a,Ischaemia,30,30,0.571111,0.428418,0.720539,-0.829645,0.533333,0.666667,0.615385,0.588235,0.6,0.571429,0.2,1.6,0.7,16,20,10,14,False,3,Red,SDPPG,SDPPG_b_a,SDPPG_b_a
Variance,Ischaemia,30,30,0.571111,0.408455,0.725255,0.089429,0.4,0.866667,0.75,0.590909,0.633333,0.521739,0.266667,3.0,0.692308,12,26,4,18,True,3,Red,Shape & Stats,Variance,Variance
PW50,Ischaemia,30,30,0.557778,0.399983,0.699138,0.612,0.266667,0.933333,0.8,0.56,0.6,0.4,0.2,4.0,0.785714,8,28,2,22,False,3,Red,Time,PW50,PW50
Rise_Decay_Time_Ratio,Ischaemia,30,30,0.545556,0.389507,0.685797,0.232054,0.266667,0.933333,0.8,0.56,0.6,0.4,0.2,4.0,0.785714,8,28,2,22,True,3,Red,Time,Rise_Decay_Time_Ratio,Rise_Decay_Time_Ratio
Width_Ratio,Ischaemia,30,30,0.544444,0.387197,0.685199,0.759079,0.266667,0.933333,0.8,0.56,0.6,0.4,0.2,4.0,0.785714,8,28,2,22,True,3,Red,Time,Width_Ratio,Width_Ratio
Kurtosis,Ischaemia,30,30,0.54,0.383328,0.689786,-1.205605,0.333333,0.866667,0.714286,0.565217,0.6,0.454545,0.2,2.5,0.769231,10,26,4,20,False,3,Red,Shape & Stats,Kurtosis,Kurtosis
Upslope,Ischaemia,30,30,0.538889,0.379429,0.683355,9.38712,0.266667,1.0,1.0,0.576923,0.633333,0.421053,0.266667,,0.733333,8,30,0,22,False,3,Red,Slope,Upslope,Upslope
RWI,Ischaemia,30,30,0.536667,0.388126,0.675367,0.965854,0.2,0.966667,0.857143,0.54717,0.583333,0.324324,0.166667,6.0,0.827586,6,29,1,24,False,3,Red,Shape & Stats,RWI,RWI
Onset_End_Slope,Ischaemia,30,30,0.532222,0.389117,0.673064,-0.012317,0.633333,0.533333,0.575758,0.592593,0.583333,0.603175,0.166667,1.357143,0.6875,19,16,14,11,False,3,Red,Slope,Onset_End_Slope,Onset_End_Slope
AUC_Ratio,Ischaemia,30,30,0.532222,0.383763,0.671884,0.219432,0.3,0.866667,0.692308,0.553191,0.583333,0.418605,0.166667,2.25,0.807692,9,26,4,21,True,3,Red,Area,AUC_Ratio,AUC_Ratio
Upslope_Length,Ischaemia,30,30,0.527778,0.382714,0.680003,1.041653,0.366667,0.8,0.647059,0.55814,0.583333,0.468085,0.166667,1.833333,0.791667,11,24,6,19,False,3,Red,Slope,Upslope_Length,Upslope_Length
Datum_Area_Ratio,Ischaemia,30,30,0.522222,0.380471,0.669643,3.885116,0.433333,0.766667,0.65,0.575,0.6,0.52,0.2,1.857143,0.73913,13,23,7,17,False,3,Red,Area,Datum_Area_Ratio,Datum_Area_Ratio
Rise_Time,Ischaemia,30,30,0.521667,0.367379,0.665685,0.1945,0.4,0.766667,0.631579,0.560976,0.583333,0.489796,0.166667,1.714286,0.782609,12,23,7,18,True,3,Red,Time,Rise_Time,Rise_Time
Systolic_Width,Ischaemia,30,30,0.503889,0.357454,0.665778,0.49,0.266667,0.9,0.727273,0.55102,0.583333,0.390244,0.166667,2.666667,0.814815,8,27,3,22,False,3,Red,Time,Systolic_Width,Systolic_Width
AC_Component,Congestion,30,30,0.763333,0.632455,0.876228,0.00292,0.6,0.866667,0.818182,0.684211,0.733333,0.692308,0.466667,4.5,0.461538,18,26,4,12,True,3,Red,Intensity,AC_Component,AC_Component
