Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse,Depth,Source,Category,Clean_Feature,Display_Name
AC_Component,Congestion,30,31,0.967742,0.89284,1.0,0.000942,1.0,0.966667,0.96875,1.0,0.983607,0.984127,0.966667,30.0,0.0,31,29,1,0,True,15,IR,Intensity,AC_Component,AC_Component
Amplitude,Congestion,30,31,0.967742,0.89284,1.0,0.000942,1.0,0.966667,0.96875,1.0,0.983607,0.984127,0.966667,30.0,0.0,31,29,1,0,True,15,IR,Intensity,Amplitude,Amplitude
D_AUC,Congestion,30,31,0.967742,0.89284,1.0,0.767998,1.0,0.966667,0.96875,1.0,0.983607,0.984127,0.966667,30.0,0.0,31,29,1,0,True,15,IR,Area,D_AUC,D_AUC
Max_Start_Datum_Diff,Congestion,30,31,0.967742,0.89284,1.0,0.0009,1.0,0.966667,0.96875,1.0,0.983607,0.984127,0.966667,30.0,0.0,31,29,1,0,True,15,IR,Area,Max_Start_Datum_Diff,Max_Start_Datum_Diff
PI,Congestion,30,31,0.967742,0.89284,1.0,0.040466,1.0,0.966667,0.96875,1.0,0.983607,0.984127,0.966667,30.0,0.0,31,29,1,0,True,15,IR,Intensity,PI,PI
Start_Datum_Area,Congestion,30,31,0.967742,0.89284,1.0,0.273547,1.0,0.966667,0.96875,1.0,0.983607,0.984127,0.966667,30.0,0.0,31,29,1,0,True,15,IR,Area,Start_Datum_Area,Start_Datum_Area
AUC,Congestion,30,31,0.966667,0.891196,1.0,0.935952,0.967742,0.966667,0.967742,0.966667,0.967213,0.967742,0.934409,29.032258,0.03337,30,29,1,1,True,15,IR,Area,AUC,AUC
S_AUC,Congestion,30,31,0.92043,0.827918,0.991209,0.189045,0.903226,0.933333,0.933333,0.903226,0.918033,0.918033,0.836559,13.548387,0.103687,28,28,2,3,True,15,IR,Area,S_AUC,S_AUC
End_Datum_Area,Congestion,30,31,0.903226,0.817761,0.975837,0.07808,0.967742,0.8,0.833333,0.96,0.885246,0.895522,0.767742,4.83871,0.040323,30,24,6,1,True,15,IR,Area,End_Datum_Area,End_Datum_Area
SDPPG_e_a,Congestion,30,31,0.76129,0.636207,0.872528,0.637636,0.774194,0.8,0.8,0.774194,0.786885,0.786885,0.574194,3.870968,0.282258,24,24,6,7,False,15,IR,SDPPG,SDPPG_e_a,SDPPG_e_a
