Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse,Depth,Source,Category,Clean_Feature,Display_Name
Max_Start_Datum_Diff,Ischaemia,32,31,0.997984,0.990872,1.0,0.001547,1.0,0.96875,0.96875,1.0,0.984127,0.984127,0.96875,32.0,0.0,31,31,1,0,True,9,IR,Area,Max_Start_Datum_Diff,Max_Start_Datum_Diff
PI,Ischaemia,32,31,0.990927,0.966526,1.0,0.062946,1.0,0.96875,0.96875,1.0,0.984127,0.984127,0.96875,32.0,0.0,31,31,1,0,True,9,IR,Intensity,PI,PI
AC_Component,Ischaemia,32,31,0.988911,0.960606,1.0,0.001547,1.0,0.96875,0.96875,1.0,0.984127,0.984127,0.96875,32.0,0.0,31,31,1,0,True,9,IR,Intensity,AC_Component,AC_Component
Amplitude,Ischaemia,32,31,0.988911,0.960606,1.0,0.001547,1.0,0.96875,0.96875,1.0,0.984127,0.984127,0.96875,32.0,0.0,31,31,1,0,True,9,IR,Intensity,Amplitude,Amplitude
AUC,Ischaemia,32,31,0.96875,0.9,1.0,1.501652,1.0,0.96875,0.96875,1.0,0.984127,0.984127,0.96875,32.0,0.0,31,31,1,0,True,9,IR,Area,AUC,AUC
D_AUC,Ischaemia,32,31,0.96875,0.9,1.0,1.225976,1.0,0.96875,0.96875,1.0,0.984127,0.984127,0.96875,32.0,0.0,31,31,1,0,True,9,IR,Area,D_AUC,D_AUC
End_Datum_Area,Ischaemia,32,31,0.96875,0.9,1.0,0.121987,1.0,0.96875,0.96875,1.0,0.984127,0.984127,0.96875,32.0,0.0,31,31,1,0,True,9,IR,Area,End_Datum_Area,End_Datum_Area
S_AUC,Ischaemia,32,31,0.96875,0.9,1.0,0.30016,1.0,0.96875,0.96875,1.0,0.984127,0.984127,0.96875,32.0,0.0,31,31,1,0,True,9,IR,Area,S_AUC,S_AUC
Start_Datum_Area,Ischaemia,32,31,0.96875,0.9,1.0,0.427705,1.0,0.96875,0.96875,1.0,0.984127,0.984127,0.96875,32.0,0.0,31,31,1,0,True,9,IR,Area,Start_Datum_Area,Start_Datum_Area
Fall_Time,Ischaemia,32,31,0.948085,0.889387,0.99091,0.75,0.83871,0.9375,0.928571,0.857143,0.888889,0.881356,0.77621,13.419355,0.172043,26,30,2,5,False,9,IR,Time,Fall_Time,Fall_Time
