Feature,AUC,CI_Lower,CI_Upper
Amplitude,0.939453125,0.8541871921182266,1.0
D_AUC,0.9384765625,0.8481781376518218,1.0
Start_Datum_Area,0.9384765625,0.852394916911046,1.0
Max_Start_Datum_Diff,0.935546875,0.8372549019607843,1.0
PI,0.9345703125,0.8432539682539683,0.9990224828934506
AUC,0.927734375,0.8347996089931574,0.99609375
Decay_Time,0.81396484375,0.693103448275862,0.9119119119119119
Diastolic_Width,0.8115234375,0.6970443349753694,0.9247083775185578
Pulse_Width,0.7958984375,0.6838235294117647,0.9039408866995073
End_Datum_Area,0.75390625,0.6344827586206896,0.8603238866396761
S_AUC,0.736328125,0.592375366568915,0.8478478478478478
DNP,0.712890625,0.5595595595595596,0.8287179487179488
Width_Ratio,0.65771484375,0.5297435897435897,0.7896825396825398
Rise_Decay_Ratio,0.65576171875,0.5202429149797569,0.7947947947947949
Upslope,0.642578125,0.5093596059113301,0.7763157894736843
d_a,0.6396484375,0.517578125,0.7617647058823529
Slope_Ratio,0.6201171875,0.5123152709359606,0.7667020148462355
AUC_Ratio,0.6162109375,0.5050607287449393,0.7517241379310344
Skewness,0.603515625,0.50625,0.7341153470185728
Datum_Area_Ratio,0.5947265625,0.5058823529411764,0.7247247247247247
Downslope,0.587890625,0.50625,0.7187187187187187
Crest_Time,0.58447265625,0.5039408866995074,0.7202380952380953
e_a,0.580078125,0.5043988269794721,0.7156862745098039
c_a,0.5751953125,0.5034213098729228,0.7018572825024437
Variance,0.5732421875,0.5034482758620689,0.7127450980392157
RWI,0.5615234375,0.503968253968254,0.7096774193548387
b_a,0.546875,0.5025641025641026,0.6950980392156862
Delta_T,0.51220703125,0.5019550342130987,0.59765625
Kurtosis,0.509765625,0.5024630541871922,0.6765873015873016
Systolic_Width,0.5048828125,0.5019607843137255,0.6784615384615384
PW50,0.50048828125,0.5024630541871922,0.6612745098039216
