Depth,State,Channel,SNR_dB,Fundamental_Hz,HR_bpm
3,Normal,Red,13.7200000000,1.0330000000,62.0000000000
3,Normal,IR,14.8100000000,1.0330000000,62.0000000000
3,Ischaemia,Red,9.0100000000,1.0330000000,62.0000000000
3,Ischaemia,IR,14.9800000000,1.0330000000,62.0000000000
3,Congestion,Red,10.8000000000,1.0330000000,62.0000000000
3,Congestion,IR,13.2900000000,1.0330000000,62.0000000000
9,Normal,Red,3.8100000000,1.0670000000,64.0000000000
9,Normal,IR,14.6400000000,1.0670000000,64.0000000000
9,Ischaemia,Red,1.4200000000,1.0670000000,64.0000000000
9,Ischaemia,IR,13.9100000000,1.0670000000,64.0000000000
9,Congestion,Red,5.1200000000,1.0670000000,64.0000000000
9,Congestion,IR,13.3400000000,1.0670000000,64.0000000000
15,Normal,Red,0.5100000000,1.0330000000,62.0000000000
15,Normal,IR,14.6200000000,1.0330000000,62.0000000000
15,Ischaemia,Red,-3.5800000000,1.0330000000,62.0000000000
15,Ischaemia,IR,13.0400000000,1.0000000000,60.0000000000
15,Congestion,Red,-4.0900000000,1.0330000000,62.0000000000
15,Congestion,IR,15.1300000000,1.0330000000,62.0000000000
21,Normal,Red,0.7600000000,1.0670000000,64.0000000000
21,Normal,IR,11.2500000000,1.0670000000,64.0000000000
21,Ischaemia,Red,-6.2300000000,1.0670000000,64.0000000000
21,Ischaemia,IR,4.6100000000,1.0670000000,64.0000000000
21,Congestion,Red,-1.7200000000,1.0670000000,64.0000000000
21,Congestion,IR,10.0800000000,1.0670000000,64.0000000000
