Depth,State,Channel,Num_Pulses,Mean_AC,Std_AC,Mean_DC,Std_DC,Mean_PI,Std_PI,Mean_HR_bpm
3,Normal,Red,14,0.0053674992,0.0002292547,2.6245899520,0.0013394021,0.0020450577,0.0000867651,62.2000000000
3,Normal,IR,7,0.0068826119,0.0000575389,1.8219199297,0.0010866572,0.0037776705,0.0000315848,62.2000000000
3,Ischaemia,Red,17,0.0040914314,0.0002813326,2.6369298803,0.0009299613,0.0015515816,0.0001065883,64.9000000000
3,Ischaemia,IR,7,0.0050738709,0.0002228471,1.8295072459,0.0012389798,0.0027732908,0.0001203992,61.8000000000
3,Congestion,Red,16,0.0051487471,0.0002646187,2.5903148879,0.0020732947,0.0019877332,0.0001029371,62.7000000000
3,Congestion,IR,14,0.0051913216,0.0001023912,1.7672818573,0.0007097756,0.0029374487,0.0000572997,62.3000000000
9,Normal,Red,9,0.0031059198,0.0003504815,2.5058772651,0.0005167568,0.0012394416,0.0001397548,67.9000000000
9,Normal,IR,10,0.0042752070,0.0001273677,2.4521722619,0.0005107963,0.0017434322,0.0000517915,63.6000000000
9,Ischaemia,Red,14,0.0026543867,0.0002313511,2.5080318335,0.0003738182,0.0010583574,0.0000922753,76.7000000000
9,Ischaemia,IR,8,0.0034736056,0.0001283589,2.4568996541,0.0004704998,0.0014138163,0.0000522354,63.7000000000
9,Congestion,Red,11,0.0029896552,0.0003421818,2.5029889256,0.0004975777,0.0011944337,0.0001367020,69.1000000000
9,Congestion,IR,4,0.0041107760,0.0001162703,2.4477737322,0.0002136021,0.0016793949,0.0000475445,64.2000000000
15,Normal,Red,15,0.0025651242,0.0002148118,2.5132583914,0.0004951168,0.0010206392,0.0000855060,74.7000000000
15,Normal,IR,8,0.0030214201,0.0001144391,2.3374405118,0.0002431968,0.0012926167,0.0000488986,61.2000000000
15,Ischaemia,Red,17,0.0024858104,0.0002756214,2.5166824260,0.0004115041,0.0009877257,0.0001094498,83.9000000000
15,Ischaemia,IR,1,0.0024664654,0.0000000000,2.3414279641,0.0000000000,0.0010534022,0.0000000000,60.9000000000
15,Congestion,Red,18,0.0025395460,0.0002583784,2.5024972936,0.0005514428,0.0010148049,0.0001032502,84.7000000000
15,Congestion,IR,10,0.0027953274,0.0000735358,2.3282899253,0.0005376165,0.0012005906,0.0000315047,61.5000000000
21,Normal,Red,12,0.0021924134,0.0001550270,1.9059050216,0.0002628611,0.0011503238,0.0000812937,71.6000000000
21,Normal,IR,10,0.0025322379,0.0001090712,2.4257481951,0.0003188436,0.0010439012,0.0000449957,79.2000000000
21,Ischaemia,Red,20,0.0021211599,0.0001793730,1.9069354559,0.0003654662,0.0011123344,0.0000940042,84.6000000000
21,Ischaemia,IR,16,0.0022609267,0.0001363390,2.4305701351,0.0008010741,0.0009302096,0.0000561763,72.6000000000
21,Congestion,Red,19,0.0023626139,0.0002011069,1.9037818423,0.0004721137,0.0012410077,0.0001055847,81.2000000000
21,Congestion,IR,5,0.0024993517,0.0000657724,2.4210125815,0.0004287837,0.0010323571,0.0000271314,64.2000000000
