Depth,Channel,State,Signal Amp (RAW Pk-Pk),Max S/N Ratio (dB),Optimal Noise BPF,,,
3,Red,Normal,0.007399397,14.89,20 - 50 Hz,,15.34,12.68416667
3,Red,Ischaemia,0.005590656,13.34,18 - 50 Hz,,,
3,Red,Congestion,0.009537001,17.79,18 - 50 Hz,,,
3,IR,Normal,0.007892688,19.02,20 - 50 Hz,,18.1,17.24333333
3,IR,Ischaemia,0.006248378,17.39,20 - 50 Hz,,,
3,IR,Congestion,0.006248378,17.89,20 - 50 Hz,,,
9,Red,Normal,0.004275207,11.54,20 - 50 Hz,,11.74333333,
9,Red,Ischaemia,0.003617483,11.39,18 - 50 Hz,,,
9,Red,Congestion,0.004275207,12.3,20 - 50 Hz,,,
9,IR,Normal,0.0047685,19.26,20 - 50 Hz,,18.67666667,
9,IR,Ischaemia,0.003781914,17.13,18 - 50 Hz,,,
9,IR,Congestion,0.0047685,19.64,20 - 50 Hz,,,
15,Red,Normal,0.003781914,12.15,20 - 50 Hz,,11.67,
15,Red,Ischaemia,0.003781914,11.56,20 - 50 Hz,,,
15,Red,Congestion,0.003781914,11.3,20 - 50 Hz,,,
15,IR,Normal,0.003781914,18.13,20 - 50 Hz,,16.02666667,
15,IR,Ischaemia,0.002959758,15.96,20 - 50 Hz,,,
15,IR,Congestion,0.003617483,17.99,20 - 50 Hz,,,
21,Red,Normal,0.003453051,11.82,20 - 50 Hz,,11.98333333,
21,Red,Ischaemia,0.00328862,12.33,20 - 50 Hz,,,
21,Red,Congestion,0.003617482,11.8,20 - 50 Hz,,,
21,IR,Normal,0.00312419,16.48,20 - 50 Hz,,16.17,
21,IR,Ischaemia,0.003453052,15.8,20 - 50 Hz,,,
21,IR,Congestion,0.00312419,16.23,20 - 50 Hz,,,
