Depth (mm),Channel,State,Signal Amp (RAW Pk-Pk),Signal RMS (0.5-10Hz),Noise RMS (Residual),SNR (dB)
3,Red,Normal,0.1248032038,0.0215696428,0.0092581406,7.35
3,Red,Ischaemia,0.0966854859,0.0121184714,0.0092161856,2.38
3,Red,Congestion,0.1155950623,0.0198582762,0.0095284410,6.38
3,IR,Normal,0.1448637867,0.0326994857,0.0096540665,10.60
3,IR,Ischaemia,0.1085245169,0.0203651206,0.0095256783,6.60
3,IR,Congestion,0.1108265522,0.0212104380,0.0096877898,6.81
9,Red,Normal,0.0716919590,0.0069329431,0.0067355215,0.25
9,Red,Ischaemia,0.0582086091,0.0046433797,0.0067319768,-3.23
9,Red,Congestion,0.0751450130,0.0069642770,0.0067222610,0.31
9,IR,Normal,0.0940545820,0.0163267032,0.0090404267,5.13
9,IR,Ischaemia,0.0777759039,0.0098417619,0.0090926294,0.69
9,IR,Congestion,0.0919169780,0.0153973634,0.0090027649,4.66
15,Red,Normal,0.0674167507,0.0045301652,0.0061689500,-2.68
15,Red,Ischaemia,0.0603462135,0.0038229565,0.0065707669,-4.70
15,Red,Congestion,0.0573864536,0.0046621244,0.0062570038,-2.56
15,IR,Normal,0.0656080036,0.0075186850,0.0083763993,-0.94
15,IR,Ischaemia,0.0567287250,0.0039971697,0.0085428301,-6.60
15,IR,Congestion,0.0631415373,0.0060189511,0.0083674772,-2.86
21,Red,Normal,0.0521246583,0.0037495281,0.0054942372,-3.32
21,Red,Ischaemia,0.0476850187,0.0027693693,0.0053333909,-5.69
21,Red,Congestion,0.0526179516,0.0032810757,0.0057000227,-4.80
21,IR,Normal,0.0555777074,0.0042411387,0.0085235567,-6.06
21,IR,Ischaemia,0.0496581882,0.0022123587,0.0085060738,-11.70
21,IR,Congestion,0.0577153115,0.0039064090,0.0085475141,-6.80
