Feature,AUC,CI_Lower,CI_Upper
PI,0.9687825182101978,0.9028213166144201,1.0
Amplitude,0.9687825182101978,0.8823529411764706,1.0
Max_Start_Datum_Diff,0.9562955254942768,0.8857142857142857,1.0
AUC,0.9396462018730488,0.8361344537815125,1.0
DNP,0.9334027055150884,0.8466386554621849,0.9966555183946488
Start_Datum_Area,0.931321540062435,0.8291666666666666,1.0
D_AUC,0.9250780437044744,0.818815331010453,0.9979166666666667
S_AUC,0.8064516129032258,0.6785714285714286,0.9132706374085684
Slope_Ratio,0.8022892819979188,0.684375,0.9017763845350052
Downslope,0.7825182101977107,0.6604166666666667,0.8813025210084033
e_a,0.7658688865764828,0.6460084033613445,0.887402452619844
End_Datum_Area,0.7138397502601457,0.5708108108108109,0.8345473465140478
d_a,0.6701352757544226,0.5276907001044933,0.800417972831766
Datum_Area_Ratio,0.6690946930280957,0.5312169312169313,0.8031746031746032
Crest_Time,0.6680541103017689,0.5249739854318418,0.809573361082206
Rise_Decay_Ratio,0.6659729448491155,0.5283613445378151,0.8087606837606839
Width_Ratio,0.6659729448491155,0.5318918918918919,0.7989583333333334
Diastolic_Width,0.6612903225806451,0.5213541666666666,0.7823464912280702
Decay_Time,0.6602497398543183,0.5204831932773109,0.7915360501567398
c_a,0.6368366285119668,0.5168067226890756,0.759375
Upslope,0.6326742976066597,0.5106837606837606,0.773109243697479
RWI,0.6097814776274714,0.5078043704474506,0.7628205128205128
Variance,0.6024973985431842,0.5026123301985371,0.7552083333333334
Systolic_Width,0.5988553590010406,0.5054054054054054,0.7643243243243243
AUC_Ratio,0.5639958376690947,0.5021367521367521,0.7268673355629877
Kurtosis,0.5525494276795004,0.5031249999999999,0.6979166666666666
b_a,0.5442247658688866,0.5021008403361344,0.6838235294117647
Delta_T,0.5395421436004162,0.503125,0.6645833333333334
Pulse_Width,0.5098855359001041,0.5021008403361344,0.6778149386845039
Skewness,0.509885535900104,0.5020833333333333,0.6722689075630252
PW50,0.5010405827263267,0.5022296544035674,0.6687565308254964
