Feature,AUC,CI_Lower,CI_Upper
PI,0.9903225806451613,0.9640522875816994,1.0
Amplitude,0.9903225806451613,0.964516129032258,1.0
DNP,0.9731182795698925,0.9096774193548388,1.0
Max_Start_Datum_Diff,0.967741935483871,0.8947368421052632,1.0
S_AUC,0.9602150537634409,0.8870967741935484,1.0
End_Datum_Area,0.953763440860215,0.8672768878718535,1.0
Downslope,0.9387096774193548,0.8659909909909911,0.9911111111111112
Start_Datum_Area,0.9376344086021505,0.8508158508158508,1.0
AUC,0.9376344086021505,0.84375,1.0
D_AUC,0.9354838709677419,0.8387096774193549,1.0
e_a,0.8870967741935484,0.7860215053763441,0.956989247311828
Slope_Ratio,0.8806451612903226,0.7720430107526882,0.9555555555555556
c_a,0.8451612903225807,0.7349137931034483,0.9296703296703297
Decay_Time,0.7747311827956989,0.661290322580645,0.8884698275862069
Diastolic_Width,0.7736559139784945,0.6396103896103896,0.90625
Upslope,0.7655913978494624,0.6361655773420479,0.8869463869463869
d_a,0.7623655913978494,0.6340090090090089,0.8841991341991342
AUC_Ratio,0.7419354838709677,0.6098901098901099,0.8545258620689655
Variance,0.7333333333333334,0.5735930735930735,0.878494623655914
Width_Ratio,0.7139784946236559,0.5657327586206896,0.8476190476190476
Rise_Decay_Ratio,0.7129032258064516,0.5743243243243243,0.8480603448275862
Skewness,0.6774193548387097,0.5326576576576576,0.8263736263736264
Crest_Time,0.6741935483870969,0.5266666666666666,0.8086021505376344
Pulse_Width,0.6639784946236559,0.5211038961038961,0.794047619047619
RWI,0.6537634408602151,0.5205627705627704,0.7978494623655914
b_a,0.6451612903225806,0.5140086206896551,0.7777777777777778
PW50,0.593010752688172,0.5044444444444445,0.725268817204301
Systolic_Width,0.5682795698924732,0.5032258064516129,0.7219827586206897
Kurtosis,0.567741935483871,0.5022883295194507,0.6938997821350762
Delta_T,0.5462365591397849,0.5021551724137931,0.6788793103448276
Datum_Area_Ratio,0.5376344086021505,0.5043010752688172,0.6893939393939394
