Channel,State,Feature,N,Mean,SD,Median
Red,Normal,Amplitude,30,0.0031054829833395583,0.0002657776310775205,0.0031057121618250465
Red,Normal,AUC,30,3.1761357171202054,0.44519858871018975,3.1679931673895636
Red,Normal,S_AUC,30,1.09668519909405,1.48803077851965,0.0
Red,Normal,D_AUC,30,2.0774837953142704,1.6423446441552363,3.128826494283322
Red,Normal,AUC_Ratio,19,0.0,0.0,0.0
Red,Normal,Start_Datum_Area,30,1.2841671943781836,0.14220916316511453,1.3014064541356074
Red,Normal,End_Datum_Area,30,0.6958864745520006,0.20435486925863988,0.6232738228884105
Red,Normal,Datum_Area_Ratio,30,1.928177742671256,0.3272296893887226,2.0242011299328473
Red,Normal,Max_Start_Datum_Diff,30,0.003035762878482716,0.0002565072477757098,0.0030197979291433
Red,Ischaemia,Amplitude,30,0.0018145521936526563,0.0001582788558886107,0.001784958130195241
Red,Ischaemia,AUC,30,1.7885498461103713,0.28960326057017355,1.737235298534598
Red,Ischaemia,S_AUC,30,0.8713471294227797,0.9657111469855449,0.0
Red,Ischaemia,D_AUC,30,0.916238785030292,0.8962015493675103,1.355828506851208
Red,Ischaemia,AUC_Ratio,16,0.0,0.0,0.0
Red,Ischaemia,Start_Datum_Area,30,0.7253060838933683,0.08448685446623991,0.7438187835931754
Red,Ischaemia,End_Datum_Area,30,0.4188749298269857,0.15486480220089863,0.346440962211093
Red,Ischaemia,Datum_Area_Ratio,30,1.873054920808421,0.44437503288191427,2.004641581127359
Red,Ischaemia,Max_Start_Datum_Diff,30,0.001757694406756534,0.0001492713711393957,0.001720384094083201
Red,Congestion,Amplitude,30,0.0029166761519709298,0.00020919389712405973,0.0028606798306667633
Red,Congestion,AUC,30,3.0284786225999483,0.4730149853493278,3.003038916828495
Red,Congestion,S_AUC,30,1.5167881641320524,1.5728424799913316,1.1578794241087587
Red,Congestion,D_AUC,30,1.5101362302907795,1.5776002666000903,1.1063204680093832
Red,Congestion,AUC_Ratio,15,0.0,0.0,0.0
Red,Congestion,Start_Datum_Area,30,1.217330306238127,0.13599434332868912,1.2021323503328034
Red,Congestion,End_Datum_Area,30,0.6669368308498267,0.24199636607371214,0.5826302819590168
Red,Congestion,Datum_Area_Ratio,30,1.9483804859116838,0.3839998897370694,2.0793022948019617
Red,Congestion,Max_Start_Datum_Diff,30,0.0028506944982076383,0.00022509047286782465,0.00278522704972131
IR,Normal,Amplitude,30,0.004718799009931029,0.0002085390649925499,0.004749419172372947
IR,Normal,AUC,30,4.766612138848686,0.23640090125567914,4.799048225986331
IR,Normal,S_AUC,30,2.2483568768160374,2.4449700737436184,0.0
IR,Normal,D_AUC,30,2.5157601937651055,2.4043499030975246,4.107059260866755
IR,Normal,AUC_Ratio,16,0.0,0.0,0.0
IR,Normal,Start_Datum_Area,30,2.0039841079410072,0.10704722564108299,2.0244193858546113
IR,Normal,End_Datum_Area,30,0.9339891795427212,0.06351587245216457,0.9489555731962552
IR,Normal,Datum_Area_Ratio,30,2.1488401534528534,0.060498947251602826,2.1383013071587977
IR,Normal,Max_Start_Datum_Diff,30,0.004698970353190884,0.0002047844251758947,0.004733758110913503
IR,Ischaemia,Amplitude,30,0.0030131599079189337,6.998120195343499e-05,0.0030258847356635665
IR,Ischaemia,AUC,30,3.0785997070079785,0.20113999314911293,3.1166520561935833
IR,Ischaemia,S_AUC,30,1.2505217348805648,1.5581615517532952,0.0
IR,Ischaemia,D_AUC,30,1.8261776095722626,1.528902362330685,3.046913051282612
IR,Ischaemia,AUC_Ratio,18,0.0,0.0,0.0
IR,Ischaemia,Start_Datum_Area,30,1.2890688561744876,0.0825158254952611,1.3075577208364566
IR,Ischaemia,End_Datum_Area,30,0.5840032703980359,0.024176855830894725,0.5892649909622087
IR,Ischaemia,Datum_Area_Ratio,30,2.2079123438688035,0.12325352655137242,2.2233667763990197
IR,Ischaemia,Max_Start_Datum_Diff,30,0.0029995723490298257,7.456525323640395e-05,0.003016960506274836
IR,Congestion,Amplitude,30,0.002939078185521758,0.00011520783042967977,0.0029271690873866768
IR,Congestion,AUC,30,3.0791175278698546,0.11561205838537224,3.077717869080743
IR,Congestion,S_AUC,30,1.638200653298474,1.5601544792592843,2.9091799626480004
IR,Congestion,D_AUC,30,1.4394436313905556,1.567827762724334,0.0
IR,Congestion,AUC_Ratio,14,0.0,0.0,0.0
IR,Congestion,Start_Datum_Area,30,1.2964875095506954,0.055019556077115395,1.3003972948914861
IR,Congestion,End_Datum_Area,30,0.6283434127597871,0.028243402261565846,0.6332642647232103
IR,Congestion,Datum_Area_Ratio,30,2.065258282841377,0.08301410439972663,2.0602634443111025
IR,Congestion,Max_Start_Datum_Diff,30,0.00291308776857,0.00014001982980992516,0.002925314916370401
