Channel,Feature,Comparison,U_statistic,p_value,p_adjusted,Significant,Effect_Size_r,N1,N2
Red,Amplitude,Normal vs Ischaemia,900.0,3.0198593591621564e-11,9.059578077486469e-11,Yes,-1.0,30,30
Red,Amplitude,Normal vs Congestion,659.0,0.002052333872380414,0.006157001617141241,Yes,-0.46444444444444444,30,30
Red,Amplitude,Ischaemia vs Congestion,0.0,3.0198593591621564e-11,9.059578077486469e-11,Yes,1.0,30,30
Red,AUC,Normal vs Ischaemia,892.0,6.69551896550012e-11,2.008655689650036e-10,Yes,-0.9822222222222223,30,30
Red,AUC,Normal vs Congestion,550.0,0.14127750644049153,0.4238325193214746,No,-0.22222222222222232,30,30
Red,AUC,Ischaemia vs Congestion,8.0,6.69551896550012e-11,2.008655689650036e-10,Yes,0.9822222222222222,30,30
Red,S_AUC,Normal vs Ischaemia,478.0,0.6497541010016292,1.0,No,-0.06222222222222218,30,30
Red,S_AUC,Normal vs Congestion,385.5,0.29551890543461345,0.8865567163038404,No,0.1433333333333333,30,30
Red,S_AUC,Ischaemia vs Congestion,334.0,0.06591223311708612,0.19773669935125837,No,0.2577777777777778,30,30
Red,D_AUC,Normal vs Ischaemia,646.0,0.0026929045334145524,0.008078713600243658,Yes,-0.4355555555555555,30,30
Red,D_AUC,Normal vs Congestion,561.5,0.08687463703282776,0.26062391109848326,No,-0.24777777777777787,30,30
Red,D_AUC,Ischaemia vs Congestion,346.0,0.10425594016664967,0.312767820499949,No,0.23111111111111116,30,30
Red,Start_Datum_Area,Normal vs Ischaemia,900.0,3.0198593591621564e-11,9.059578077486469e-11,Yes,-1.0,30,30
Red,Start_Datum_Area,Normal vs Congestion,599.0,0.02812866989728732,0.08438600969186195,No,-0.33111111111111113,30,30
Red,Start_Datum_Area,Ischaemia vs Congestion,0.0,3.0198593591621564e-11,9.059578077486469e-11,Yes,1.0,30,30
Red,End_Datum_Area,Normal vs Ischaemia,787.0,6.526139960801126e-07,1.957841988240338e-06,Yes,-0.7488888888888889,30,30
