Pulse_ID,Amplitude,AUC,S_AUC,D_AUC,Start_Datum_Area,End_Datum_Area,Datum_Area_Ratio,Max_Start_Datum_Diff,State,Channel,Depth_mm
0,0.0028167765116513628,2.911828046276333,0.0,2.9090113409965475,1.1842718655743474,0.5555477655336184,2.131719249085311,0.0028167765116513628,Normal,Red,3
1,0.00317232476257448,3.382288083104193,3.382288083104193,0.0,1.2969052222676527,0.7730119538808509,1.677729840730966,0.0029089807619805488,Normal,Red,3
2,0.003248720617894189,3.1675607205757736,0.0,3.1643120291875575,1.3197175456467876,0.629453419670887,2.096608747215654,0.003248720617894189,Normal,Red,3
3,0.0026692297986575966,3.2144329513042953,0.0,3.211763745780656,1.3433530784667602,1.0261013393753955,1.3091816830533336,0.0026692297986575966,Normal,Red,3
4,0.002862262240835919,2.344343256750595,2.344343256750595,0.0,1.036336641474853,0.570563366661044,1.816339257004055,0.0028216104933428262,Normal,Red,3
5,0.0029504647068927816,2.8463770528478705,2.8463770528478705,0.0,1.2477834772342538,0.5436104457792477,2.2953633193078127,0.0028168330461395895,Normal,Red,3
6,0.003080115523835869,3.0523931136195457,3.0523931136195457,0.0,1.2545135601820836,0.5968936158070731,2.1017372727061723,0.0030102375670816367,Normal,Red,3
7,0.0032209216923418547,3.1647012864604456,0.0,3.1614803887115306,1.3191949603445514,0.6020467124718882,2.1911837287977045,0.0032209216923418547,Normal,Red,3
8,0.003015126980523348,3.153515885008318,0.0,3.150500767509367,1.297735718847285,0.651466005106053,1.9920236952901706,0.003015126980523348,Normal,Red,3
9,0.00342279752405253,3.3559631198106246,3.3559631198106246,0.0,1.3454628877841597,0.676714186585479,1.988229173342752,0.0030254746246941274,Normal,Red,3
10,0.0033659566865995192,3.3685214165750894,0.0,3.365155461706289,1.3886783022156883,0.6741025992074798,2.060039975885439,0.0033659566865995192,Normal,Red,3
11,0.003093896282086399,2.9121297013719567,0.0,2.909035832984781,1.2913128529046132,0.6071262170700713,2.1269265213687465,0.003093896282086399,Normal,Red,3
12,0.0030867767660887153,3.1270413253885385,0.0,3.1239545736064245,1.307841926401838,0.6389161160238996,2.0469696938321027,0.0030867767660887153,Normal,Red,3
13,0.003416808545319259,4.35086117940383,0.0,4.347444400327934,1.612246747696239,1.1494574633636547,1.4026154069053804,0.003416808545319259,Normal,Red,3
14,0.002963944297865966,3.3638131127542934,0.0,3.3608491946124888,1.296813563008155,1.1230595430247934,1.154714877819729,0.002963944297865966,Normal,Red,3
15,0.003309266698868497,2.808800241137101,2.808800241137101,0.0,1.0773188613751425,0.6041484826512008,1.7832021304556052,0.003009963502768628,Normal,Red,3
16,0.0036549597959168326,3.719404320465861,3.719404320465861,0.0,1.4454966272114498,0.7331330502630117,1.971670253704805,0.003416340458219764,Normal,Red,3
17,0.0035332042542290517,3.422896891017934,0.0,3.419363729908534,1.3490565674122674,0.6740454763788554,2.001432566033592,0.0035332042542290517,Normal,Red,3
18,0.003193346838116837,3.1684256142033536,0.0,3.1652322948972844,1.3422789812645013,0.5829271369570687,2.3026531039047464,0.003193346838116837,Normal,Red,3
19,0.0031609596549080753,3.751339747361903,0.0,3.7481787980347727,1.391187513729267,0.8311616924202675,1.6737868532875417,0.0031609596549080753,Normal,Red,3
20,0.003117528041563694,2.8682109056267437,2.8682109056267437,0.0,1.2092664234538766,0.5808627413760764,2.0818453953322917,0.002919937469861676,Normal,Red,3
21,0.0031728417178026073,3.9401638766618565,0.0,3.9369910390089276,1.4724272348580665,1.3366597193320233,1.101572235298518,0.0031728417178026073,Normal,Red,3
22,0.0029656861934879005,2.27740075009066,0.0,2.274435074023881,0.9497595344053562,0.5370546488952751,1.7684597579762464,0.0029656861934879005,Normal,Red,3
23,0.0030244688777632516,3.180262392359886,0.0,3.1772379442225533,1.3050771894239297,0.5831846378315066,2.237845623431857,0.0030244688777632516,Normal,Red,3
24,0.002838102207503867,2.935704352053378,2.935704352053378,0.0,1.2161079629897724,0.5490146693959411,2.2150737143832737,0.0027354991635410203,Normal,Red,3
25,0.0028975574467211876,3.1365959589269483,0.0,3.13369841496022,1.2900523739860579,0.6835194877698035,1.8873673641628828,0.0028975574467211876,Normal,Red,3
26,0.0033524316448859067,3.294089138141399,3.294089138141399,0.0,1.3074635647247854,0.6091858019457532,2.146247598924199,0.0031189162040683987,Normal,Red,3
27,0.003321469402051329,3.4608231011531614,0.0,3.457501677763155,1.3984618837233609,0.6170942261059339,2.2662047780743504,0.003321469402051329,Normal,Red,3
28,0.0028344335292706103,3.311201583890098,0.0,3.3083671511852,1.2966484571015755,0.7118152294211759,1.821608197616067,0.0028344335292706103,Normal,Red,3
29,0.002402110259877314,2.2929823892641883,2.2929823892641883,0.0,0.9322443056368316,0.42471648625468716,2.1949802652063717,0.0022869669694041937,Normal,Red,3
0,0.00481603727213821,4.745959950461937,4.745959950461937,0.0,1.950779402467769,0.9575770352311731,2.037203619860017,0.0046402370848222145,Normal,IR,3
1,0.0048571144009896755,4.851405282393559,0.0,4.846548230288688,2.0437754663568715,0.9764921882111222,2.092976770352819,0.0048571144009896755,Normal,IR,3
2,0.004812524642440856,4.884052101830626,0.0,4.879239590890011,2.0513856463741873,0.9605308214552661,2.135679147980078,0.004812524642440856,Normal,IR,3
3,0.004735833576741927,4.769462702683231,4.769462702683231,0.0,2.02683151622948,0.930978861203457,2.177097247524436,0.004723070240669385,Normal,IR,3
4,0.004736333451786047,4.781419555591967,0.0,4.776683224069021,2.028754199633693,0.9541635103521307,2.1262123080822786,0.004736333451786047,Normal,IR,3
5,0.004757553687624198,4.787012675484824,4.787012675484824,0.0,2.020997157396141,0.9537983334126282,2.1188935717314004,0.004749548735633173,Normal,IR,3
6,0.004703020006107674,4.670096397957336,0.0,4.665393424775027,1.9917645950780545,0.9163028938790256,2.1736967201382824,0.004703020006107674,Normal,IR,3
7,0.004751020087788331,4.840494163744264,4.840494163744264,0.0,2.0383154161772117,0.9414182325974811,2.165153961967855,0.0046969543318114435,Normal,IR,3
8,0.004849585431404142,4.925250832326581,4.925250832326581,0.0,2.057748268141414,0.9691691797533779,2.1232085286338185,0.004773269165832055,Normal,IR,3
9,0.00479817868485021,4.803553364123567,0.0,4.79875522547534,2.0206631860006583,0.9511179990400249,2.1245136650133194,0.00479817868485021,Normal,IR,3
10,0.004720272361762315,4.724710113506847,0.0,4.719989885640447,2.0049690216271445,0.9344943814006982,2.1455121202782723,0.004720272361762315,Normal,IR,3
11,0.004747818256957562,4.8322467178435,4.8322467178435,0.0,2.023767123540206,0.9611058379662089,2.1056652073019233,0.0046898886183556485,Normal,IR,3
12,0.004767357076200181,4.865257498334384,0.0,4.860490189962109,2.0448700472473944,0.9618598370735846,2.1259542902517063,0.004767357076200181,Normal,IR,3
13,0.004725941635307825,4.771440430286111,4.771440430286111,0.0,2.0250716481690167,0.9350694880536602,2.165691078621534,0.0047042825855227325,Normal,IR,3
14,0.004740201990422348,4.831632050997779,0.0,4.826891894823332,2.0367531078576455,0.9369231518285935,2.1738742434558405,0.004740201990422348,Normal,IR,3
15,0.004811119423082123,4.884880110658399,4.884880110658399,0.0,2.040192050690318,0.9529307795270701,2.1409656341490457,0.0047311827700409585,Normal,IR,3
16,0.004756748205665061,4.787771869276694,0.0,4.783015154314215,2.023079329872295,0.9367827415682561,2.1596035453060156,0.004756748205665061,Normal,IR,3
17,0.004782804097552048,4.884055751049276,4.884055751049276,0.0,2.0424547870288605,0.9659147079587174,2.1145291299531115,0.0047559379263803075,Normal,IR,3
18,0.004782766059303755,4.833490853150534,4.833490853150534,0.0,2.038383936084177,0.9363272117688066,2.1769995685947072,0.0047796840711659535,Normal,IR,3
19,0.00477723743986612,4.794543087849095,4.794543087849095,0.0,2.0263212481611665,0.9350518233637918,2.1670683886499464,0.004742177167642091,Normal,IR,3
20,0.004756186650804909,4.740641100075745,0.0,4.735884914582279,2.0086854093403828,0.9303589671040421,2.1590434234141704,0.004756186650804909,Normal,IR,3
21,0.0047461577867074535,4.857792961900834,4.857792961900834,0.0,2.0297966773300273,0.9650107202877111,2.1033928791224805,0.004726243465555365,Normal,IR,3
22,0.004740212908053819,4.808481219517256,0.0,4.803741020063734,2.02044897897896,0.9507473276529623,2.1251166531981625,0.004740212908053819,Normal,IR,3
23,0.004719097955705522,4.769514271123304,4.769514271123304,0.0,2.0074105363636754,0.9471638187395481,2.119391066938205,0.004698354093867856,Normal,IR,3
24,0.004730957657703785,4.777083927500803,0.0,4.772353039370909,2.0069302000930986,0.9469589543044141,2.1193423336571997,0.004730957657703785,Normal,IR,3
25,0.004697576561072106,4.763225696498598,0.0,4.7585281332858695,2.009105970833036,0.9511222944831768,2.1123529355651884,0.004697576561072106,Normal,IR,3
26,0.0047084600306993435,4.75456179591922,4.75456179591922,0.0,2.012477311426583,0.9400043219991101,2.1409234663375174,0.0047057427813750035,Normal,IR,3
27,0.004766787299244226,4.894627830572646,0.0,4.889861053035445,2.0517194552943527,0.9534380183945677,2.1519169738470363,0.004766787299244226,Normal,IR,3
28,0.004626152069355098,4.8113318578605995,0.0,4.806705735418268,1.986756030335243,0.8464597850496858,2.347135759342216,0.004626152069355098,Normal,IR,3
29,0.0036429135905940027,3.5523679949410125,0.0,3.548725096958484,1.4493155141011573,0.620402162621343,2.3360903643170157,0.0036429135905940027,Normal,IR,3
0,0.0023402262222644507,1.5663859915435776,0.0,1.5640457656377937,0.6582042068441023,0.3606568336514339,1.825015209555798,0.0023402262222644507,Ischaemia,Red,3
1,0.0016079575424171268,1.6742158500697006,0.0,1.672607911344599,0.7336948749919838,0.3195752977282552,2.2958435154642878,0.0016079575424171268,Ischaemia,Red,3
