State,Channel,Depth_mm,Pulse_ID,Amplitude,AUC,S_AUC,D_AUC,AUC_Ratio,Start_Datum_Area,End_Datum_Area,Datum_Area_Ratio,Max_Start_Datum_Diff
Normal,Red,3,0,8.336318453593313e+195,1.46076743882402e+200,3.8379503713227883e+198,1.422304572001894e+200,0.02698402611418785,-1.9367588515612988e+198,1.0975633930470541e+197,-17.645986225765707,8.336318453593313e+195
Normal,Red,3,1,3.2159359602416015e+164,3.67961900825155e+167,1.4500417621348888e+167,2.2263613114756853e+167,0.6513056774121567,-7.269854013799647e+166,4.631049912261662e+165,-15.698068799801112,3.2159359602416015e+164
Normal,Red,3,2,1.2525901257894361e+162,1.4400504836792136e+165,5.718339507132204e+164,8.669639429065546e+164,0.6595821607022189,-2.8900336231075786e+164,1.7918921841808896e+163,-16.12839013765034,1.2525901257894361e+162
Normal,Red,3,3,4.7096867131326225e+159,5.407804251827212e+162,2.1244315188638643e+162,3.2786630481429636e+162,0.6479566480816451,-1.0621903408839877e+162,6.991186992464038e+160,-15.193276077852692,4.7096867131326225e+159
Normal,Red,3,4,1.2099833501837097e+157,1.877465958532306e+159,1.877465958532306e+159,0.0,,-3.763833401567359e+159,0.0,,1.2099833501837097e+157
Normal,Red,3,5,4.937803743339274e+156,4.721271463403361e+159,1.318052622585882e+159,3.3982810410868424e+159,0.3878586281269841,-1.806404770912553e+158,2.2551586198311537e+158,-0.8010100730953464,4.937803743339274e+156
Normal,Red,3,6,5.843562098436292e+154,2.4396523619249184e+158,2.5939739631363122e+157,2.1796706098784493e+158,0.1190076129567562,-1.0470704611273339e+157,7.694109664380207e+155,-13.608728063426684,5.843562098436292e+154
Normal,Red,3,7,1.113329648147525e+147,1.068567341332482e+150,3.125537876257128e+149,7.549002269837005e+149,0.4140332410212156,-4.925417818982132e+148,4.68164555012788e+148,-1.0520697832085117,1.113329648147525e+147
Normal,Red,3,8,1.2366650397585012e+145,1.396313822249258e+148,5.4244411023890275e+147,8.526330472466208e+147,0.636198786794154,-2.187136183148538e+147,1.8376329517732044e+146,-11.901920789122139,1.2366650397585012e+145
Normal,Red,3,9,5.475867639601791e+142,6.324662587256441e+145,2.517343490621147e+145,3.801843232191161e+145,0.662137636109287,-1.30109792927992e+145,7.147983690110933e+143,-18.202306911807288,5.475867639601791e+142
Normal,Red,3,10,1.8618382827690187e+140,2.1337524933809596e+143,8.406601525235941e+142,1.2912305036451987e+143,0.6510535107019039,-4.2119569491923074e+142,2.5864626028680448e+141,-16.284623425530313,1.8618382827690187e+140
Normal,Red,3,11,5.845993332117779e+137,1.1529102679121317e+140,1.1529102679121317e+140,0.0,,-1.5978530979365172e+140,0.0,,5.845993332117779e+137
Normal,Red,3,12,1.192379041011383e+137,1.0209406133560772e+140,2.4915256168474805e+139,7.705956773767154e+139,0.3233246292438605,2.05084152444402e+138,9.470504178458908e+138,0.21655040595502323,1.192379041011383e+137
